i,item,reason
1,KR6513308512,extra_formula_or_level_PMT_EXTRA
3,KR6703322513,payment_lag_not_identifiable_from_maturity
7,KR6523311514,missing_explicit_survival_coupon
16,KR6533308518,extra_formula_or_level_PMT_1_FRML
18,KR6573321512,missing_explicit_survival_coupon
19,KR6573320514,missing_explicit_survival_coupon
23,KR6513332512,extra_formula_or_level_PMT_EXTRA
26,KR6583307519,payment_lag_not_identifiable_from_maturity
27,KR6543309514,nonpositive_annual_coupon
28,KR6583308517,payment_lag_not_identifiable_from_maturity
29,KR6543317517,nonpositive_annual_coupon
30,KR6583310513,missing_explicit_survival_coupon
31,KR6653305518,missing_explicit_survival_coupon
34,KR6523331512,missing_explicit_survival_coupon
35,KR6543308516,nonpositive_annual_coupon
36,KR6733305512,payment_lag_not_identifiable_from_maturity
37,KR6593310511,missing_explicit_survival_coupon
41,KR6593312517,missing_explicit_survival_coupon
42,KR6513315517,unsupported_ki_window
43,KR6593311519,missing_explicit_survival_coupon
45,KR6673305514,unsupported_ki_window
47,KR6593306519,missing_explicit_survival_coupon
50,KR6703323511,payment_lag_not_identifiable_from_maturity
52,KR6513313512,unsupported_ki_window
55,KR6513314510,unsupported_ki_window
56,KR6593309513,missing_explicit_survival_coupon
57,KR6513316515,unsupported_ki_window
69,KR6503325518,unsupported_ki_window
72,KR6543326518,nonpositive_annual_coupon
75,KR6593349519,missing_explicit_survival_coupon
76,KR6523356519,missing_explicit_survival_coupon
78,KR6553361512,missing_explicit_survival_coupon
80,KR6593377510,missing_explicit_survival_coupon
81,KR6573372515,missing_explicit_survival_coupon
84,KR6703329518,payment_lag_not_identifiable_from_maturity
87,KR6523372516,missing_explicit_survival_coupon
89,KR6583320512,payment_lag_not_identifiable_from_maturity
90,KR6503352512,unsupported_ki_window
91,KR6733308516,payment_lag_not_identifiable_from_maturity
96,KR6533327518,extra_formula_or_level_PMT_1_FRML
97,KR65933AX512,missing_explicit_survival_coupon
100,KR6503353510,unsupported_ki_window
101,KR6543321519,nonpositive_annual_coupon
102,KR6583323516,payment_lag_not_identifiable_from_maturity
103,KR6543320511,nonpositive_annual_coupon
104,KR6583319514,payment_lag_not_identifiable_from_maturity
105,KR6513381519,extra_formula_or_level_PMT_EXTRA
108,KR6593370515,missing_explicit_survival_coupon
109,KR6513343519,unsupported_ki_window
113,KR65733B8511,missing_explicit_survival_coupon
115,KR6593366513,missing_explicit_survival_coupon
116,KR6593364518,missing_explicit_survival_coupon
119,KR6533381515,payment_lag_not_identifiable_from_maturity
120,KR6513344517,unsupported_ki_window
122,KR6513342511,unsupported_ki_window
126,KR6593368519,missing_explicit_survival_coupon
127,KR6593367511,missing_explicit_survival_coupon
132,KR6503387518,unsupported_ki_window
133,KR6593365515,missing_explicit_survival_coupon
142,KR6583343514,payment_lag_not_identifiable_from_maturity
144,KR6503360515,unsupported_ki_window
145,KR65233AG512,missing_explicit_survival_coupon
146,KR65933AW514,missing_explicit_survival_coupon
150,KR6543348512,nonpositive_annual_coupon
161,KR65333A8516,missing_explicit_survival_coupon
166,KR6543337515,nonpositive_annual_coupon
167,KR6703387516,payment_lag_not_identifiable_from_maturity
174,KR6583349511,missing_explicit_survival_coupon
175,KR65733CB518,missing_explicit_survival_coupon
176,KR6583345519,payment_lag_not_identifiable_from_maturity
177,KR6533359511,extra_formula_or_level_PMT_1_FRML
178,KR6533356517,missing_explicit_survival_coupon
179,KR6543352514,nonpositive_annual_coupon
180,KR65033AV515,unsupported_ki_window
181,KR65033AW513,unsupported_ki_window
184,KR6543353512,nonpositive_annual_coupon
185,KR65133B0514,missing_explicit_survival_coupon
186,KR6503363519,unsupported_ki_window
193,KR65733CT510,missing_explicit_survival_coupon
196,KR6703394512,payment_lag_not_identifiable_from_maturity
201,KR6703368516,payment_lag_not_identifiable_from_maturity
202,KR65933C4517,missing_explicit_survival_coupon
203,KR6673319515,unsupported_ki_window
207,KR65933AS512,missing_explicit_survival_coupon
210,KR65033BX519,unsupported_ki_window
217,KR65933AP518,missing_explicit_survival_coupon
219,KR6543359519,nonpositive_annual_coupon
221,KR6513387516,unsupported_ki_window
222,KR6513386518,unsupported_ki_window
223,KR6703371510,missing_explicit_survival_coupon
224,KR65133CB511,extra_formula_or_level_PMT_EXTRA
227,KR6543366514,nonpositive_annual_coupon
228,KR65233C9513,missing_explicit_survival_coupon
233,KR65333B5511,missing_explicit_survival_coupon
238,KR6703397515,payment_lag_not_identifiable_from_maturity
245,KR6543375515,nonpositive_annual_coupon
246,KR6543362513,nonpositive_annual_coupon
247,KR67033A8515,payment_lag_not_identifiable_from_maturity
255,KR65933D9515,missing_explicit_survival_coupon
256,KR6533310522,extra_formula_or_level_PMT_1_FRML
257,KR6543361515,nonpositive_annual_coupon
258,KR65933DD518,missing_explicit_survival_coupon
261,KR6583390515,payment_lag_not_identifiable_from_maturity
266,KR67033A6519,payment_lag_not_identifiable_from_maturity
269,KR6583388519,payment_lag_not_identifiable_from_maturity
270,KR6583379518,payment_lag_not_identifiable_from_maturity
272,KR65033DY513,unsupported_ki_window
273,KR6583391513,payment_lag_not_identifiable_from_maturity
275,KR65333BF510,missing_explicit_survival_coupon
276,KR65033DX515,unsupported_ki_window
277,KR6573317528,missing_explicit_survival_coupon
279,KR6703315525,payment_lag_not_identifiable_from_maturity
283,KR6513309528,unsupported_ki_window
286,KR6513306524,unsupported_ki_window
287,KR6593307525,missing_explicit_survival_coupon
288,KR6593308523,missing_explicit_survival_coupon
291,KR6593309521,missing_explicit_survival_coupon
293,KR6703301525,payment_lag_not_identifiable_from_maturity
294,KR6513305526,unsupported_ki_window
295,KR6593305529,missing_explicit_survival_coupon
296,KR6593306527,missing_explicit_survival_coupon
304,KR6543307526,nonpositive_annual_coupon
316,KR6513350522,extra_formula_or_level_PMT_EXTRA
318,KR6583327525,payment_lag_not_identifiable_from_maturity
323,KR6543301529,nonpositive_annual_coupon
324,KR6583319522,payment_lag_not_identifiable_from_maturity
328,KR6593350525,missing_explicit_survival_coupon
329,KR6503318521,unsupported_ki_window
332,KR6573347525,missing_explicit_survival_coupon
334,KR6703336521,payment_lag_not_identifiable_from_maturity
335,KR6533320521,extra_formula_or_level_PMT_1_FRML
336,KR6583306529,payment_lag_not_identifiable_from_maturity
338,KR6583308525,payment_lag_not_identifiable_from_maturity
339,KR6583309523,missing_explicit_survival_coupon
342,KR6503321525,unsupported_ki_window
343,KR6703339525,missing_explicit_survival_coupon
344,KR6593313523,extra_formula_or_level_PMT_EXTRA
345,KR6593316526,monthly_evaluation_outside_life
347,KR6513318529,unsupported_ki_window
349,KR6513317521,unsupported_ki_window
350,KR6503337521,unsupported_ki_window
352,KR6503336523,unsupported_ki_window
354,KR6593321526,missing_explicit_survival_coupon
360,KR6593318522,missing_explicit_survival_coupon
363,KR6593320528,missing_explicit_survival_coupon
365,KR6673310522,monthly_evaluation_outside_life
