segment,n,gap_legacy,gap_corrected,MAPE_legacy,MAPE_corrected
"(0.699, 0.875]",7351,-1182.6562167957054,-1244.5422548121664,14.48999838265119,15.196325550909853
"(0.875, 0.903]",7351,-896.2539179079328,-946.4829080351907,10.690658833165765,11.212621561693709
"(0.903, 0.922]",7351,-770.7942959814895,-811.9652878687587,8.762686992756102,9.185443824232234
"(0.922, 0.94]",7349,-630.6342173682907,-671.7111837942189,7.033244334768216,7.439064871312642
"(0.94, 0.961]",7350,-427.8275065769237,-472.90459765750705,4.8599033269378955,5.262753086350542
"(0.961, 1.049]",7351,-137.49525269728423,-195.73401023185528,2.6156295237022786,2.8630273114360225
