segment,n,gap_legacy,gap_corrected,MAPE_legacy,MAPE_corrected
"(0.699, 0.879]",7351,-944.3823888046354,-1033.3177151992227,12.010915252311484,12.990788623240446
"(0.879, 0.908]",7350,-701.3982537174704,-776.593172184953,8.774130306286102,9.527985425980892
"(0.908, 0.928]",7351,-595.7332691213379,-659.5373703757381,7.081410080582177,7.694144569996497
"(0.928, 0.946]",7350,-468.82099715736365,-528.6615293729188,5.671880232783774,6.194027732410655
"(0.946, 0.967]",7350,-275.38569722360376,-343.1589999995998,4.001352041289782,4.466890109374129
"(0.967, 1.049]",7351,-2.7239481373398498,-76.6821625191893,2.5934765685699532,2.778305688781736
