학습 지급 구현,모델,월지급형,증분 MAE(원),증분 RMSE(원),유의한 MC 증분 방향 일치율(%),방향 평가 행수
corrected,deeponet,False,16.50694385042195,31.33035130309065,91.48640101201771,7905
corrected,deeponet,True,15.693460330469865,27.10540140479477,90.94871794871796,3900
corrected,xgb,False,22.617467239526942,38.443105654121744,65.60404807084123,7905
corrected,xgb,True,27.675637725324385,42.43336879366382,54.28205128205128,3900
legacy,deeponet,False,18.03184913205437,33.29994054056939,93.92789373814043,7905
legacy,deeponet,True,15.07595072480436,25.81558305828113,93.2051282051282,3900
legacy,xgb,False,22.4060609862683,38.95496340455202,70.6135357368754,7905
legacy,xgb,True,28.4223064832217,43.12139847159043,64.15384615384615,3900
