variant,n,mean,mean_abs,max_abs,exact_or_1e_8
A,44103,-4.715231951171985e-13,4.715231951171985e-13,2.220446049250313e-12,44103
B,44103,-4.653305355689186e-13,4.653305355689186e-13,2.220446049250313e-12,44103
