train_payoff,model,variant,seed,n,R2,MAE,RMSE,MAPE
legacy,deeponet,A,0,19659,0.7686272301776912,78.96167535776178,122.83617648209615,0.7993214087565261
legacy,deeponet,A,1,19659,0.6367412818834033,92.867450057959,153.91402300058232,0.9411691836952307
legacy,deeponet,A,2,19659,0.7735378183006905,74.97372666237915,121.52566614317666,0.7578850471472568
legacy,deeponet,A,3,19659,0.772443175151758,75.92732821666348,121.81901947884363,0.7693774072172027
legacy,deeponet,A,4,19659,0.7974984857877798,73.81426907006569,114.91700648890276,0.7464493489805523
legacy,deeponet,B,0,19659,0.7986619329655423,99.69570685484871,149.17007328635356,1.018349017310288
legacy,deeponet,B,1,19659,0.8122839676250351,97.55498308596553,144.03546493188009,0.9943982376363911
legacy,deeponet,B,2,19659,0.7996047632422977,100.20331361373748,148.8203950048787,1.0207199765892718
legacy,deeponet,B,3,19659,0.8013695201252249,99.6576022907064,148.163661367611,1.0172391404921401
legacy,deeponet,B,4,19659,0.7739926289195754,109.71964868361617,158.04474405453087,1.1221359687020898
legacy,xgb,A,0,19659,0.6864691232536151,94.2570857708573,142.9915340251326,0.954564787160694
legacy,xgb,A,1,19659,0.6862015594117765,96.4378016890806,143.05253472391666,0.9763346453712598
legacy,xgb,A,2,19659,0.6789838237683818,95.80288027298175,144.68837049136025,0.9702152207965803
legacy,xgb,A,3,19659,0.6986563386997862,93.40739370400946,140.18488741522492,0.945364806696777
legacy,xgb,A,4,19659,0.6725530813685657,96.3813942946068,146.1304160751265,0.9766061055742361
legacy,xgb,B,0,19659,0.6597077269113929,132.73847796526908,193.9299116480914,1.3566779166427423
legacy,xgb,B,1,19659,0.6696123182035558,132.33932975188208,191.0867962038707,1.3515124701840566
legacy,xgb,B,2,19659,0.6510216382268665,134.76495452122558,196.38938289890527,1.3779945936022042
legacy,xgb,B,3,19659,0.664450079187948,132.63281909007932,192.57385575169616,1.3542003004749719
legacy,xgb,B,4,19659,0.6505301020046239,134.3717090844073,196.52764151079617,1.3736966209858859
corrected,deeponet,A,0,19659,0.9101956426599748,47.29792117782861,76.52773709241569,0.48078007521558713
corrected,deeponet,A,1,19659,0.8345515338795778,64.34218463419177,103.87272844206636,0.6542677636843449
corrected,deeponet,A,2,19659,0.9027649359145558,46.05834901691812,79.63089909249466,0.46866168182740037
corrected,deeponet,A,3,19659,0.9075475565952351,48.36437242822644,77.64783724066935,0.4913938902379173
corrected,deeponet,A,4,19659,0.8524756736366959,62.11910696066749,98.0848623596341,0.6325782117640583
corrected,deeponet,B,0,19659,0.920317950986871,63.892609254089315,93.8423775580329,0.6560978504530149
corrected,deeponet,B,1,19659,0.8998883842026274,70.83349633308138,105.1867389600156,0.7283848291409847
corrected,deeponet,B,2,19659,0.8981411683478524,69.4154397189358,106.10066377352861,0.7131737804972035
corrected,deeponet,B,3,19659,0.8907231024115599,71.25185163045597,109.89626539798309,0.7329794510789551
corrected,deeponet,B,4,19659,0.8995232402467204,68.90284561121452,105.37839176215907,0.7094106144285617
corrected,xgb,A,0,19659,0.8184158785703533,71.03873460087813,108.82009517929126,0.7221805517432976
corrected,xgb,A,1,19659,0.81781128664586,72.22091868516003,109.00110516280347,0.733686619190235
corrected,xgb,A,2,19659,0.8245834801083062,69.76501567963734,106.95606395236229,0.7087989956748352
corrected,xgb,A,3,19659,0.8308490909546943,69.16028162169022,105.02854157766389,0.7022710053808094
corrected,xgb,A,4,19659,0.8185540899789434,71.44972943663508,108.77867349126305,0.726082127120301
corrected,xgb,B,0,19659,0.8432064724211619,88.08032822570257,131.63846856751866,0.9055336408035942
corrected,xgb,B,1,19659,0.8482998415947292,86.19486568519197,129.4827077534127,0.886910135561122
corrected,xgb,B,2,19659,0.8320459971997968,89.36980679069265,136.24291750997276,0.9212063637774088
corrected,xgb,B,3,19659,0.8497726407216488,86.0820443048252,128.85262554094973,0.8858688433163854
corrected,xgb,B,4,19659,0.8391875106300819,88.2472822325901,133.3148852249538,0.9085197323376495
