segment,n,gap_legacy,gap_corrected,MAPE_legacy,MAPE_corrected
"(0.699, 0.879]",7351,-1136.1503898115593,-1200.3768734903947,13.952559922930847,14.678520856590275
"(0.879, 0.908]",7350,-853.3851609546407,-905.6416289731001,10.14419217959439,10.687963535214882
"(0.908, 0.928]",7351,-718.468004636523,-761.6002422494204,8.15265917028552,8.593756109971878
"(0.928, 0.946]",7350,-573.9313819998632,-614.0922679245595,6.4242969137674875,6.809703552052476
"(0.946, 0.967]",7350,-376.9264200265869,-423.1801771167374,4.365005043089559,4.7590181147979544
"(0.967, 1.049]",7351,-88.95379545541958,-140.6043544651504,2.332403459693826,2.507044318684644
