item,i,case,monthly,structure,axis,h,mc,delta,delta_se,affected,seed_min,seed_max
KR6SH0001D24,35274,0,False,STEP no-KI,base,0.0,0.9543953915965998,0.0,0.0,0,0.0,0.0
KR6SH0001D24,35274,1,False,STEP no-KI,coupon_regular,-0.01,0.9454063846439077,-89.89006952691996,0.24808955187348997,104952,-90.18210193789751,-89.32432263525413
KR6SH0001D24,35274,2,False,STEP no-KI,coupon_regular,-0.005,0.9499008881202538,-44.94503476345992,0.1240447759367454,104952,-45.09105096894873,-44.662161317627024
KR6SH0001D24,35274,3,False,STEP no-KI,coupon_regular,-0.0025,0.9521481398584266,-22.47251738173049,0.06202238796837229,104952,-22.545525484474894,-22.331080658814045
KR6SH0001D24,35274,4,False,STEP no-KI,coupon_regular,-0.001,0.9534964909013305,-8.989006952691577,0.024808955187351003,104952,-9.018210193789336,-8.93243226352499
KR6SH0001D24,35274,5,False,STEP no-KI,coupon_regular,0.001,0.9552942922918691,8.989006952692675,0.02480895518734724,104952,8.932432263526097,9.018210193790434
KR6SH0001D24,35274,6,False,STEP no-KI,coupon_regular,0.0025,0.9566426433347727,22.472517381730523,0.06202238796837042,104952,22.331080658814074,22.545525484474915
KR6SH0001D24,35274,7,False,STEP no-KI,coupon_regular,0.005,0.9588898950729459,44.9450347634611,0.12404477593674205,104952,44.66216131762821,45.091050968949894
KR6SH0001D24,35274,8,False,STEP no-KI,coupon_regular,0.01,0.9633843985492918,89.89006952692152,0.24808955187348816,104952,89.32432263525571,90.1821019378991
KR6SH0001D24,35274,9,False,STEP no-KI,first_strike,-0.05,0.9726970963875196,183.01704790919658,2.90363131529034,25044,179.4706302894172,188.4342067328696
KR6SH0001D24,35274,10,False,STEP no-KI,first_strike,-0.025,0.9627561029293956,83.60711332795877,2.0049484516959004,13450,81.54907117488098,86.77138243719028
KR6SH0001D24,35274,11,False,STEP no-KI,first_strike,-0.01,0.9574914141970102,30.96022600410427,1.2329594364292709,5517,29.445499594593752,32.93885836546846
KR6SH0001D24,35274,12,False,STEP no-KI,first_strike,-0.005,0.9559255993654403,15.30207768840618,0.8683990814824869,2768,13.965178825699393,17.56349673357103
KR6SH0001D24,35274,13,False,STEP no-KI,first_strike,0.005,0.9527735211309167,-16.21870465683185,0.8876707696843131,2768,-18.733055088353005,-13.595033787499663
KR6SH0001D24,35274,14,False,STEP no-KI,first_strike,0.01,0.9513087163306074,-30.866752659922327,1.223601455257802,5567,-34.371754481425185,-27.191739283954107
KR6SH0001D24,35274,15,False,STEP no-KI,first_strike,0.025,0.9471102313067795,-72.85160289820305,1.89106678516487,14224,-77.5963721088066,-67.76855504708959
KR6SH0001D24,35274,16,False,STEP no-KI,first_strike,0.05,0.9420949670743355,-123.00424522264349,2.4709264447479784,27680,-126.4762859062857,-119.35261547026528
KR6SH0001D24,35274,17,False,STEP no-KI,last_strike,-0.05,0.9701064522559381,157.110606593383,2.3462404968316863,4327,152.45575688960332,161.74657578851665
KR6SH0001D24,35274,18,False,STEP no-KI,last_strike,-0.025,0.9623307056915074,79.35314094907622,1.6588814205136675,2246,75.7522160120991,84.86654523080921
KR6SH0001D24,35274,19,False,STEP no-KI,last_strike,-0.01,0.9576912921347478,32.95900538147955,1.0662505094611676,948,32.63565380138001,33.275534119069704
KR6SH0001D24,35274,20,False,STEP no-KI,last_strike,-0.005,0.9559816149268989,15.862233302992554,0.738975567263161,459,15.028908731551656,16.287278376311257
