basis,variant,payoff,n,mean,median,MAE,RMSE,MAPE,sd
original_normalization,A,legacy,44103,-624.637438403094,-641.7232184313759,680.835262120149,786.287180380376,7.561892508204904,477.5780272620708
original_normalization,A,survival_only,44103,-660.2617722179891,-672.1837899719718,710.2169323972785,817.3603265178846,7.885726646573022,481.80655770251565
original_normalization,A,corrected,44103,-674.2510675346919,-684.2742029557047,721.0646595997921,826.7844758699189,8.006041017686535,478.5010543617361
original_normalization,B,legacy,44103,-498.0751947190652,-534.804622514643,603.5350003325864,709.3305654449468,6.688897461472066,505.0512203128688
original_normalization,B,survival_only,44103,-548.8896476898626,-579.4856293268058,642.9932217171075,752.0751859577455,7.124249849909379,514.1432035553645
original_normalization,B,corrected,44103,-569.65986479803,-597.2444038698643,656.5319919133186,763.2074088380625,7.275394146425346,507.9163679292656
common_10000_face,A,legacy,44103,-674.2844683881837,-697.0570766258232,724.1765608867432,826.0487517818256,8.075473731382472,477.1814738375924
common_10000_face,A,survival_only,44103,-709.9088022030787,-724.9017760929488,753.6685489830193,856.2300205320377,8.400949764487489,478.7113292331423
common_10000_face,A,corrected,44103,-723.8980975197816,-738.0036634044285,764.9678520264478,866.1024257048653,8.526662686597266,475.51033961744145
common_10000_face,B,legacy,44103,-547.7222247041548,-590.5716811218853,643.6958173669274,746.2979614270732,7.164869540063502,506.91896621788413
common_10000_face,B,survival_only,44103,-598.5366776749523,-633.3447204503407,683.4624319830074,787.9689831064109,7.604162991144204,512.4987017586564
common_10000_face,B,corrected,44103,-619.3068947831196,-652.4611198517915,697.9467178070346,799.9802402110918,7.766243444132297,506.39230762111805
