basis,variant,payoff,structure,monthly,n,mean,MAE,MAPE
original_normalization,A,legacy,LIZARD KI,False,1614,-598.2618249525025,717.4716384603561,8.0828918579015
original_normalization,A,legacy,LIZARD no-KI,False,8627,-640.9747644911138,702.4689528841352,7.756074706918554
original_normalization,A,legacy,LIZARD no-KI,True,120,-328.5533559134823,378.6297663663138,4.020683439519985
original_normalization,A,legacy,STEP KI,False,14086,-598.6095105255152,670.6460040990918,7.462639311694565
original_normalization,A,legacy,STEP KI,True,2,-366.8143012322672,366.8143012322672,4.288192508990203
original_normalization,A,legacy,STEP no-KI,False,15222,-631.8928221216909,664.854734163927,7.379609607957847
original_normalization,A,legacy,STEP no-KI,True,4432,-668.3788204518531,720.9772352276532,8.033052378045381
original_normalization,A,survival_only,LIZARD KI,False,1614,-674.0232301788111,783.4253319623743,8.810681558815123
original_normalization,A,survival_only,LIZARD no-KI,False,8627,-640.9747644911138,702.4689528841352,7.756074706918554
original_normalization,A,survival_only,LIZARD no-KI,True,120,-328.5533559134823,378.6297663663138,4.020683439519985
original_normalization,A,survival_only,STEP KI,False,14086,-701.4570704560055,755.0716881753241,8.393052638370165
original_normalization,A,survival_only,STEP KI,True,2,-441.9928123166755,441.9928123166755,5.089346319974777
original_normalization,A,survival_only,STEP no-KI,False,15222,-631.8928221216909,664.854734163927,7.379609607957847
original_normalization,A,survival_only,STEP no-KI,True,4432,-668.3788204518531,720.9772352276532,8.033052378045381
original_normalization,A,corrected,LIZARD KI,False,1614,-692.4359537735371,797.9442980510477,8.971178262855341
original_normalization,A,corrected,LIZARD no-KI,False,8627,-651.4484554340752,709.7393975798099,7.835829801049963
original_normalization,A,corrected,LIZARD no-KI,True,120,-380.7477322139147,406.18435981450216,4.3114784929245555
original_normalization,A,corrected,STEP KI,False,14086,-706.2774239499624,758.235180960267,8.428156774760499
original_normalization,A,corrected,STEP KI,True,2,-542.0191169671573,542.0191169671573,6.324336722809199
original_normalization,A,corrected,STEP no-KI,False,15222,-637.9608464331421,669.2021684315819,7.427238227872429
original_normalization,A,corrected,STEP no-KI,True,4432,-742.874506497788,783.7067856657685,8.733027722602804
