basis,variant,payoff,structure,monthly,n,mean,MAE,MAPE
original_normalization,B,legacy,LIZARD KI,False,1614,-463.9224479073687,665.3784741887683,7.483589780914628
original_normalization,B,legacy,LIZARD no-KI,False,8627,-531.7468898077541,653.2087221337258,7.192858830308566
original_normalization,B,legacy,LIZARD no-KI,True,120,-232.76546219794074,363.71921956869954,3.828379029891793
original_normalization,B,legacy,STEP KI,False,14086,-466.8830596505531,592.4438659664655,6.576537037778775
original_normalization,B,legacy,STEP KI,True,2,-156.31538820259306,471.60749589897745,5.371993681513288
original_normalization,B,legacy,STEP no-KI,False,15222,-512.706512573037,580.1308569682167,6.429096838653881
original_normalization,B,legacy,STEP no-KI,True,4432,-501.1916210596403,606.5085501728033,6.745978214066583
original_normalization,B,survival_only,LIZARD KI,False,1614,-570.0090187059035,748.4669123822309,8.402921954507397
original_normalization,B,survival_only,LIZARD no-KI,False,8627,-531.7468898077541,653.2087221337258,7.192858830308566
original_normalization,B,survival_only,LIZARD no-KI,True,120,-232.76546219794074,363.71921956869954,3.828379029891793
original_normalization,B,survival_only,STEP KI,False,14086,-613.8135648505773,706.4793761419585,7.834416805619735
original_normalization,B,survival_only,STEP KI,True,2,-247.8143155538587,380.1085685477118,4.396918313684273
original_normalization,B,survival_only,STEP no-KI,False,15222,-512.706512573037,580.1308569682167,6.429096838653881
original_normalization,B,survival_only,STEP no-KI,True,4432,-501.1916210596403,606.5085501728033,6.745978214066583
original_normalization,B,corrected,LIZARD KI,False,1614,-592.9924148530322,763.7337944403286,8.572355212847308
original_normalization,B,corrected,LIZARD no-KI,False,8627,-547.490087626421,662.2088913003922,7.292147367033383
original_normalization,B,corrected,LIZARD no-KI,True,120,-296.35501802528984,391.4921206348751,4.1254709100474285
original_normalization,B,corrected,STEP KI,False,14086,-620.3405605618267,710.0221986440783,7.87424554060459
original_normalization,B,corrected,STEP KI,True,2,-410.2600529112516,607.0888819052161,7.030495824102298
original_normalization,B,corrected,STEP no-KI,False,15222,-522.2279992228073,585.6707730985448,6.490850934239163
original_normalization,B,corrected,STEP no-KI,True,4432,-613.6208057647264,687.0129872363242,7.64713408936502
common_10000_face,A,legacy,LIZARD KI,False,1614,-624.5773818862322,741.7190444963419,8.37573269204393
common_10000_face,A,legacy,LIZARD no-KI,False,8627,-703.656300133365,755.1920196813263,8.383077959487332
common_10000_face,A,legacy,LIZARD no-KI,True,120,-328.5533559134823,378.6297663663138,4.020683439519985
common_10000_face,A,legacy,STEP KI,False,14086,-628.2001290436293,696.72594675143,7.770244740425498
common_10000_face,A,legacy,STEP KI,True,2,-366.8143012322672,366.8143012322672,4.288192508990203
common_10000_face,A,legacy,STEP no-KI,False,15222,-695.914523326522,721.8014965993884,8.050755752544125
common_10000_face,A,legacy,STEP no-KI,True,4432,-716.890611600222,762.3351772195813,8.533854236706773
common_10000_face,A,survival_only,LIZARD KI,False,1614,-700.3387871125408,807.7249810997611,9.105497524066458
common_10000_face,A,survival_only,LIZARD no-KI,False,8627,-703.656300133365,755.1920196813263,8.383077959487332
common_10000_face,A,survival_only,LIZARD no-KI,True,120,-328.5533559134823,378.6297663663138,4.020683439519985
common_10000_face,A,survival_only,STEP KI,False,14086,-731.0476889741194,781.4910477247347,8.705572494331808
common_10000_face,A,survival_only,STEP KI,True,2,-441.9928123166755,441.9928123166755,5.089346319974777
common_10000_face,A,survival_only,STEP no-KI,False,15222,-695.914523326522,721.8014965993884,8.050755752544125
common_10000_face,A,survival_only,STEP no-KI,True,4432,-716.890611600222,762.3351772195813,8.533854236706773
common_10000_face,A,corrected,LIZARD KI,False,1614,-718.7515107072668,822.2896184126877,9.267771683680934
common_10000_face,A,corrected,LIZARD no-KI,False,8627,-714.1299910763264,762.8976214733709,8.467998083746718
common_10000_face,A,corrected,LIZARD no-KI,True,120,-380.7477322139147,406.18435981450216,4.3114784929245555
common_10000_face,A,corrected,STEP KI,False,14086,-735.8680424680765,784.7172853941743,8.741426624787156
common_10000_face,A,corrected,STEP KI,True,2,-542.0191169671573,542.0191169671573,6.324336722809199
common_10000_face,A,corrected,STEP no-KI,False,15222,-701.9825476379734,726.7044760836395,8.104622400525805
common_10000_face,A,corrected,STEP no-KI,True,4432,-791.3862976461569,826.5872235862818,9.253041017803021
common_10000_face,B,legacy,LIZARD KI,False,1614,-490.2380048410983,687.7338528519845,7.753374189005921
common_10000_face,B,legacy,LIZARD no-KI,False,8627,-594.4284254500054,703.2750625970097,7.788464810119833
common_10000_face,B,legacy,LIZARD no-KI,True,120,-232.76546219794074,363.71921956869954,3.828379029891793
common_10000_face,B,legacy,STEP KI,False,14086,-496.47367816866716,616.9898223732713,6.865457200392573
common_10000_face,B,legacy,STEP KI,True,2,-156.31538820259306,471.60749589897745,5.371993681513288
common_10000_face,B,legacy,STEP no-KI,False,15222,-576.7282137778682,632.051150811505,7.042184277422412
common_10000_face,B,legacy,STEP no-KI,True,4432,-549.7034122080091,644.216934310339,7.200835018244006
common_10000_face,B,survival_only,LIZARD KI,False,1614,-596.3245756396332,771.2331415583425,8.678980190586499
common_10000_face,B,survival_only,LIZARD no-KI,False,8627,-594.4284254500054,703.2750625970097,7.788464810119833
common_10000_face,B,survival_only,LIZARD no-KI,True,120,-232.76546219794074,363.71921956869954,3.828379029891793
common_10000_face,B,survival_only,STEP KI,False,14086,-643.4041833686913,731.9438299194603,8.134957494102418
common_10000_face,B,survival_only,STEP KI,True,2,-247.8143155538587,380.1085685477118,4.396918313684273
common_10000_face,B,survival_only,STEP no-KI,False,15222,-576.7282137778682,632.051150811505,7.042184277422412
common_10000_face,B,survival_only,STEP no-KI,True,4432,-549.7034122080091,644.216934310339,7.200835018244006
common_10000_face,B,corrected,LIZARD KI,False,1614,-619.3079717867618,787.0437516985813,8.855846011407737
common_10000_face,B,corrected,LIZARD no-KI,False,8627,-610.1716232686721,713.4093714970015,7.9005222964051915
common_10000_face,B,corrected,LIZARD no-KI,True,120,-296.35501802528984,391.4921206348751,4.1254709100474285
common_10000_face,B,corrected,STEP KI,False,14086,-649.9311790799406,735.6666910097521,8.176792878742372
common_10000_face,B,corrected,STEP KI,True,2,-410.2600529112516,607.0888819052161,7.030495824102298
common_10000_face,B,corrected,STEP no-KI,False,15222,-586.2497004276385,638.6595870526763,7.115694461280776
common_10000_face,B,corrected,STEP no-KI,True,4432,-662.1325969130952,727.4824811322889,8.136500501496428
