payoff,model,variant,seed,fold,n,R2,MAE,RMSE,MAPE
legacy,deeponet,A,0,0,4457,0.9742821176758237,20.9501952658739,30.422765853011008,0.2120475101959775
legacy,deeponet,A,0,1,5051,0.8420524682596378,82.51700613739854,119.30796780582628,0.8504074329928786
legacy,deeponet,A,0,2,5066,0.9318065065019052,27.464061823924197,37.11869041718729,0.2745070522548788
legacy,deeponet,A,0,3,5085,0.9077136047431698,44.639490796460166,85.68943514011767,0.45882005160082334
legacy,deeponet,A,1,0,4457,0.9666606058714892,24.22824821628898,34.63856916923219,0.24601643104710202
legacy,deeponet,A,1,1,5051,0.18132308051349078,196.3342388635914,271.6247251957497,2.019567845261127
legacy,deeponet,A,1,2,5066,0.9481159190663101,23.3969776549546,32.377121853582736,0.23419681830153244
legacy,deeponet,A,1,3,5085,0.936889772576699,39.121101042281204,70.86116878127773,0.4020894690314651
legacy,deeponet,A,2,0,4457,0.9712084606243597,24.052883711016385,32.189448449043724,0.24382833140716517
legacy,deeponet,A,2,1,5051,0.8859149476660577,70.6355308255791,101.39753552478629,0.727754325724804
legacy,deeponet,A,2,2,5066,0.9574821857485862,20.413904263718912,29.309380622452064,0.2047628119899859
legacy,deeponet,A,2,3,5085,0.8799282672900615,52.82487970501477,97.74146127089787,0.5432671329793312
legacy,deeponet,A,3,0,4457,0.9720973378277475,23.011243930895212,31.688662786089605,0.23315216450313933
legacy,deeponet,A,3,1,5051,0.9076095069160854,66.60172781627399,91.24869646412522,0.6888176548623547
legacy,deeponet,A,3,2,5066,0.9487122810636135,22.979258507698383,32.19051076393722,0.23032965466830818
legacy,deeponet,A,3,3,5085,0.8814088372419234,43.727430501474934,97.13698117012653,0.4488792402016813
legacy,deeponet,A,4,0,4457,0.9727903601123173,20.05838270136864,31.292660582075452,0.20399994305830715
legacy,deeponet,A,4,1,5051,0.8644790379758026,73.47120825579091,110.51373695102798,0.7596929134851259
legacy,deeponet,A,4,2,5066,0.9529363070748857,21.543392834583518,30.836435929319972,0.21580069003702748
legacy,deeponet,A,4,3,5085,0.9333426323004502,40.4885173844641,72.8253395775232,0.41616566606226785
legacy,deeponet,B,0,0,4457,0.9726475672509497,28.67971352927978,39.053348439966854,0.2939076123168242
legacy,deeponet,B,0,1,5051,0.9254757895219683,75.10805513759652,100.69953678710195,0.7872732570768336
legacy,deeponet,B,0,2,5066,0.9406758020038748,27.828323016186346,41.0808544828626,0.280707454733647
legacy,deeponet,B,0,3,5085,0.9600957436941719,44.283963579154374,75.32229750676996,0.464452104459018
legacy,deeponet,B,1,0,4457,0.964737807202962,36.19244595019071,44.341967022787664,0.36856382981851965
legacy,deeponet,B,1,1,5051,0.9075708682622249,85.27602108493367,112.1458527522376,0.8909035466030092
legacy,deeponet,B,1,2,5066,0.9394855405511738,29.125232629293325,41.49092428591997,0.2934806365256683
legacy,deeponet,B,1,3,5085,0.9324422006969988,52.3427176204523,98.0057812280531,0.5502488720352908
legacy,deeponet,B,2,0,4457,0.9654843781855469,34.30018990352254,43.87005185318452,0.3496818326564416
legacy,deeponet,B,2,1,5051,0.9218995180947523,79.6715864581271,103.08741222028428,0.8345972401492815
legacy,deeponet,B,2,2,5066,0.9343032636466773,30.614010402684578,43.23101460064032,0.3085795834932446
legacy,deeponet,B,2,3,5085,0.9596014449326786,43.89827040314651,75.78737481936743,0.4613050211354838
legacy,deeponet,B,3,0,4457,0.9647842627551213,35.277330334305596,44.312748626249196,0.35892526204126757
legacy,deeponet,B,3,1,5051,0.9222543658630215,77.35421914472381,102.85295794795091,0.813200486835497
legacy,deeponet,B,3,2,5066,0.9413365507629183,28.9478436833794,40.85143604363783,0.29193322702945246
legacy,deeponet,B,3,3,5085,0.9263804137322884,50.66528743362833,102.30824483482235,0.531406669994709
legacy,deeponet,B,4,0,4457,0.9683760615907954,32.44637572358088,41.992165806379674,0.33155499947115286
legacy,deeponet,B,4,1,5051,0.8891569898699481,99.98127372797465,122.80977525374314,1.043084879993581
legacy,deeponet,B,4,2,5066,0.9346630220920771,32.799996585077,43.11248456528463,0.3304507985015243
legacy,deeponet,B,4,3,5085,0.9216474672689806,54.40495695181907,105.54568131016508,0.5694986137003324
legacy,xgb,A,0,0,4457,0.9412128374077151,35.78405925510433,45.99624113452401,0.36045457686391397
legacy,xgb,A,0,1,5051,0.8669953719904884,73.07763510196,109.48292784938901,0.7607762474265743
legacy,xgb,A,0,2,5066,0.8020375843578543,50.41242976707459,63.243012386862056,0.503761934923716
legacy,xgb,A,0,3,5085,0.8181393001533881,70.2768249754179,120.28954099979065,0.7196282745120358
legacy,xgb,A,1,0,4457,0.9181756312717294,42.452835674220324,54.26532698070584,0.42748569991036917
legacy,xgb,A,1,1,5051,0.8735326278860861,71.08617899425855,106.75845344806774,0.7399098228317376
legacy,xgb,A,1,2,5066,0.7793467002826809,53.84627159494668,66.76923323519829,0.5375707875059894
legacy,xgb,A,1,3,5085,0.824327309793458,69.18976399213373,118.2253381063403,0.7090457065430241
legacy,xgb,A,2,0,4457,0.9315268656459809,38.998467242539824,49.641077150355436,0.39291812984649443
legacy,xgb,A,2,1,5051,0.8679230388284538,71.63495133636903,109.10045470821147,0.7458286207242588
legacy,xgb,A,2,2,5066,0.7950782547888957,51.525006514014976,64.3450582908034,0.5146369463182434
legacy,xgb,A,2,3,5085,0.805851095571597,71.77239512291051,124.28705881193842,0.7356546179667702
legacy,xgb,A,3,0,4457,0.9302961378383469,39.44952272829257,50.0852116816226,0.39712505953424715
legacy,xgb,A,3,1,5051,0.8893180085549605,68.6181156602653,99.87378496915328,0.7139639989169263
legacy,xgb,A,3,2,5066,0.8212711309709462,47.90563393209633,60.092258849604086,0.4788718178330442
