payoff,model,monthly,axis,h,contracts,mean_MC_delta,delta_MAE,delta_RMSE,resolved_rows,direction_agreement
corrected,deeponet,False,coupon_regular,-0.01,64,-69.61215837841334,20.190984187599067,26.667633930054606,320,0.990625
corrected,deeponet,False,coupon_regular,-0.005,64,-34.806079189206734,10.193109980799857,13.606861524873494,320,0.990625
corrected,deeponet,False,coupon_regular,-0.0025,64,-17.40303959460337,5.1384041821369415,6.893006689799877,320,0.990625
corrected,deeponet,False,coupon_regular,-0.001,64,-6.9612158378413,2.0691348041176485,2.781163852433125,320,0.990625
corrected,deeponet,False,coupon_regular,0.001,64,6.96121583784133,2.087809493920574,2.815584603490483,320,0.9875
corrected,deeponet,False,coupon_regular,0.0025,64,17.403039594603307,5.256039806676609,7.107462733393743,320,0.9875
corrected,deeponet,False,coupon_regular,0.005,64,34.80607918920674,10.659429527439771,14.455953040023624,320,0.9875
corrected,deeponet,False,coupon_regular,0.01,64,69.61215837841357,22.088180073778,29.939877807067276,320,0.9875
corrected,deeponet,False,first_strike,-0.05,64,52.1542614286805,33.72062273258402,43.76009433075257,305,0.8557377049180328
corrected,deeponet,False,first_strike,-0.025,64,23.793368043574826,17.37550812295175,22.469051551293525,280,0.8678571428571429
corrected,deeponet,False,first_strike,-0.01,64,8.910124813097609,7.14834549596164,9.114340764354983,275,0.8727272727272727
corrected,deeponet,False,first_strike,-0.005,64,4.404548459233889,3.730897709149086,4.726172114586289,260,0.8730769230769231
corrected,deeponet,False,first_strike,0.005,64,-4.217786553293496,3.8821034250424327,4.901781744586873,250,0.864
corrected,deeponet,False,first_strike,0.01,64,-8.208873180871384,7.755138538623223,9.796201039700472,260,0.8346153846153846
corrected,deeponet,False,first_strike,0.025,64,-19.083966193598933,19.471261392730252,24.561236284472116,280,0.8035714285714286
corrected,deeponet,False,first_strike,0.05,64,-33.03256531183979,40.14057164289486,50.91633149807166,285,0.7824561403508772
corrected,deeponet,False,ki_barrier,-0.05,32,163.56664843443062,78.46225225252294,108.90374358286627,160,0.98125
corrected,deeponet,False,ki_barrier,-0.025,32,82.79579381153849,39.23075553680327,53.60143997615541,160,0.96875
corrected,deeponet,False,ki_barrier,-0.01,32,33.211118455696784,15.680361293377796,21.19638325822895,160,0.96875
corrected,deeponet,False,ki_barrier,-0.005,32,16.551832793532004,7.6998852308821215,10.632639651594843,160,0.96875
corrected,deeponet,False,ki_barrier,0.005,32,-16.508354244850707,7.498569890344816,10.275125894994215,160,0.9625
corrected,deeponet,False,ki_barrier,0.01,32,-32.94324540855909,15.013873204292526,20.358184547950493,160,0.9625
corrected,deeponet,False,ki_barrier,0.025,32,-81.10604033891187,36.474113054181295,48.47972276146481,160,0.95625
corrected,deeponet,False,ki_barrier,0.05,32,-156.86562535425,68.69236576999381,90.7587548594985,160,0.95625
corrected,deeponet,False,last_strike,-0.05,64,38.193334168422176,30.129912614699016,45.604133830660544,295,0.8203389830508474
corrected,deeponet,False,last_strike,-0.025,64,18.12897345667515,14.7848082546755,20.94286838462521,270,0.8333333333333334
corrected,deeponet,False,last_strike,-0.01,64,6.99939657664657,6.028411171004851,8.31591844412315,230,0.8434782608695652
corrected,deeponet,False,last_strike,-0.005,64,3.4330275135181436,3.0367251787677767,4.177623592873772,160,0.925
corrected,deeponet,False,last_strike,0.005,64,-3.359949978114811,3.0525660251006643,4.248519573535862,160,0.925
corrected,deeponet,False,last_strike,0.01,64,-6.708253060457151,6.187936871760828,8.637421910093133,225,0.8711111111111111
