cohort,model,seed,axis,n_rows,n_families,price_mae,price_rmse,price_r2,delta_mae,delta_rmse,delta_bias,within_1,within_5,within_10,resolved_n,resolved_sign
monthly_test,affine_coupon_delta,101,ALL,4548,128,88.00877075390949,156.54274610024996,0.9313402485335274,7.99924100183699,17.19777916658144,-0.9687016530738942,0.27149321266968324,0.6490950226244344,0.8018099547511313,4305.0,0.9396051103368177
monthly_test,affine_coupon_delta,101,base,128,128,91.26757751338783,161.55939211724356,0.9249088573880744,,,,,,,,
monthly_test,affine_coupon_delta,101,coupon_regular,1024,128,91.39226341700244,161.67380959750838,0.9255544862908833,3.4909287412805696,6.081592733594006,-1.047737899552599e-05,0.3828125,0.783203125,0.91015625,1024.0,1.0
monthly_test,affine_coupon_delta,101,first_strike,1024,128,90.22083281418014,158.82851391188743,0.9274839174014561,10.961943186374242,19.379157665075834,-2.7890775546332653,0.1435546875,0.51171875,0.6953125,970.0,0.7835051546391752
monthly_test,affine_coupon_delta,101,ki_barrier,344,43,58.41299593941399,96.24224467236841,0.9791850608515005,8.88187329890856,15.060635127193759,-1.0614273534458785,0.17151162790697674,0.561046511627907,0.7093023255813954,337.0,0.9614243323442137
monthly_test,affine_coupon_delta,101,last_strike,1024,128,91.5163337528728,161.98089944578544,0.9247966347858259,14.174497427428259,27.623713834826702,-0.9768540355382941,0.2041015625,0.5185546875,0.6923828125,997.0,0.9648946840521565
monthly_test,affine_coupon_delta,101,monthly_barrier,1004,128,88.4492356177645,159.24094305685432,0.927424532338445,2.9749547745915126,5.0324119906006635,-0.059965756802251476,0.39143426294820716,0.8157370517928287,0.9432270916334662,977.0,0.9979529170931423
monthly_test,affine_coupon_delta,233,ALL,4548,128,156.22993466005082,269.66012645172606,0.7962630507900477,6.784513769309381,13.226894971491244,-0.600640004838832,0.26040723981900454,0.6592760180995475,0.817420814479638,4305.0,0.9451800232288037
monthly_test,affine_coupon_delta,233,base,128,128,165.14681626594393,279.71975843526997,0.7749025470105464,,,,,,,,
monthly_test,affine_coupon_delta,233,coupon_regular,1024,128,165.27503771418847,279.901322125031,0.776864285933622,5.907007419808014,10.08041957273411,3.259629008023346e-05,0.267578125,0.67578125,0.826171875,1024.0,1.0
monthly_test,affine_coupon_delta,233,first_strike,1024,128,162.9084325854486,276.2133711143598,0.7806857823872397,10.338324055564911,19.826255270187715,-2.4596809836005633,0.203125,0.55859375,0.7412109375,970.0,0.777319587628866
monthly_test,affine_coupon_delta,233,ki_barrier,344,43,57.1728118744187,101.71024071792857,0.9767526730924229,7.703891740909623,13.325120839937671,0.09965899792659635,0.15988372093023256,0.5843023255813954,0.7732558139534884,337.0,0.9525222551928784
monthly_test,affine_coupon_delta,233,last_strike,1024,128,164.82497944363334,279.08531854786395,0.7767540216391569,6.929980418253045,12.877292456109323,-0.3556711914955162,0.26171875,0.6552734375,0.8115234375,997.0,0.9969909729187563
monthly_test,affine_coupon_delta,233,monthly_barrier,1004,128,164.22993080673436,280.5681946656253,0.7747020518219837,3.591526615937807,5.9738539673637945,0.19300371715433914,0.34462151394422313,0.7749003984063745,0.9073705179282868,977.0,0.9989764585465711
monthly_test,affine_coupon_delta,47,ALL,4548,128,58.63925594382431,99.85965482459633,0.9720606400992485,6.778081466009127,13.399271840454029,-0.5790930606046658,0.24638009049773757,0.651131221719457,0.8076923076923077,4305.0,0.9716608594657375
monthly_test,affine_coupon_delta,47,base,128,128,60.26423539419924,102.69091040907053,0.9696619054747208,,,,,,,,
monthly_test,affine_coupon_delta,47,coupon_regular,1024,128,60.540603674133436,103.09702334136915,0.969727280284683,4.950520773359328,9.141414115313406,-1.8626451523434846e-05,0.30078125,0.705078125,0.861328125,1024.0,1.0
monthly_test,affine_coupon_delta,47,first_strike,1024,128,59.937773773568594,100.67613756353182,0.9708639629206235,6.768314794127945,12.016773683418062,-2.7597781464358633,0.2392578125,0.640625,0.7861328125,970.0,0.9463917525773196
monthly_test,affine_coupon_delta,47,ki_barrier,344,43,37.855326923209354,54.98124259285934,0.9932068256662459,6.916734433812235,12.142490764229844,0.10002632887695645,0.22674418604651161,0.6395348837209303,0.7906976744186046,337.0,0.9525222551928784
