cohort,model,seed,structure,n_rows,n_families,price_mae,price_rmse,price_r2,delta_mae,delta_rmse,delta_bias,within_1,within_5,within_10,resolved_n,resolved_sign
monthly_test,affine_coupon_delta,101,LIZARD no-KI,1419,43,196.31428284692888,259.9332683257415,0.7179267108531512,15.719248740444995,27.966513277180596,-2.5034186182141314,0.17223837209302326,0.43459302325581395,0.6184593023255814,1326,0.8521870286576169
monthly_test,affine_coupon_delta,101,STEP KI,1743,43,55.835272433885976,92.6136807742112,0.9807467507517149,5.653570957524904,10.75369088750005,-0.5201935654709285,0.2788235294117647,0.6923529411764706,0.8429411764705882,1635,0.9614678899082569
monthly_test,affine_coupon_delta,101,STEP no-KI,1386,42,17.585167515674563,21.25604657692764,0.9980999477630048,3.0624169147878266,5.064963638123401,0.03524685519093119,0.3638392857142857,0.8139880952380952,0.9375,1344,0.9992559523809523
monthly_test,affine_coupon_delta,233,LIZARD no-KI,1419,43,413.21751550762656,469.6694450814195,0.07907801111218893,13.244254660357454,20.98211298113217,-1.7046119834608817,0.050872093023255814,0.3866279069767442,0.6104651162790697,1326,0.8461538461538461
monthly_test,affine_coupon_delta,233,STEP KI,1743,43,54.88868410894604,98.32142600306751,0.978300482316432,5.004727959989053,9.25262707538769,-0.2575463994992849,0.2911764705882353,0.7229411764705882,0.87,1635,0.980428134556575
monthly_test,affine_coupon_delta,233,STEP no-KI,1386,42,20.567901823013,24.748691389432818,0.9974242421319774,2.4221866932397442,4.042254561734672,0.09564445461556587,0.43601190476190477,0.8578869047619048,0.9627976190476191,1344,1.0
monthly_test,affine_coupon_delta,47,LIZARD no-KI,1419,43,123.82391904357186,166.62661130107637,0.8840883863312882,11.877391175484268,20.64813557926698,-1.7850721894815926,0.1068313953488372,0.46075581395348836,0.6526162790697675,1326,0.9705882352941176
monthly_test,affine_coupon_delta,47,STEP KI,1743,43,37.43095507004534,54.09585217271755,0.9934312659820302,5.527804686466737,9.947441434551905,-0.09956498975322704,0.25,0.6764705882352942,0.8364705882352941,1635,0.9516819571865444
monthly_test,affine_coupon_delta,47,STEP no-KI,1386,42,18.573622094224692,24.82349297273325,0.9974086484238347,3.138810904241466,5.366052257979853,0.04905393410307579,0.38467261904761907,0.8139880952380952,0.9300595238095238,1344,0.9970238095238095
monthly_test,affine_coupon_delta,ensemble,LIZARD no-KI,1419,43,226.4278528529521,285.5560038928489,0.659575491441073,13.062444589696021,21.875991445769564,-1.9977009303856084,0.08502906976744186,0.4127906976744186,0.6395348837209303,1326,0.8725490196078431
monthly_test,affine_coupon_delta,ensemble,STEP KI,1743,43,44.10300589838568,74.94246048289205,0.9873930613725103,4.317650459144489,8.164513451273852,-0.2924349849077473,0.32176470588235295,0.7629411764705882,0.89,1635,0.9737003058103976
monthly_test,affine_coupon_delta,ensemble,STEP no-KI,1386,42,15.428624770263102,19.32158412284171,0.9984300492989155,2.2492985493388877,3.8810973513079565,0.059981747969845775,0.47470238095238093,0.8697916666666666,0.9635416666666666,1344,1.0
monthly_test,augmented_delta,101,LIZARD no-KI,1419,43,139.13629381432096,188.3744670098781,0.8518566024190197,11.118253553943505,17.649979214949948,-1.768774044425821,0.13154069767441862,0.48328488372093026,0.6758720930232558,1326,0.9532428355957768
