cohort,model,seed,n_rows,n_families,price_mae,price_rmse,price_r2
monthly_test,affine_coupon_delta,101,128,128,91.26757751338783,161.55939211724356,0.9249088573880744
monthly_test,affine_coupon_delta,233,128,128,165.14681626594393,279.71975843526997,0.7749025470105464
monthly_test,affine_coupon_delta,47,128,128,60.26423539419924,102.69091040907053,0.9696619054747208
monthly_test,affine_coupon_delta,ensemble,128,128,96.87927218210305,172.54803587668528,0.914346654215036
monthly_test,augmented_delta,101,128,128,87.17680965415548,146.70663571252425,0.9380810179720056
monthly_test,augmented_delta,233,128,128,135.48252525302297,215.15748777515515,0.8668205486757197
monthly_test,augmented_delta,47,128,128,158.98146967750068,256.01028980044725,0.811444530640483
monthly_test,augmented_delta,ensemble,128,128,120.46879260135701,193.7347784662899,0.8920209573092122
monthly_test,augmented_price,101,128,128,110.6181946678056,181.5662411388814,0.905159355341851
monthly_test,augmented_price,233,128,128,128.29465396365174,186.3374512688557,0.9001094064561623
monthly_test,augmented_price,47,128,128,100.06741562863095,175.2065898010647,0.9116868928022862
monthly_test,augmented_price,ensemble,128,128,104.56301776937724,175.2162264459636,0.9116771778085832
previous_canonical_4,affine_coupon_delta,101,4,4,31.133420160701462,37.25128991097711,0.8562127438685689
previous_canonical_4,affine_coupon_delta,233,4,4,35.88602454735246,42.13030863780583,0.8160808098108419
previous_canonical_4,affine_coupon_delta,47,4,4,41.735894373347946,57.896527403544845,0.6526696001739427
previous_canonical_4,affine_coupon_delta,ensemble,4,4,35.06181328623552,44.086649707150734,0.7986034819202376
previous_canonical_4,augmented_delta,101,4,4,56.66365493231842,61.861873591262864,0.6034628297526524
previous_canonical_4,augmented_delta,233,4,4,27.78034931968341,30.08059854000789,0.9062414868107946
previous_canonical_4,augmented_delta,47,4,4,25.1771739211772,30.340907783331357,0.9046117446431495
previous_canonical_4,augmented_delta,ensemble,4,4,17.121933588324282,19.33772730794872,0.9612520591521241
previous_canonical_4,augmented_price,101,4,4,79.58745230132172,83.64058520627542,0.27511036455432203
previous_canonical_4,augmented_price,233,4,4,64.26603249018353,67.50668947285006,0.5277941250132105
previous_canonical_4,augmented_price,47,4,4,58.74914615481157,65.24507327159151,0.5589039070128026
previous_canonical_4,augmented_price,ensemble,4,4,41.075723261923486,52.2875012518527,0.7167085021721571
previous_real_terms_82,affine_coupon_delta,101,82,82,166.94474253740236,238.2827499664975,0.6410175088101733
previous_real_terms_82,affine_coupon_delta,233,82,82,129.7832718833114,165.65414839751764,0.8265027112946416
previous_real_terms_82,affine_coupon_delta,47,82,82,121.10863988494579,150.8611581453841,0.8561059173552621
previous_real_terms_82,affine_coupon_delta,ensemble,82,82,117.65897147143214,155.91211601221352,0.8463092282221643
previous_real_terms_82,augmented_delta,101,82,82,162.09636702211935,256.5040489350676,0.5840161120335388
previous_real_terms_82,augmented_delta,233,82,82,118.60971523717241,162.29105713803602,0.8334758450914919
previous_real_terms_82,augmented_delta,47,82,82,131.78334176858903,163.85077613598781,0.8302596607727807
previous_real_terms_82,augmented_delta,ensemble,82,82,113.37264478298168,159.71147414590666,0.8387275081033145
previous_real_terms_82,augmented_price,101,82,82,170.39347666323067,246.4064728936155,0.6161228300891326
previous_real_terms_82,augmented_price,233,82,82,146.62909613241652,179.47342713573423,0.7963481442497031
previous_real_terms_82,augmented_price,47,82,82,112.10079693340214,151.06866528579556,0.8557097970376846
previous_real_terms_82,augmented_price,ensemble,82,82,113.82365877225061,158.38128869827437,0.8414026944578485
published_monthly_6,affine_coupon_delta,101,6,6,85.51211698682316,97.37128054800878,0.9089713509358637
published_monthly_6,affine_coupon_delta,233,6,6,79.0466341476443,103.38995031142082,0.897370316954572
published_monthly_6,affine_coupon_delta,47,6,6,65.84450526214187,72.96634030017887,0.948883458390245
published_monthly_6,affine_coupon_delta,ensemble,6,6,73.74069680614532,89.09651276337598,0.9237854751143019
published_monthly_6,augmented_delta,101,6,6,55.015831422572774,66.65309755503762,0.9573462706761716
published_monthly_6,augmented_delta,233,6,6,74.30041753427729,96.2138953961361,0.9111224793578825
published_monthly_6,augmented_delta,47,6,6,74.18379111266677,82.55234251273318,0.9345702686447552
published_monthly_6,augmented_delta,ensemble,6,6,67.83334668983873,79.37830599725532,0.9395049294787478
published_monthly_6,augmented_price,101,6,6,79.16485193547153,83.27563332473963,0.9334187072890651
published_monthly_6,augmented_price,233,6,6,48.414282904115375,60.10884235682735,0.9653108976067204
published_monthly_6,augmented_price,47,6,6,57.17295904415945,72.64952374306667,0.9493263861462164
published_monthly_6,augmented_price,ensemble,6,6,54.548597234917,59.48226825276562,0.9660303261680199
regular_test,affine_coupon_delta,101,128,128,69.91846642702453,109.39074166163753,0.9655895516299358
regular_test,affine_coupon_delta,233,128,128,66.71666895255967,99.04660446928582,0.9717896560636506
regular_test,affine_coupon_delta,47,128,128,79.55068831859509,114.53577959007362,0.9622765373192762
regular_test,affine_coupon_delta,ensemble,128,128,63.6484123951118,98.64433516876915,0.9720183385228397
regular_test,augmented_delta,101,128,128,89.0459017397637,124.3180109087884,0.9555576205096458
regular_test,augmented_delta,233,128,128,82.21057095132323,123.41055611949002,0.9562040635816839
regular_test,augmented_delta,47,128,128,84.30381106817029,117.86578518276256,0.9600511110581283
regular_test,augmented_delta,ensemble,128,128,77.35662222192587,112.26965838162627,0.9637545079236116
regular_test,augmented_price,101,128,128,96.72256236220676,132.3101146703562,0.9496597590953831
regular_test,augmented_price,233,128,128,87.32184395071067,131.87156457907187,0.9499929177503172
regular_test,augmented_price,47,128,128,96.65234343870554,131.6495819466225,0.9501611323423125
regular_test,augmented_price,ensemble,128,128,85.24037680984222,123.62467237055603,0.9560519606030431
