model,seed,axis,offset,mc_price_krw,mc_delta_krw,mc_halfwidth_krw,pred_price_krw,pred_delta_krw,baseline_error_krw,changed_error_krw,replay_delta_difference_krw
augmented_price,47,base,0.0,9897.18060017834,0.0,0.0,9811.251163482666,0.0,-85.92943669567467,-85.92943669567467,0.0
augmented_price,47,coupon_regular,-0.01,9788.809660632509,-108.3709395458348,0.368962743814292,9702.131152153015,-109.12001132965088,-85.92943669567467,-86.67850847949376,0.0
augmented_price,47,coupon_regular,-0.005,9842.995130405425,-54.18546977291786,0.18448137190714434,9755.79023361206,-55.46092987060547,-85.92943669567467,-87.20489679336424,0.0
augmented_price,47,coupon_regular,-0.0025,9870.087865291882,-27.092734886458302,0.09224068595357501,9783.310294151306,-27.940869331359863,-85.92943669567467,-86.77757114057567,0.0
augmented_price,47,coupon_regular,-0.001,9886.343506223757,-10.837093954583615,0.03689627438142965,9800.027012825012,-11.224150657653809,-85.92943669567467,-86.31649339874457,0.0
augmented_price,47,coupon_regular,0.001,9908.017694132925,10.837093954583995,0.036896274381427695,9822.53611087799,11.284947395324707,-85.92943669567467,-85.48158325493387,1.7763568394002505e-15
augmented_price,47,coupon_regular,0.0025,9924.273335064798,27.09273488645873,0.09224068595357364,9839.571118354797,28.319954872131348,-85.92943669567467,-84.70221671000036,0.0
augmented_price,47,coupon_regular,0.005,9951.366069951257,54.18546977291842,0.18448137190714256,9868.22247505188,56.97131156921387,-85.92943669567467,-83.1435948993767,0.0
augmented_price,47,coupon_regular,0.01,10005.551539724176,108.3709395458364,0.3689627438142877,9926.31196975708,115.06080627441406,-85.92943669567467,-79.23956996709603,0.0
augmented_price,47,first_strike,-0.05,9922.491215155746,25.31061497740265,2.3146585689961694,9842.24021434784,30.98905086517334,-85.92943669567467,-80.25100080790617,0.0
augmented_price,47,first_strike,-0.025,9907.829470814837,10.648870636495964,1.5383608104349455,9828.827381134033,17.576217651367188,-85.92943669567467,-79.00208968080369,0.0
augmented_price,47,first_strike,-0.01,9900.846488382682,3.665888204340764,0.9290813217203813,9818.740487098694,7.489323616027832,-85.92943669567467,-82.10600128398801,0.0
augmented_price,47,first_strike,-0.005,9899.101119055422,1.9205188770812212,0.6638004458576493,9815.068244934082,3.8170814514160156,-85.92943669567467,-84.03287412133977,4.440892098500626e-16
augmented_price,47,first_strike,0.005,9895.549208840548,-1.6313913377956155,0.633356239119835,9807.295203208923,-3.955960273742676,-85.92943669567467,-88.25400563162475,0.0
augmented_price,47,first_strike,0.01,9894.131526020044,-3.04907415829732,0.8649370669449874,9803.207516670227,-8.043646812438965,-85.92943669567467,-90.92400934981742,0.0
augmented_price,47,first_strike,0.025,9891.169458896306,-6.0111412820366805,1.2629196175846567,9790.219068527222,-21.032094955444336,-85.92943669567467,-100.95039036908383,0.0
augmented_price,47,first_strike,0.05,9887.633997658966,-9.546602519374412,1.652462952462756,9766.576290130615,-44.67487335205078,-85.92943669567467,-121.05770752835087,0.0
augmented_price,47,last_strike,-0.05,9963.828234714749,66.64763453640694,2.6867199502015144,9861.072897911072,49.82173442840576,-85.92943669567467,-102.75533680367698,0.0
augmented_price,47,last_strike,-0.025,9929.648357428545,32.46775725020124,1.855654125797114,9835.979342460632,24.72817897796631,-85.92943669567467,-93.66901496791252,0.0
augmented_price,47,last_strike,-0.01,9909.871842589788,12.69124241144626,1.1525839843220127,9821.098446846008,9.847283363342285,-85.92943669567467,-88.77339574377947,1.7763568394002505e-15
augmented_price,47,last_strike,-0.005,9903.651450932184,6.47085075384287,0.821300882671168,9816.16735458374,4.916191101074219,-85.92943669567467,-87.48409634844393,0.0
augmented_price,47,last_strike,0.005,9891.271747959006,-5.908852219333651,0.7801067769393171,9806.349873542786,-4.901289939880371,-85.92943669567467,-84.92187441622082,0.0
augmented_price,47,last_strike,0.01,9884.508708586163,-12.671891592177086,1.1373730481290898,9801.462888717651,-9.788274765014648,-85.92943669567467,-83.0458198685119,0.0
augmented_price,47,last_strike,0.025,9865.991370369942,-31.18922980839874,1.7621097166117436,9786.892533302307,-24.358630180358887,-85.92943669567467,-79.09883706763503,0.0
augmented_price,47,last_strike,0.05,9837.171717294324,-60.00888288401868,2.3938686511676,9762.907028198242,-48.34413528442383,-85.92943669567467,-74.2646890960823,0.0
augmented_price,47,monthly_barrier,-0.05,9931.533244829425,34.35264465108329,0.630907299679341,9885.945320129395,74.69415664672852,-85.92943669567467,-45.58792470003027,0.0
augmented_price,47,monthly_barrier,-0.025,9915.98736793208,18.80676775373748,0.36203221638619826,9848.75500202179,37.503838539123535,-85.92943669567467,-67.23236591029126,0.0
augmented_price,47,monthly_barrier,-0.01,9905.105462008718,7.92486183037644,0.1790977097991615,9826.277494430542,15.026330947875977,-85.92943669567467,-78.82796757817596,0.0
augmented_price,47,monthly_barrier,-0.005,9901.191788621512,4.011188443170112,0.11021813128236534,9818.767309188843,7.516145706176758,-85.92943669567467,-82.42447943266961,0.0
augmented_price,47,monthly_barrier,0.005,9892.95964473211,-4.220955446231447,0.11321643352599461,9803.730249404907,-7.520914077758789,-85.92943669567467,-89.22939532720193,0.0
augmented_price,47,monthly_barrier,0.01,9888.629066947964,-8.551533230377297,0.18744625725298078,9796.206951141357,-15.044212341308594,-85.92943669567467,-92.4221158066066,0.0
augmented_price,47,monthly_barrier,0.025,9874.52964779592,-22.650952382420872,0.4015671459668124,9773.634672164917,-37.61649131774902,-85.92943669567467,-100.89497563100304,0.0
augmented_price,47,monthly_barrier,0.05,9847.707857842084,-49.4727423362573,0.7632607516366094,9736.098647117615,-75.15251636505127,-85.92943669567467,-111.60921072446945,0.0
augmented_price,101,base,0.0,9897.18060017834,0.0,0.0,9847.96941280365,0.0,-49.21118737469078,-49.21118737469078,0.0
augmented_price,101,coupon_regular,-0.01,9788.809660632509,-108.3709395458348,0.368962743814292,9718.430638313293,-129.53877449035645,-49.21118737469078,-70.37902231921544,0.0
augmented_price,101,coupon_regular,-0.005,9842.995130405425,-54.18546977291786,0.18448137190714434,9782.317280769348,-65.65213203430176,-49.21118737469078,-60.677849636076644,0.0
augmented_price,101,coupon_regular,-0.0025,9870.087865291882,-27.092734886458302,0.09224068595357501,9814.93592262268,-33.03349018096924,-49.21118737469078,-55.15194266920116,0.0
augmented_price,101,coupon_regular,-0.001,9886.343506223757,-10.837093954583615,0.03689627438142965,9834.708571434021,-13.260841369628906,-49.21118737469078,-51.63493478973578,0.0
augmented_price,101,coupon_regular,0.001,9908.017694132925,10.837093954583995,0.036896274381427695,9861.289262771606,13.319849967956543,-49.21118737469078,-46.728431361318144,1.7763568394002505e-15
augmented_price,101,coupon_regular,0.0025,9924.273335064798,27.09273488645873,0.09224068595357364,9881.37423992157,33.40482711791992,-49.21118737469078,-42.899095143227896,0.0
augmented_price,101,coupon_regular,0.005,9951.366069951257,54.18546977291842,0.18448137190714256,9915.0949716568,67.12555885314941,-49.21118737469078,-36.27109829445726,0.0
augmented_price,101,coupon_regular,0.01,10005.551539724176,108.3709395458364,0.3689627438142877,9983.21533203125,135.2459192276001,-49.21118737469078,-22.33620769292611,0.0
augmented_price,101,first_strike,-0.05,9922.491215155746,25.31061497740265,2.3146585689961694,9843.955039978027,-4.014372825622559,-49.21118737469078,-78.53617517771818,0.0
augmented_price,101,first_strike,-0.025,9907.829470814837,10.648870636495964,1.5383608104349455,9845.26813030243,-2.701282501220703,-49.21118737469078,-62.561340512407696,0.0
augmented_price,101,first_strike,-0.01,9900.846488382682,3.665888204340764,0.9290813217203813,9846.895933151245,-1.0734796524047852,-49.21118737469078,-53.95055523143674,0.0
augmented_price,101,first_strike,-0.005,9899.101119055422,1.9205188770812212,0.6638004458576493,9847.447276115417,-0.5221366882324219,-49.21118737469078,-51.653842940004324,0.0
augmented_price,101,first_strike,0.005,9895.549208840548,-1.6313913377956155,0.633356239119835,9848.443865776062,0.4744529724121094,-49.21118737469078,-47.10534306448608,0.0
augmented_price,101,first_strike,0.01,9894.131526020044,-3.04907415829732,0.8649370669449874,9848.854541778564,0.8851289749145508,-49.21118737469078,-45.27698424148002,0.0
augmented_price,101,first_strike,0.025,9891.169458896306,-6.0111412820366805,1.2629196175846567,9849.556684494019,1.5872716903686523,-49.21118737469078,-41.61277440228696,0.0
augmented_price,101,first_strike,0.05,9887.633997658966,-9.546602519374412,1.652462952462756,9848.338961601257,0.3695487976074219,-49.21118737469078,-39.295036057708785,0.0
augmented_price,101,last_strike,-0.05,9963.828234714749,66.64763453640694,2.6867199502015144,9898.707866668701,50.73845386505127,-49.21118737469078,-65.12036804604759,0.0
augmented_price,101,last_strike,-0.025,9929.648357428545,32.46775725020124,1.855654125797114,9871.464967727661,23.49555492401123,-49.21118737469078,-58.18338970088371,0.0
