field,rows,mean_abs_diff,max_abs_diff,different
sA_1,58760,2.5507166154594305e-20,1.1102230246251565e-16,0
sA_2,58760,9.447098575775668e-22,5.551115123125783e-17,0
sA_3,58760,0.0,0.0,0
sB_1,58760,4.156723373341294e-20,1.6653345369377348e-16,0
sB_2,58760,8.502388718198101e-21,1.6653345369377348e-16,0
sB_3,58760,0.0,0.0,0
rho_12,58760,2.8034265023614295e-19,9.43689570931383e-16,0
rho_13,58760,3.282866755082045e-19,9.159339953157541e-16,0
rho_23,58760,3.826074923189146e-20,4.718447854656915e-16,0
q_1,58760,3.3721106415682323e-06,0.011427363141690107,78
q_2,58760,4.700659893877303e-06,0.011427363141690107,36
q_3,58760,5.207469191593718e-10,1.8127412418356137e-09,0
n_div,58760,0.005871341048332199,8.0,80
bu0,58760,1.3661685427893588e-18,1.3877787807814457e-17,0
bu1,58760,3.6071767925335085e-17,1.3877787807814457e-16,0
bu2,58760,5.3880360600706076e-17,2.0469737016526324e-16,0
bu3,58760,5.60116408004926e-17,1.7520707107365752e-16,0
bu4,58760,8.081402387915098e-17,2.1163626406917047e-16,0
bu5,58760,1.766623670870727e-17,6.938893903907228e-17,0
bu6,58760,1.8352199392949257e-17,2.914335439641036e-16,0
bu7,58760,2.890283717110772e-17,6.036837696399289e-16,0
bu8,58760,7.847633933657529e-17,4.2674197509029455e-16,0
bu9,58760,8.841459847174215e-17,2.706168622523819e-16,0
r_ns,58760,8.270403403796711e-18,3.122502256758253e-17,0
r_bt,58760,1.7851680301531443e-17,1.6306400674181987e-16,0
