cohort,model,structure,axis,offset,n_families,n_rows,price_mae,price_rmse,price_r2,delta_mae,delta_rmse,delta_bias,within_1,within_5,within_10,resolved_n,resolved_sign
monthly_test_128,affine_coupon_delta,LIZARD no-KI,base,0,43,43,226.8545542467933,285.55311532098295,0.6570893984279366,,,,,,,0,
monthly_test_128,affine_coupon_delta,LIZARD no-KI,nobs_early,1,43,43,147.89219726048162,173.05777427558456,0.8024828971570529,370.19681102121064,449.67557880043853,-367.6824901930313,0.0,0.023255813953488372,0.023255813953488372,43,0.32558139534883723
monthly_test_128,affine_coupon_delta,LIZARD no-KI,nobs_late,1,43,43,252.64156723458845,292.4026280387912,0.6340813083538793,434.23749803293043,446.12387057057896,-434.23749803293043,0.0,0.0,0.0,40,0.1
monthly_test_128,affine_coupon_delta,LIZARD no-KI,nobs_middle,1,43,43,233.3863435785486,277.70386484822154,0.670664322862985,405.15497965959486,421.96068100293746,-405.15497965959486,0.0,0.0,0.0,35,0.14285714285714285
monthly_test_128,affine_coupon_delta,LIZARD no-KI,tenor_months,-12,43,43,180.0659471811699,192.53269560871283,0.6442326341850286,130.10099168955975,179.24765932973125,-40.98830683162374,0.0,0.023255813953488372,0.046511627906976744,42,0.9761904761904762
monthly_test_128,affine_coupon_delta,LIZARD no-KI,tenor_months,-6,43,43,185.8681727633449,209.89376922844193,0.7399593356134473,72.3405369881015,102.30276436351653,-35.18608124944825,0.0,0.023255813953488372,0.046511627906976744,43,0.9767441860465116
monthly_test_128,affine_coupon_delta,LIZARD no-KI,tenor_months,-3,43,43,165.60667067110043,209.00733606086604,0.7823384900418789,66.90923449406887,83.81596252032708,-61.933110546331264,0.0,0.046511627906976744,0.06976744186046512,39,0.5384615384615384
monthly_test_128,affine_coupon_delta,LIZARD no-KI,tenor_months,-1,43,43,258.6858679701778,307.31047700102016,0.578404206882472,36.42305197784988,39.05884867866151,35.98262218647916,0.0,0.0,0.06976744186046512,36,0.08333333333333333
monthly_test_128,affine_coupon_delta,LIZARD no-KI,tenor_months,1,43,43,216.64004935734079,280.60569250600696,0.6834093133177187,14.421300570817495,16.922039867671526,-12.791781688811257,0.09302325581395349,0.18604651162790697,0.37209302325581395,43,1.0
monthly_test_128,affine_coupon_delta,LIZARD no-KI,tenor_months,3,43,43,189.0308600876782,262.0278671898066,0.7452786051902018,55.96388525405783,62.46211963514348,-54.57138597453134,0.0,0.023255813953488372,0.09302325581395349,43,1.0
monthly_test_128,affine_coupon_delta,LIZARD no-KI,tenor_months,6,43,43,179.67991552240792,244.7928553254096,0.803453228581168,129.7199916310117,142.67534923933093,-128.54571836352207,0.0,0.0,0.0,43,1.0
monthly_test_128,affine_coupon_delta,LIZARD no-KI,tenor_months,12,43,43,206.60931591717338,260.2177039622263,0.8129511092229237,226.49705814824495,248.33795794616978,-225.15560952776943,0.0,0.0,0.0,43,1.0
monthly_test_128,affine_coupon_delta,STEP KI,base,0,43,43,45.01123625372752,77.58043772847654,0.9865362721594426,,,,,,,0,
monthly_test_128,affine_coupon_delta,STEP KI,nobs_early,1,43,43,139.82087011699832,164.61725864506795,0.9131507861823982,144.34188088356623,163.91421981327812,-127.30789926826986,0.0,0.0,0.0,42,0.6428571428571429
monthly_test_128,affine_coupon_delta,STEP KI,nobs_late,1,43,43,382.50551523802534,412.7288643138962,0.6132288079132597,407.5336099621341,431.53793467941034,-407.5336099621341,0.0,0.0,0.0,41,0.14634146341463414
monthly_test_128,affine_coupon_delta,STEP KI,nobs_middle,1,43,43,315.7872897931764,347.45168194840437,0.7239629144807238,340.18341438995293,363.23077425099183,-340.18341438995293,0.0,0.0,0.0,43,0.18604651162790697
monthly_test_128,affine_coupon_delta,STEP KI,tenor_months,-12,43,43,244.53156824101688,278.50855546820264,0.7392664065281886,214.16933477377094,251.98242989891904,212.50575888014924,0.0,0.0,0.0,43,0.9302325581395349
monthly_test_128,affine_coupon_delta,STEP KI,tenor_months,-6,43,43,91.5704831769117,110.69905331134994,0.966838741093512,77.81545775292179,95.40902423154465,-10.37560327969321,0.0,0.046511627906976744,0.06976744186046512,43,0.8837209302325582
monthly_test_128,affine_coupon_delta,STEP KI,tenor_months,-3,43,43,72.67090563638222,91.27874162793017,0.9794254718438036,63.552844143789436,77.06762182124963,-57.51452973525156,0.023255813953488372,0.023255813953488372,0.046511627906976744,42,0.5952380952380952
monthly_test_128,affine_coupon_delta,STEP KI,tenor_months,-1,43,43,49.39693654763548,85.99868823804404,0.9825126241458075,21.143674235662175,26.6866338952338,10.48275488820906,0.023255813953488372,0.13953488372093023,0.2558139534883721,33,0.696969696969697
monthly_test_128,affine_coupon_delta,STEP KI,tenor_months,1,43,43,39.1933771413429,72.17823191473315,0.9885018220565578,17.623060252395316,23.440673635556134,-9.182905097791684,0.023255813953488372,0.20930232558139536,0.46511627906976744,41,0.8292682926829268
monthly_test_128,affine_coupon_delta,STEP KI,tenor_months,3,43,43,48.12800275238137,69.00485731006727,0.9899524833180661,41.78335053161979,49.05869944000089,-35.141949524708615,0.0,0.023255813953488372,0.09302325581395349,43,1.0
monthly_test_128,affine_coupon_delta,STEP KI,tenor_months,6,43,43,73.06921132573787,87.19282082556387,0.9849075938812845,81.46884062237724,94.47235466147886,-72.21992632410202,0.0,0.0,0.046511627906976744,42,0.9761904761904762
monthly_test_128,affine_coupon_delta,STEP KI,tenor_months,12,43,43,128.87639553640403,156.20917239470072,0.9574283038067227,150.25152963165021,179.21585274674055,-128.46347608329305,0.0,0.0,0.023255813953488372,43,0.9069767441860465
