cohort,model,training_seed,axis,offset,n_families,n_rows,price_mae,price_rmse,price_r2,delta_mae,delta_rmse,delta_bias,within_1,within_5,within_10,resolved_n,resolved_sign
monthly_test_128,affine_coupon_delta,101,ALL,0,128,1536,169.9820013459869,245.47000381924659,0.8292674563844935,179.2674782872934,264.1146641462937,-128.8542345290306,0.009232954545454546,0.046875,0.09943181818181818,1353,0.6489283074648928
monthly_test_128,affine_coupon_delta,101,base,0,128,128,91.52863254701457,161.00340215547322,0.9260483151476028,,,,,,,0,
monthly_test_128,affine_coupon_delta,101,nobs_early,1,128,128,213.14505974737438,246.33411810085306,0.7445356745866942,277.4037095765242,324.13915285896223,-265.3077507953511,0.0,0.0078125,0.015625,127,0.33858267716535434
monthly_test_128,affine_coupon_delta,101,nobs_late,1,128,128,427.2960913199497,465.4957768741203,0.37031223521385714,496.6292338876772,514.5286136393914,-496.6292338876772,0.0,0.0,0.0,123,0.08130081300813008
monthly_test_128,affine_coupon_delta,101,nobs_middle,1,128,128,405.04817995746635,446.94155194011614,0.41722860396505235,473.83133807570505,493.23691077096805,-473.83133807570505,0.0,0.0,0.0,120,0.10833333333333334
monthly_test_128,affine_coupon_delta,101,tenor_months,-12,128,128,180.92206386194445,235.92619015944524,0.7568926796036483,224.00844135344167,280.8129396719183,33.88798622410056,0.0,0.0078125,0.0234375,127,0.937007874015748
monthly_test_128,affine_coupon_delta,101,tenor_months,-6,128,128,99.34126308406195,127.53548465967442,0.9441714453304425,117.31127931349278,148.1416248531578,-82.18844961162883,0.015625,0.03125,0.0625,128,0.6875
monthly_test_128,affine_coupon_delta,101,tenor_months,-3,128,128,87.94050528472025,128.1126664578458,0.9479767867711572,62.81274652871322,79.52649391492581,-45.47519193665353,0.0078125,0.0546875,0.109375,121,0.6363636363636364
monthly_test_128,affine_coupon_delta,101,tenor_months,-1,128,128,100.67121419802203,166.08464222157994,0.9168371889622234,25.625644296547506,31.06415244703075,14.037935814043433,0.015625,0.1015625,0.21875,99,0.3838383838383838
monthly_test_128,affine_coupon_delta,101,tenor_months,1,128,128,90.91045490614843,156.98975068361244,0.9310437148007514,15.749650136243435,20.668998666869093,-2.99179215291701,0.03125,0.1796875,0.4140625,125,0.936
