cohort,model,training_seed,axis,offset,n_families,n_rows,price_mae,price_rmse,price_r2,delta_mae,delta_rmse,delta_bias,within_1,within_5,within_10,resolved_n,resolved_sign
monthly_test_128,affine_coupon_delta,101,tenor_months,3,128,128,90.394075640529,147.6800591419323,0.9416642085632446,40.89376518035819,49.95202337301156,-19.26485083730681,0.015625,0.0703125,0.1328125,128,0.984375
monthly_test_128,affine_coupon_delta,101,tenor_months,6,128,128,102.41948322915354,147.59112449264066,0.9458268087985209,82.9620086254972,102.40537128393116,-41.81586958568235,0.015625,0.046875,0.09375,127,0.984251968503937
monthly_test_128,affine_coupon_delta,101,tenor_months,12,128,128,150.16699237545825,189.3643537194925,0.9207048079433946,154.714444186027,180.92267424454286,-37.81802497455864,0.0,0.015625,0.0234375,128,0.953125
monthly_test_128,affine_coupon_delta,233,ALL,0,128,1536,219.8766728859716,299.177129681224,0.7463842419463895,203.07477121857755,294.6002616121523,-142.51030718624727,0.011363636363636364,0.03622159090909091,0.07528409090909091,1353,0.6570583887657059
monthly_test_128,affine_coupon_delta,233,base,0,128,128,165.32036623549257,279.10002495701997,0.7777725426134643,,,,,,,0,
monthly_test_128,affine_coupon_delta,233,nobs_early,1,128,128,229.4690304204459,253.0683504471351,0.7303770877777818,376.1131079482791,471.73256546965376,-371.83842459725014,0.0,0.0,0.0,127,0.4094488188976378
monthly_test_128,affine_coupon_delta,233,nobs_late,1,128,128,393.1897365542625,444.6626443247573,0.42541397772525513,506.25209645021437,526.3388911686094,-506.25209645021437,0.0,0.0,0.0,123,0.08130081300813008
monthly_test_128,affine_coupon_delta,233,nobs_middle,1,128,128,354.1755506491127,402.24179496201674,0.5279683167165898,460.49052869320667,479.2193640613439,-460.49052869320667,0.0,0.0,0.0,120,0.10833333333333334
monthly_test_128,affine_coupon_delta,233,tenor_months,-12,128,128,264.828403353679,315.915027528096,0.564100573807085,293.03874700401775,344.03233869266336,109.09777892749068,0.0078125,0.0078125,0.0078125,127,0.8582677165354331
monthly_test_128,affine_coupon_delta,233,tenor_months,-6,128,128,197.58600969743702,234.93382309449476,0.8105540161343031,128.25416219919376,157.60994407898903,20.078242944812004,0.0,0.0390625,0.0703125,128,0.828125
monthly_test_128,affine_coupon_delta,233,tenor_months,-3,128,128,155.89524357287436,227.28004168961667,0.8362672210556262,67.81289957488302,85.69494514706557,-49.61776597128478,0.015625,0.03125,0.0546875,121,0.5950413223140496
monthly_test_128,affine_coupon_delta,233,tenor_months,-1,128,128,188.83900472153655,294.54448436847997,0.7384395960936616,35.40616526905621,41.836559289432806,29.064727766593844,0.015625,0.046875,0.1171875,99,0.30303030303030304
monthly_test_128,affine_coupon_delta,233,tenor_months,1,128,128,162.7435764411518,277.62505229185297,0.7843504459350173,15.289556161475995,19.385300800096157,-10.49010303178988,0.046875,0.203125,0.3828125,125,0.952
monthly_test_128,affine_coupon_delta,233,tenor_months,3,128,128,165.90707812113584,268.28928169482174,0.8074701712670593,49.09231023322221,58.35887469991131,-44.08534716548188,0.03125,0.046875,0.109375,128,0.9921875
monthly_test_128,affine_coupon_delta,233,tenor_months,6,128,128,171.8559929580466,256.15071655611155,0.8368244495336661,106.1884302090007,125.5164364846783,-99.79141231726547,0.0,0.015625,0.046875,127,1.0
monthly_test_128,affine_coupon_delta,233,tenor_months,12,128,128,188.71008190648428,254.05283287452176,0.857275516747499,195.88447966180354,231.59884533794224,-183.28845046112332,0.0078125,0.0078125,0.0390625,128,0.96875
monthly_test_128,affine_coupon_delta,47,ALL,0,128,1536,204.46904196803825,294.1591704848729,0.7548204541726373,207.1801121741233,298.6793037980107,-18.237055274791338,0.002130681818181818,0.017045454545454544,0.03835227272727273,1353,0.7339246119733924
monthly_test_128,affine_coupon_delta,47,base,0,128,128,61.38821517159691,102.39596998255553,0.9700881209952056,,,,,,,0,
monthly_test_128,affine_coupon_delta,47,nobs_early,1,128,128,161.63475027338032,185.47260459477377,0.8551759566757999,181.7659643170253,222.61785481116124,46.03516472472083,0.0,0.0078125,0.03125,127,0.7716535433070866
monthly_test_128,affine_coupon_delta,47,nobs_late,1,128,128,292.5389617129092,328.53329031837694,0.6863447720325186,315.5833764145072,343.1967541894811,-314.3069329171228,0.0,0.0,0.0,123,0.0975609756097561
monthly_test_128,affine_coupon_delta,47,nobs_middle,1,128,128,211.13146915382816,254.77858399763733,0.8106250195252551,227.83507666920028,265.8232942470741,-220.02904230148357,0.0,0.0078125,0.0078125,120,0.16666666666666666
monthly_test_128,affine_coupon_delta,47,tenor_months,-12,128,128,628.7629404551515,709.6701453766447,-1.1996764155426982,600.2661332983697,691.6811408511325,596.3585229031299,0.0,0.0,0.0,127,0.9763779527559056
monthly_test_128,affine_coupon_delta,47,tenor_months,-6,128,128,287.64356562096884,341.0361472639726,0.6007957671136677,263.2334546377526,322.3834269766163,249.0309106207244,0.0,0.0,0.015625,128,0.96875
monthly_test_128,affine_coupon_delta,47,tenor_months,-3,128,128,69.65551616466456,89.43781123607094,0.9746454821076888,55.00751512917747,72.11765587192005,-29.5638018630561,0.0078125,0.078125,0.1875,121,0.6776859504132231
monthly_test_128,affine_coupon_delta,47,tenor_months,-1,128,128,90.24579385015845,127.59397851993468,0.9509170599338012,49.61745216832283,57.297196657174545,48.64503518321172,0.0078125,0.015625,0.046875,99,0.35353535353535354
monthly_test_128,affine_coupon_delta,47,tenor_months,1,128,128,66.6877547412778,104.38488242339375,0.9695135770517033,29.151406279122526,34.34971418939962,-27.473999525701625,0.0078125,0.0625,0.109375,125,0.96
monthly_test_128,affine_coupon_delta,47,tenor_months,3,128,128,113.89736243134811,135.77739300900237,0.9506887160618915,92.28329972829965,103.84383434033505,-91.25755734475119,0.0,0.0078125,0.015625,128,1.0
monthly_test_128,affine_coupon_delta,47,tenor_months,6,128,128,185.8903087870578,210.5076829887672,0.889795370607859,180.2119754629469,199.2202989591224,-178.62072967093127,0.0,0.0078125,0.0078125,127,0.9921259842519685
monthly_test_128,affine_coupon_delta,47,tenor_months,12,128,128,284.1518652541175,320.5654946935363,0.7727604385470933,284.0255798106319,317.50255843744264,-279.425177831445,0.0,0.0,0.0,128,0.96875
monthly_test_128,affine_coupon_delta,ensemble,ALL,0,128,1536,175.41345239895296,244.62834125432275,0.8304362577199723,173.6664550084214,252.40912217342347,-96.53386566335642,0.007102272727272727,0.030539772727272728,0.07173295454545454,1353,0.7065779748706578
monthly_test_128,affine_coupon_delta,ensemble,base,0,128,128,97.43393237723213,171.98093367095225,0.9156201845063441,,,,,,,0,
monthly_test_128,affine_coupon_delta,ensemble,nobs_early,1,128,128,127.06041915968294,151.24901775705266,0.9036911376972486,205.61210645786565,284.9187412364241,-197.03700355596013,0.0,0.0078125,0.015625,127,0.5984251968503937
monthly_test_128,affine_coupon_delta,ensemble,nobs_late,1,128,128,367.1049778113377,405.27468734167996,0.5226985837065539,439.06275441833816,458.38945701824974,-439.06275441833816,0.0,0.0,0.0,123,0.08130081300813008
monthly_test_128,affine_coupon_delta,ensemble,nobs_middle,1,128,128,316.33951903354,353.41958221200474,0.6356003256156262,384.7836363567985,405.68445311660855,-384.7836363567985,0.0,0.0,0.0,120,0.10833333333333334
monthly_test_128,affine_coupon_delta,ensemble,tenor_months,-12,128,128,334.01219784088204,396.3166036400302,0.31399029119864474,304.482264766964,383.9117742249931,246.4480960182404,0.0,0.0078125,0.015625,127,0.968503937007874
monthly_test_128,affine_coupon_delta,ensemble,tenor_months,-6,128,128,173.3598462274599,199.2473102927746,0.8637365922914999,128.05580919779013,161.27044760804517,62.30690131796917,0.0,0.0234375,0.0390625,128,0.953125
monthly_test_128,affine_coupon_delta,ensemble,tenor_months,-3,128,128,91.55913815189723,134.36589698631272,0.942774296076392,53.95524136322173,69.52567383815433,-41.552253256998156,0.015625,0.046875,0.109375,121,0.6859504132231405
monthly_test_128,affine_coupon_delta,ensemble,tenor_months,-1,128,128,121.40272494076129,188.3608909902487,0.8930325402417472,34.31192573093993,40.384885045841585,30.58256625461631,0.0078125,0.0546875,0.1328125,99,0.3333333333333333
monthly_test_128,affine_coupon_delta,ensemble,tenor_months,1,128,128,92.43633080983308,168.51869473031053,0.9205438658822406,17.065819518980756,21.47506622139456,-13.651964903469501,0.046875,0.15625,0.359375,125,0.944
monthly_test_128,affine_coupon_delta,ensemble,tenor_months,3,128,128,98.96811375424394,161.96476712668792,0.9298330691001961,54.29020971751562,62.795356429929896,-51.53591844917993,0.0,0.0234375,0.078125,128,1.0
monthly_test_128,affine_coupon_delta,ensemble,tenor_months,6,128,128,122.59761353036205,168.94208776245546,0.9290194026539839,110.65160988285953,127.65040624911347,-106.74267052462639,0.0,0.0,0.015625,127,0.9921259842519685
monthly_test_128,affine_coupon_delta,ensemble,tenor_months,12,128,128,162.6866151502034,207.4528817338733,0.9048323513055103,178.05962768136095,210.65214978525333,-166.84388442237562,0.0078125,0.015625,0.0234375,128,0.96875
monthly_test_128,augmented_delta,101,ALL,0,128,1536,232.46212929199717,320.8645711220852,0.7082821632013869,228.77764840966856,310.3103792001613,-4.748856898276646,0.004971590909090909,0.018465909090909092,0.026988636363636364,1353,0.7464892830746489
monthly_test_128,augmented_delta,101,base,0,128,128,87.28908445341423,146.2010599312759,0.9390211809878267,,,,,,,0,
monthly_test_128,augmented_delta,101,nobs_early,1,128,128,236.96054526229756,279.84361552615417,0.6703053247963179,203.82219093549702,243.061445028097,132.02761927588116,0.0,0.0078125,0.015625,127,0.7874015748031497
monthly_test_128,augmented_delta,101,nobs_late,1,128,128,263.0996775050584,288.67297324754077,0.7578379887674094,312.1733986272264,325.98148761265725,-312.1733986272264,0.0,0.0,0.0,123,0.08130081300813008
monthly_test_128,augmented_delta,101,nobs_middle,1,128,128,200.05317460550947,234.7915486523577,0.8391719920611648,239.72435408622783,268.7117107067107,-239.72435408622783,0.0,0.0,0.0,120,0.10833333333333334
monthly_test_128,augmented_delta,101,tenor_months,-12,128,128,721.7355319745072,764.9288399335899,-1.5555700980045346,654.2910781055264,708.0687091909765,651.2460886872864,0.0,0.0,0.0,127,0.968503937007874
monthly_test_128,augmented_delta,101,tenor_months,-6,128,128,255.10893283863103,295.6954095561362,0.6998879206992534,191.28383693589774,229.73211859664724,183.44208523843213,0.0234375,0.03125,0.046875,128,0.9765625
monthly_test_128,augmented_delta,101,tenor_months,-3,128,128,221.97936516423775,266.13854186883185,0.7754936762672018,153.30702222491323,184.993844968817,146.7359200708452,0.0,0.0390625,0.046875,121,0.9256198347107438
monthly_test_128,augmented_delta,101,tenor_months,-1,128,128,135.17046743821697,187.87120264339634,0.8935879913258322,66.28054266021223,77.87668619970827,61.99582834370985,0.0078125,0.0390625,0.0546875,99,0.29292929292929293
monthly_test_128,augmented_delta,101,tenor_months,1,128,128,82.19345112861457,138.3176316779705,0.9464713431557724,35.950772027206284,40.79514774560209,-32.731236296987156,0.0,0.046875,0.078125,125,0.96
monthly_test_128,augmented_delta,101,tenor_months,3,128,128,112.53286521593262,152.25611009269014,0.9379929829826449,109.72298765471228,125.15550024046125,-107.22294084461195,0.0078125,0.0234375,0.03125,128,1.0
monthly_test_128,augmented_delta,101,tenor_months,6,128,128,184.5597782711876,226.06811110952938,0.8729008788769299,210.49274624274224,240.31076111004253,-206.1913517127528,0.0078125,0.0078125,0.0078125,127,0.9921259842519685
monthly_test_128,augmented_delta,101,tenor_months,12,128,128,288.8626776463588,353.842933147938,0.7231328385522037,339.50520300619235,390.0846275248547,-329.64168592939166,0.0078125,0.0078125,0.015625,128,0.96875
monthly_test_128,augmented_delta,233,ALL,0,128,1536,242.75366684634957,337.5401376117838,0.6771726671169653,230.01956080642847,311.73978479637367,-39.424354713966906,0.004261363636363636,0.020596590909090908,0.032670454545454544,1353,0.7368810051736882
monthly_test_128,augmented_delta,233,base,0,128,128,136.3832169327658,214.55711685947048,0.8686700387920725,,,,,,,0,
monthly_test_128,augmented_delta,233,nobs_early,1,128,128,106.57871888241343,132.12809017444204,0.926502690393533,179.99533235669028,255.4179640548396,-111.10938923464883,0.0,0.0234375,0.03125,127,0.6771653543307087
monthly_test_128,augmented_delta,233,nobs_late,1,128,128,287.34900019693316,323.32064128000343,0.6962189861141146,400.2107209025669,426.2037596267519,-400.2107209025669,0.0,0.0,0.0,123,0.08130081300813008
monthly_test_128,augmented_delta,233,nobs_middle,1,128,128,241.14102609599493,271.5061602426547,0.7849417351166889,356.2206125015096,393.6637701235905,-356.2206125015096,0.0,0.0,0.0,120,0.10833333333333334
monthly_test_128,augmented_delta,233,tenor_months,-12,128,128,677.5926719865927,736.1809939083885,-1.3670908643027415,553.5035041178289,621.2788133483131,552.1158717013453,0.0,0.0,0.0078125,127,0.968503937007874
monthly_test_128,augmented_delta,233,tenor_months,-6,128,128,419.6269601678871,480.7764690959989,0.2066209687059829,294.1501598826401,323.0282116591957,294.1501598826401,0.0,0.0,0.0,128,0.9765625
monthly_test_128,augmented_delta,233,tenor_months,-3,128,128,219.20344143620065,303.2747781128871,0.7084684111929243,94.20221260527931,117.02636168638269,85.5888421304408,0.0,0.046875,0.0625,121,0.9338842975206612
monthly_test_128,augmented_delta,233,tenor_months,-1,128,128,197.08512400662568,281.2310421958659,0.7615503316201855,70.44331180806915,83.12680724836547,68.6667429340686,0.015625,0.0390625,0.0625,99,0.30303030303030304
monthly_test_128,augmented_delta,233,tenor_months,1,128,128,125.2116845461362,198.04209285241456,0.8902647210244311,29.583852630327925,34.34344370383533,-27.166430245434864,0.015625,0.078125,0.125,125,0.952
monthly_test_128,augmented_delta,233,tenor_months,3,128,128,124.68050204972278,175.58528513606208,0.9175353892301195,90.63594604434064,102.71553719117452,-88.4138197425173,0.0078125,0.015625,0.0390625,128,1.0
monthly_test_128,augmented_delta,233,tenor_months,6,128,128,149.99663627029454,188.4467261961937,0.9116836462627772,174.93918326633457,197.6201423854736,-171.62029918383502,0.0,0.0078125,0.015625,127,0.9921259842519685
monthly_test_128,augmented_delta,233,tenor_months,12,128,128,228.19501958462814,275.1685348619541,0.8325643477836474,286.33033275512565,324.67827683033624,-279.44824669161824,0.0078125,0.015625,0.015625,128,0.96875
monthly_test_128,augmented_delta,47,ALL,0,128,1536,246.8903629787775,348.15682254260685,0.6565454516521049,220.03766266166423,283.7693024027846,-34.62064028688588,0.004971590909090909,0.03409090909090909,0.05539772727272727,1353,0.7420546932742055
monthly_test_128,augmented_delta,47,base,0,128,128,159.25935732256556,255.2642508994304,0.8141091723071552,,,,,,,0,
monthly_test_128,augmented_delta,47,nobs_early,1,128,128,103.6846847885341,135.65793890314143,0.922523221299991,156.7060174120968,235.27962801631708,-114.80304250525106,0.0078125,0.03125,0.0546875,127,0.7165354330708661
monthly_test_128,augmented_delta,47,nobs_late,1,128,128,271.8343627762026,306.86343869537853,0.7263571789322489,387.42677722710846,401.8858185771017,-387.42677722710846,0.0,0.0,0.0,123,0.08130081300813008
monthly_test_128,augmented_delta,47,nobs_middle,1,128,128,238.2936310513526,274.4901245185801,0.780188600997796,344.8855878913478,360.4954491395183,-344.8855878913478,0.0,0.0,0.0,120,0.10833333333333334
monthly_test_128,augmented_delta,47,tenor_months,-12,128,128,460.0125291865502,529.1461441116351,-0.22291704662025214,311.8239716556365,370.65860291771344,292.7234518713808,0.0,0.015625,0.046875,127,0.9921259842519685
monthly_test_128,augmented_delta,47,tenor_months,-6,128,128,525.4061457183602,622.5129280534359,-0.33012072692520644,375.65474252294257,414.10641886371235,374.2813544369094,0.0,0.0,0.0,128,0.9765625
monthly_test_128,augmented_delta,47,tenor_months,-3,128,128,392.15815145139743,497.8821471709357,0.21428301800756655,243.0314938194934,273.21366682912185,243.0314938194934,0.0,0.0,0.0,121,0.9256198347107438
monthly_test_128,augmented_delta,47,tenor_months,-1,128,128,224.14274737125726,328.00825272518716,0.6756306939383151,73.73814691152583,88.08861336061386,71.66843750157014,0.0078125,0.0625,0.1015625,99,0.29292929292929293
monthly_test_128,augmented_delta,47,tenor_months,1,128,128,146.38675505928055,238.04747375292175,0.8414528602534079,22.318035058992756,28.084787598640176,-20.418746735250576,0.03125,0.2109375,0.3203125,125,0.96
monthly_test_128,augmented_delta,47,tenor_months,3,128,128,126.88189058947,201.90340666359467,0.8909618002529321,73.09514823340865,87.04187365060655,-70.99207590998873,0.0078125,0.03125,0.03125,128,1.0
monthly_test_128,augmented_delta,47,tenor_months,6,128,128,128.2233433605534,173.33372348881065,0.9252811689036721,153.40936084479972,180.9618785393158,-150.40557187150853,0.0,0.0078125,0.0234375,127,0.9921259842519685
monthly_test_128,augmented_delta,47,tenor_months,12,128,128,186.40075706980582,225.86492761038355,0.8871898977604298,278.325007700954,326.43532485013003,-273.5999786446431,0.0,0.015625,0.03125,128,0.96875
monthly_test_128,augmented_delta,ensemble,ALL,0,128,1536,230.19623745757335,314.4815460023377,0.7197731251238748,220.4484888825794,287.83716702532337,-26.264617299709837,0.004261363636363636,0.015625,0.03409090909090909,1353,0.7420546932742055
monthly_test_128,augmented_delta,ensemble,base,0,128,128,120.67878452346282,193.0561121176598,0.8936726283811716,,,,,,,0,
monthly_test_128,augmented_delta,ensemble,nobs_early,1,128,128,121.80980260333779,157.23152164309562,0.8959216588666895,132.74985167772257,188.64250840219503,-31.294937488006305,0.0078125,0.03125,0.0390625,127,0.7322834645669292
monthly_test_128,augmented_delta,ensemble,nobs_late,1,128,128,268.3424354587189,293.8551931294257,0.7490654250842047,366.6036322523006,382.50730265919503,-366.6036322523006,0.0,0.0,0.0,123,0.08130081300813008
monthly_test_128,augmented_delta,ensemble,nobs_middle,1,128,128,217.2466985736799,240.58327772234458,0.8311396687764789,313.61018482636183,336.681878087535,-313.61018482636183,0.0,0.0,0.0,120,0.10833333333333334
monthly_test_128,augmented_delta,ensemble,tenor_months,-12,128,128,615.1690228291559,663.5279982780384,-0.9229333583604198,501.4239232856188,556.1267644066897,498.69513742000413,0.0,0.0,0.0,127,0.968503937007874
monthly_test_128,augmented_delta,ensemble,tenor_months,-6,128,128,399.1119764538251,451.9800342881888,0.2988146844692009,284.3806463168617,311.88095361124505,283.9578665193271,0.0,0.0078125,0.0078125,128,0.9765625
monthly_test_128,augmented_delta,ensemble,tenor_months,-3,128,128,273.4331378755028,348.23416741049846,0.6156244163632048,158.69363094985556,185.63519120069682,158.4520853402597,0.0,0.0078125,0.015625,121,0.9338842975206612
monthly_test_128,augmented_delta,ensemble,tenor_months,-1,128,128,183.3043806027167,257.07325844670356,0.8007565675517131,68.97480317064266,81.84184983755415,67.44366959311617,0.015625,0.0390625,0.09375,99,0.30303030303030304
monthly_test_128,augmented_delta,ensemble,tenor_months,1,128,128,106.68357939957905,175.93280678222504,0.9133985984965575,28.766550326318367,33.50435078430464,-26.772137759224222,0.0078125,0.0390625,0.140625,125,0.952
monthly_test_128,augmented_delta,ensemble,tenor_months,3,128,128,102.24866017858062,150.61326629709458,0.9393238755949894,90.8780293230474,103.11960959337863,-88.87627883237266,0.0,0.0234375,0.03125,128,1.0
monthly_test_128,augmented_delta,ensemble,tenor_months,6,128,128,132.0328759486004,165.9153558463616,0.9315399673549206,178.87732268261203,202.88772381991805,-176.07240758936547,0.0078125,0.015625,0.0390625,127,0.9921259842519685
monthly_test_128,augmented_delta,ensemble,tenor_months,12,128,128,222.29349504371964,259.7815355105508,0.8507662836490264,299.9748028970321,339.81644831218296,-294.2299704218844,0.0078125,0.0078125,0.0078125,128,0.96875
monthly_test_128,augmented_price,101,ALL,0,128,1536,217.34818651414926,303.9460082792794,0.7382345403270726,191.10821480525217,262.3638749207803,8.815225218289275,0.004971590909090909,0.014914772727272728,0.036931818181818184,1353,0.753880266075388
monthly_test_128,augmented_price,101,base,0,128,128,111.14629177082834,181.56247782131527,0.9059562001095637,,,,,,,0,
monthly_test_128,augmented_price,101,nobs_early,1,128,128,175.87846709563576,243.67574298926678,0.7500197347295301,128.9912900645358,160.53098749216838,67.82255297495257,0.0078125,0.0234375,0.0703125,127,0.7952755905511811
monthly_test_128,augmented_price,101,nobs_late,1,128,128,179.44856489123117,217.74971240050138,0.8622127779423987,215.9350747037608,231.6098863254566,-215.36054038095955,0.0,0.0,0.0,123,0.08943089430894309
monthly_test_128,augmented_price,101,nobs_middle,1,128,128,150.1109603606796,203.7692466479185,0.8788637733024718,157.8571466113852,187.9285974747371,-152.9370296874718,0.0,0.0,0.046875,120,0.225
monthly_test_128,augmented_price,101,tenor_months,-12,128,128,663.5689842960962,696.3332948957561,-1.1177761343337842,567.698854152069,614.5129704677234,567.698854152069,0.0,0.0,0.0,127,0.9763779527559056
monthly_test_128,augmented_price,101,tenor_months,-6,128,128,299.56949017297103,341.45122984223985,0.599823415274829,203.0944913720011,235.45218373851768,201.87859814826174,0.0,0.0078125,0.0234375,128,0.9765625
monthly_test_128,augmented_price,101,tenor_months,-3,128,128,261.29836169163696,305.62251318461114,0.7039372849537782,166.0426257580985,193.05062109665343,163.44052223785553,0.0078125,0.0078125,0.015625,121,0.9090909090909091
monthly_test_128,augmented_price,101,tenor_months,-1,128,128,154.6711580394379,219.99777662739112,0.8540826971067936,60.04100450917116,71.00835407838015,52.87520476259842,0.0234375,0.0390625,0.09375,99,0.26262626262626265
monthly_test_128,augmented_price,101,tenor_months,1,128,128,101.3041566768126,172.59044996100036,0.9166578346825326,27.1336327075239,31.588477270690362,-23.363509553765876,0.0078125,0.0703125,0.1171875,125,0.952
monthly_test_128,augmented_price,101,tenor_months,3,128,128,104.03202828855132,163.36052417986969,0.9286185089226774,86.3817582286876,95.62914708243507,-83.55635318638548,0.0078125,0.0078125,0.03125,128,0.9921875
monthly_test_128,augmented_price,101,tenor_months,6,128,128,153.61818725064938,194.07618558182864,0.906328293550887,175.12662009761925,193.5809774219454,-172.26012710582154,0.0,0.0078125,0.0078125,127,0.9921259842519685
monthly_test_128,augmented_price,101,tenor_months,12,128,128,253.53158763526073,299.84268353164606,0.8011904201630433,313.8878646529216,345.6317773549406,-309.270694960151,0.0,0.0,0.0,128,0.96875
monthly_test_128,augmented_price,233,ALL,0,128,1536,155.50788822562552,204.20620830425213,0.8818435770507211,132.15595871146925,178.41939445937547,-57.863530359703034,0.004971590909090909,0.033380681818181816,0.06392045454545454,1353,0.7427937915742794
monthly_test_128,augmented_price,233,base,0,128,128,128.95051410843115,186.15548233610298,0.9011379462131857,,,,,,,0,
monthly_test_128,augmented_price,233,nobs_early,1,128,128,111.6713980190728,153.88417694165457,0.9003059914356158,142.19624355963188,197.01017740551939,-47.47318407552112,0.0,0.0234375,0.0546875,127,0.7637795275590551
monthly_test_128,augmented_price,233,nobs_late,1,128,128,166.2274111546638,188.7720279537386,0.8964454830734364,236.12205484197926,258.9222047010577,-235.48721749920134,0.0,0.0078125,0.0078125,123,0.0975609756097561
monthly_test_128,augmented_price,233,nobs_middle,1,128,128,156.23540291579883,187.93682132345182,0.8969565202719568,225.2848121611447,268.98198349501996,-223.18436784089369,0.015625,0.0234375,0.0234375,120,0.15833333333333333
monthly_test_128,augmented_price,233,tenor_months,-12,128,128,241.92520318112904,289.960412431665,0.6327826900272788,168.0854089175201,209.1764531901155,119.64380102227685,0.0,0.0234375,0.03125,127,0.9448818897637795
monthly_test_128,augmented_price,233,tenor_months,-6,128,128,230.19666888885058,276.6711301744886,0.7372625387591131,124.09985220085673,145.12223713754992,114.26014751408022,0.0,0.015625,0.0390625,128,0.96875
monthly_test_128,augmented_price,233,tenor_months,-3,128,128,159.00113788545724,207.1520584505705,0.8639835177724741,52.592333547429945,63.17169329884747,29.1714486323181,0.0078125,0.0390625,0.0625,121,0.8760330578512396
monthly_test_128,augmented_price,233,tenor_months,-1,128,128,168.36119247206824,228.66219479055846,0.8423627152694921,52.2679169135775,62.09499113450132,47.35787287928715,0.0234375,0.0546875,0.0859375,99,0.29292929292929293
monthly_test_128,augmented_price,233,tenor_months,1,128,128,120.8444593578921,177.97526152955353,0.9113761653967423,16.523052279319128,20.383896003640047,-14.458151872551065,0.0078125,0.15625,0.3359375,125,0.96
monthly_test_128,augmented_price,233,tenor_months,3,128,128,105.08621600860207,155.83250577035872,0.9350457627397637,59.193740829569634,65.4121987677676,-57.13685981662734,0.0,0.015625,0.0390625,128,1.0
monthly_test_128,augmented_price,233,tenor_months,6,128,128,109.9309450992526,144.17700585667487,0.9483041190329483,130.26575930220486,143.2076760908754,-127.28982891987701,0.0,0.0,0.0078125,127,0.9921259842519685
monthly_test_128,augmented_price,233,tenor_months,12,128,128,167.664109616288,196.3274636187614,0.9147660712513327,247.08437127292822,272.2110531990116,-241.90249398002416,0.0,0.0078125,0.015625,128,0.96875
monthly_test_128,augmented_price,47,ALL,0,128,1536,154.43800212854958,207.11254742626798,0.8784563504353888,128.81504495085855,163.89640106513724,-20.45108292815496,0.014204545454545454,0.053267045454545456,0.08664772727272728,1353,0.7368810051736882
monthly_test_128,augmented_price,47,base,0,128,128,100.47165590453834,174.73251115584168,0.9128985462756704,,,,,,,0,
monthly_test_128,augmented_price,47,nobs_early,1,128,128,97.79889653423734,154.69023700520907,0.899258842528022,128.4654343715469,174.62676684444452,-10.643413532839903,0.0,0.03125,0.0546875,127,0.7165354330708661
monthly_test_128,augmented_price,47,nobs_late,1,128,128,162.98659475765166,182.20716639696687,0.9035228040062319,187.68154498774294,198.44731567213734,-187.68154498774294,0.0,0.0,0.0,123,0.08130081300813008
monthly_test_128,augmented_price,47,nobs_middle,1,128,128,177.03116388198177,203.7485025352464,0.8788884358623955,211.5598555782513,238.53097610506418,-211.5598555782513,0.0,0.0,0.0,120,0.11666666666666667
