cohort,axis,offset,n_families,mean,median,minimum,maximum,positive,negative,unresolved,median_mc_ci_halfwidth,max_mc_ci_halfwidth,median_abs_20k_change,max_abs_20k_change,median_mc_seed_range,max_mc_seed_range
monthly_test_128,nobs_early,1,128,139.08049395339359,148.76546043107624,-254.43178883212263,504.8535748112407,109,18,1,6.616302300716944,10.337964621484398,2.0945522845668645,9.090591765825167,8.219465034261361,27.443094944946495
monthly_test_128,nobs_late,1,128,9.660790158693827,8.76786063644268,-2.880815728932326,25.68795322670793,113,10,5,1.2684550516911515,1.8982912484881183,0.37219776987650977,3.236210312087958,1.5839333718385504,6.016727200600016
monthly_test_128,nobs_middle,1,128,8.815522504754496,8.035968890454038,-5.10122033256568,27.291411238500658,107,13,8,1.4145318609519535,2.1991896925214207,0.3589645913879047,2.124351618947882,1.8400732589815028,6.014214365130009
monthly_test_128,tenor_months,-12,128,289.2337523960018,287.05695840926364,-89.05249447929454,624.5612055430025,124,3,1,10.167568925264867,13.96976591998261,3.0851198759675214,13.316617049019897,13.633337080635187,34.34046962690016
monthly_test_128,tenor_months,-6,128,130.01587316181735,125.23940308237694,-97.4796699241902,289.2019227102203,125,3,0,8.289840852228366,11.503533626140644,2.2869122732845923,12.394930962392692,10.523936520107673,34.62689732530295
monthly_test_128,tenor_months,-3,128,48.044738859694874,48.23668862457356,-48.03320729860048,127.80543325222872,111,10,7,7.0214342813847015,9.560825905856454,2.2118503923391444,9.165444864920147,8.485107932684457,27.15231390673557
monthly_test_128,tenor_months,-1,128,-8.018863206883818,-8.379160288562948,-67.83032687383268,48.41987141032593,29,70,29,5.128452976595341,6.915508777021712,1.4748468650051096,11.386137135457258,6.718692191959962,22.69172269570717
monthly_test_128,tenor_months,1,128,-31.3393051146511,-32.68520213830337,-57.18944017195538,12.097629658343283,5,120,3,5.376691367224032,7.175068252507771,1.9525279718488164,8.88353254626432,7.571002881261599,19.097643428961423
monthly_test_128,tenor_months,3,128,-78.87003377346532,-79.3762466599883,-150.24015648137768,-7.76230482317071,0,128,0,7.031432821525483,9.625601452325714,2.651886676738961,12.554547790001422,8.543517325070802,27.361922592168497
monthly_test_128,tenor_months,6,128,-134.30745985258682,-129.52612147624077,-271.2014682736928,16.748137872954775,1,126,1,8.497722633997258,11.543865857754376,2.524130178726388,16.140360849767546,11.304008320724165,30.00997513790597
monthly_test_128,tenor_months,12,128,-246.367817636337,-240.546845784688,-507.8717544710845,25.859658521371703,4,124,0,10.114791011846506,13.708819909324687,3.426863455804579,12.354630462013915,12.471988764540868,50.766794009208354
public_monthly_6,nobs_early,1,6,36.59147124788597,47.302117090375944,-77.89261567792906,114.64580890095192,4,2,0,4.033620633805263,6.548301309205665,0.6365077211537242,1.3463585703830745,6.8805312621354595,16.48440338794579
public_monthly_6,nobs_late,1,6,4.162148557918749,1.628345956674287,-3.3180931697807536,16.659603156227593,4,1,1,0.7723879486909206,1.4042201644325965,0.30544012518066804,0.8364184852481706,1.1986150382556264,1.9705430397741543
public_monthly_6,nobs_middle,1,6,2.9385789966707585,1.1691299394945018,-2.669705412772207,14.776718921553607,4,1,1,0.8150239264146089,1.522657187626671,0.35904519267799695,0.5687452358728451,1.14434022634181,2.4375569698007378
public_monthly_6,tenor_months,-12,6,115.6528448815365,99.25987505456129,-39.736819516649824,232.57094491484173,5,1,0,6.19483041870814,8.794330765917794,2.1207501480811644,5.002952956046556,9.298514629419678,14.804517666839388
public_monthly_6,tenor_months,-6,6,44.36225787933757,43.16592226281415,-25.192246602292244,98.25641771073018,5,1,0,5.249757507521933,7.397428007765926,1.263901742257591,3.47157397107933,8.887992356631123,12.615469808821729
public_monthly_6,tenor_months,-3,6,4.099748676182438,0.4427909937474248,-22.550740776296788,39.96666678567129,3,3,0,4.475807441051919,6.3684678812642,1.2860486918532406,4.804472510850904,5.231230404248361,12.200606027721832
public_monthly_6,tenor_months,-1,6,-25.961229589001267,-26.98780697006758,-36.82701229049131,-7.66644657776322,0,6,0,3.360008977228702,5.002073891390585,1.1810122493815314,2.4460585028036697,3.436094993861012,6.051853520296245
public_monthly_6,tenor_months,1,6,-25.69451730215542,-23.63802382475322,-38.80874611111814,-14.462961308148822,0,6,0,3.5182554087780513,5.114399799720755,0.549067995603993,3.1053750122773778,5.826188763419241,9.085350445568366
public_monthly_6,tenor_months,3,6,-45.08396309990794,-44.36257623757744,-69.01291720319678,-7.061214676389152,0,6,0,4.600188400355919,6.46114328894976,1.0815805806932466,3.1730363539526536,7.056977303609461,12.096134806555586
public_monthly_6,tenor_months,6,6,-58.04283117034077,-59.675561338646865,-99.10383213660856,15.46411989972062,1,5,0,5.490031800922033,7.4279203373208444,1.5225873195030966,4.413118823022714,7.73659898438455,13.443993307367549
public_monthly_6,tenor_months,12,6,-99.96289889551925,-93.11249706525574,-180.7768007611689,20.18558522468835,1,5,0,6.6327005344532,8.634337859528621,3.434522106801296,6.358356149647648,6.828892297345334,10.124888773090078
regular_test_128,nobs_early,1,81,219.9514089529051,230.66691938480383,-139.70627245828226,538.3679701446105,75,5,1,7.464578193282601,12.552112788251197,2.688572111253791,8.69375321918804,9.022670529087009,33.0649594633345
regular_test_128,nobs_late,1,81,8.085615373929608,7.371430987532259,-15.196730895342972,31.81363243054812,68,9,4,1.1760540694202717,2.578779811277309,0.3141620411602579,2.714515117037376,1.3774893551073295,6.337836732517681
