cohort,axis,offset,monthly_delta_krw,nonmonthly_delta_krw,delta_krw
monthly_test_128,nobs_early,1,-194.75649810109599,333.83699205448977,139.08049395339359
monthly_test_128,nobs_late,1,-4.564554583510338,14.225344742204072,9.660790158693827
monthly_test_128,nobs_middle,1,-8.481556700586953,17.297079205341433,8.815522504754497
monthly_test_128,tenor_months,-12,-233.13354344146012,522.3672958374619,289.2337523960019
monthly_test_128,tenor_months,-6,-117.37506245245207,247.3909356142695,130.01587316181735
monthly_test_128,tenor_months,-3,-72.95773297409204,121.00247183378661,48.044738859694874
monthly_test_128,tenor_months,-1,-42.6752599813262,34.656396774442214,-8.018863206883818
monthly_test_128,tenor_months,1,9.659707922437475,-40.999013037088474,-31.3393051146511
monthly_test_128,tenor_months,3,39.648947949247486,-118.51898172271294,-78.87003377346532
monthly_test_128,tenor_months,6,95.17423619564893,-229.48169604823562,-134.3074598525868
monthly_test_128,tenor_months,12,189.54241338062795,-435.91023101696493,-246.36781763633698
public_monthly_6,nobs_early,1,-221.92758211155862,258.5190533594462,36.59147124788597
public_monthly_6,nobs_late,1,-6.338587471049228,10.500736028968277,4.162148557918749
public_monthly_6,nobs_middle,1,-10.886936555407127,13.825515552078286,2.9385789966707585
public_monthly_6,tenor_months,-12,-275.76800679378124,391.4208516753185,115.65284488153647
public_monthly_6,tenor_months,-6,-142.40316648424255,186.76542436357977,44.36225787933757
public_monthly_6,tenor_months,-3,-86.95399511890616,91.05374379508885,4.099748676182437
public_monthly_6,tenor_months,-1,-54.2773428780881,28.31611328908639,-25.961229589001267
public_monthly_6,tenor_months,1,8.652663449638814,-34.347180751794134,-25.69451730215542
public_monthly_6,tenor_months,3,47.29670331317825,-92.38066641308644,-45.08396309990794
public_monthly_6,tenor_months,6,120.75430928624002,-178.79714045658088,-58.04283117034077
public_monthly_6,tenor_months,12,244.0415825178685,-344.00448141338666,-99.96289889551927
regular_test_128,nobs_early,1,0.0,219.95140895290533,219.9514089529051
regular_test_128,nobs_late,1,0.0,8.085615373929759,8.085615373929608
regular_test_128,nobs_middle,1,0.0,11.245461712710044,11.245461712710055
regular_test_128,tenor_months,-12,0.0,313.19203041248625,313.19203041248625
regular_test_128,tenor_months,-6,0.0,148.82729201200658,148.82729201200672
regular_test_128,tenor_months,-3,0.0,72.69948827237882,72.69948827237876
regular_test_128,tenor_months,-1,0.0,23.080203765021267,23.0802037650212
regular_test_128,tenor_months,1,0.0,-22.966526547972144,-22.966526547972002
regular_test_128,tenor_months,3,0.0,-70.05090985638586,-70.05090985638583
regular_test_128,tenor_months,6,0.0,-136.1375719324252,-136.13757193242532
regular_test_128,tenor_months,12,0.0,-260.9026370499441,-260.90263704994425
