family,case,axis,offset,structure,monthly,cohort,nobs,horizon_days,monthly_coupon_count,monthly_total_accrual,mc_price_krw,mc_price_se_krw,mc_delta_krw,mc_delta_se_krw,affected,actual_horizon_change_days,final_stub_coupon,price_krw,price_se_krw,mc_difference_krw,z_independent_mc
test-regular-00000,0,base,0,STEP KI,False,regular_test_128,6,1095,0,0.0,9449.856712458468,9.196663143259928,0.0,0.0,0,0,False,9434.314209694776,9.24207274916928,15.542502763692028,1.1920747536158547
test-monthly-00000,0,base,0,LIZARD no-KI,True,monthly_test_128,6,1096,36,3.000000000000001,9850.6033175231,6.425514504108364,0.0,0.0,0,0,False,9852.375888856055,6.403424352511039,-1.7725713329546124,-0.19540125111792542
test-regular-00001,0,base,0,STEP no-KI,False,regular_test_128,7,1095,0,0.0,9552.958838027207,6.247399413270622,0.0,0.0,0,0,False,9556.015835921373,6.235096004698477,-3.056997894165761,-0.3463446720605369
test-monthly-00001,0,base,0,STEP KI,True,monthly_test_128,6,1094,36,3.000000000000001,9746.691011637078,5.2909212904724585,0.0,0.0,0,0,False,9756.508588189658,5.2647069826069925,-9.81757655257934,-1.3153274003317617
test-regular-00002,0,base,0,LIZARD KI,False,regular_test_128,6,1095,0,0.0,9906.100279683438,4.3090964734707295,0.0,0.0,0,0,False,9906.520833158604,4.301292591408536,-0.42055347516543407,-0.06907378743562831
test-monthly-00002,0,base,0,STEP no-KI,True,monthly_test_128,6,1092,36,3.000000000000001,9230.423743582622,6.6234280774455465,0.0,0.0,0,0,False,9235.454824200397,6.60937795752591,-5.031080617774933,-0.5376802481433937
test-regular-00003,0,base,0,LIZARD no-KI,False,regular_test_128,6,1095,0,0.0,7524.445678706873,8.82629362218216,0.0,0.0,0,0,False,7528.985886986964,8.821597614699018,-4.540208280091065,-0.36382952570375926
test-monthly-00003,0,base,0,LIZARD no-KI,True,monthly_test_128,6,1096,36,3.000000000000001,9681.346675963365,5.441037482569667,0.0,0.0,0,0,False,9684.631592849168,5.438596145501471,-3.284916885802886,-0.4269972733479567
test-regular-00004,0,base,0,STEP KI,False,regular_test_128,12,1095,0,0.0,8816.0605327584,9.317349827389144,0.0,0.0,0,0,False,8813.244788188684,9.330242098815305,2.8157445697161165,0.21354302597076869
test-monthly-00004,0,base,0,STEP KI,True,monthly_test_128,6,1089,36,3.000000000000001,9730.406898610656,6.022276933668502,0.0,0.0,0,0,False,9729.108391211912,6.031630646732002,1.2985073987438227,0.15234613414803133
test-regular-00005,0,base,0,STEP no-KI,False,regular_test_128,6,1095,0,0.0,8293.236104963358,10.875196394739282,0.0,0.0,0,0,False,8276.591828553674,10.869714476463852,16.644276409684608,1.0824859584795044
test-monthly-00005,0,base,0,STEP no-KI,True,monthly_test_128,6,1092,36,3.000000000000001,8527.348238317369,7.78001370505344,0.0,0.0,0,0,False,8536.614163469303,7.755513974716258,-9.265925151934425,-0.8434847527109501
test-regular-00006,0,base,0,LIZARD KI,False,regular_test_128,12,1095,0,0.0,8929.298410744012,7.824379059515892,0.0,0.0,0,0,False,8912.761539886302,7.848131157808586,16.5368708577098,1.4922076849505137
test-monthly-00006,0,base,0,LIZARD no-KI,True,monthly_test_128,6,1096,36,3.000000000000001,8683.877396953558,7.872264272986535,0.0,0.0,0,0,False,8682.5363827692,7.88047883341039,1.3410141843578458,0.12039047270624392
test-regular-00007,0,base,0,LIZARD no-KI,False,regular_test_128,6,1095,0,0.0,9276.43678988507,5.463425725605241,0.0,0.0,0,0,False,9268.50655826622,5.487459415695278,7.930231618851394,1.0241194163054275
test-monthly-00007,0,base,0,STEP KI,True,monthly_test_128,6,1090,36,3.000000000000001,8602.992508733178,7.954631922866254,0.0,0.0,0,0,False,8595.226118978195,7.969836606051935,7.766389754982811,0.6897139892480559
test-regular-00008,0,base,0,STEP KI,False,regular_test_128,12,1095,0,0.0,9037.37587360138,6.916353598540641,0.0,0.0,0,0,False,9029.121019252238,6.9386720524927785,8.254854349142988,0.8425904161918442
test-monthly-00008,0,base,0,STEP no-KI,True,monthly_test_128,6,1093,36,3.000000000000001,8047.277604825727,9.457718098691856,0.0,0.0,0,0,False,8036.004024131525,9.49337736856801,11.273580694202792,0.8412823690097837
test-regular-00009,0,base,0,STEP no-KI,False,regular_test_128,7,1095,0,0.0,9802.736159862034,5.538102663421571,0.0,0.0,0,0,False,9789.509672346683,5.572097979331781,13.226487515350527,1.6835870984855874
test-monthly-00009,0,base,0,LIZARD no-KI,True,monthly_test_128,6,1096,36,3.000000000000001,9366.164063343158,7.659251156427781,0.0,0.0,0,0,False,9362.14804490263,7.657557237140335,4.016018440528569,0.3708022954043693
test-regular-00010,0,base,0,LIZARD KI,False,regular_test_128,12,1095,0,0.0,8032.693805813683,9.44145940322585,0.0,0.0,0,0,False,8029.058163481859,9.457820032169025,3.635642331823874,0.27205125913136585
test-monthly-00010,0,base,0,STEP KI,True,monthly_test_128,6,1087,35,2.9166666666666674,9137.753760350082,6.410845641175898,0.0,0.0,0,0,False,9158.343995718851,6.368814913793544,-20.590235368768845,-2.278529425814056
test-regular-00011,0,base,0,LIZARD no-KI,False,regular_test_128,12,1095,0,0.0,9813.087895273457,4.440341704712973,0.0,0.0,0,0,False,9815.769101874414,4.421849127632085,-2.6812066009570117,-0.4278615248927536
test-monthly-00011,0,base,0,STEP no-KI,True,monthly_test_128,6,1090,36,3.000000000000001,9635.440909741308,5.385527440880703,0.0,0.0,0,0,False,9638.07252401901,5.383062132598484,-2.631614277701374,-0.3456037097093049
test-regular-00012,0,base,0,STEP KI,False,regular_test_128,7,1095,0,0.0,9974.718490587682,1.7119328063173491,0.0,0.0,0,0,False,9972.208471475811,1.7453461543568205,2.510019111870861,1.0266852462342022
test-monthly-00012,0,base,0,LIZARD no-KI,True,monthly_test_128,6,1096,36,3.000000000000001,9506.734465873156,6.073726875825879,0.0,0.0,0,0,False,9504.637820950547,6.08625155642213,2.0966449226089026,0.24384106672074524
test-regular-00013,0,base,0,STEP no-KI,False,regular_test_128,6,1095,0,0.0,10370.226914215327,7.444057910652826,0.0,0.0,0,0,False,10357.019525538137,7.501071214825269,13.207388677190465,1.2497672067163503
test-monthly-00013,0,base,0,STEP KI,True,monthly_test_128,6,1091,36,3.000000000000001,8867.12100884465,7.53630657433951,0.0,0.0,0,0,False,8881.041264284648,7.495965827403277,-13.920255439998073,-1.3095919646424932
test-regular-00014,0,base,0,LIZARD KI,False,regular_test_128,7,1095,0,0.0,9217.977096213486,6.551416372949706,0.0,0.0,0,0,False,9218.461254168287,6.558333658265478,-0.4841579548010486,-0.05222850543043258
test-monthly-00014,0,base,0,STEP no-KI,True,monthly_test_128,6,1090,36,3.000000000000001,9260.227010535567,6.729690587510201,0.0,0.0,0,0,False,9248.403590445543,6.7574225681014966,11.823420090024229,1.2397616528601438
test-regular-00015,0,base,0,LIZARD no-KI,False,regular_test_128,12,1095,0,0.0,9631.469526520325,4.918550953048443,0.0,0.0,0,0,False,9625.220633047673,4.937803140840818,6.248893472651616,0.8966046629758251
test-monthly-00015,0,base,0,LIZARD no-KI,True,monthly_test_128,6,1096,36,3.000000000000001,9506.407172162451,5.75302891823664,0.0,0.0,0,0,False,9509.408849504687,5.745883249886774,-3.00167734223578,-0.36916639813890617
test-regular-00016,0,base,0,STEP KI,False,regular_test_128,12,1095,0,0.0,9730.119431943947,2.8143791218843885,0.0,0.0,0,0,False,9730.868557252465,2.8120146660222893,-0.7491253085172502,-0.18829522383406827
test-monthly-00016,0,base,0,STEP KI,True,monthly_test_128,6,1090,36,3.000000000000001,7214.200580456401,9.42374625837555,0.0,0.0,0,0,False,7232.545924785443,9.4285911540066,-18.345344329041836,-1.3761812836404435
test-regular-00017,0,base,0,STEP no-KI,False,regular_test_128,7,1095,0,0.0,8782.830156366219,9.01077368620303,0.0,0.0,0,0,False,8769.39009532545,9.039808291720222,13.440061040768342,1.0529905372338983
test-monthly-00017,0,base,0,STEP no-KI,True,monthly_test_128,6,1093,36,3.000000000000001,7812.265151305691,9.318468834479946,0.0,0.0,0,0,False,7830.475683575449,9.29593381738357,-18.210532269758005,-1.3835288364222855
test-regular-00018,0,base,0,LIZARD KI,False,regular_test_128,7,1095,0,0.0,8904.256403924963,6.784314115413978,0.0,0.0,0,0,False,8902.90053499295,6.800091264585298,1.3558689320125268,0.14115354228450563
