cohort,axis,new_nobs,base_nobs,mc_delta_mean,pred_delta_mean,n_families,n_rows,price_mae,price_rmse,price_r2,delta_mae,delta_rmse,delta_bias,within_1,within_5,within_10,resolved_n,resolved_sign
monthly_test_128,nobs_early,7,6,139.08049395339359,-57.95650960256656,128,128,127.06041915968294,151.24901775705266,0.9036911376972486,205.61210645786565,284.9187412364241,-197.03700355596013,0.0,0.0078125,0.015625,127,0.5984251968503937
monthly_test_128,nobs_late,7,6,9.660790158693827,-429.4019642596443,128,128,367.1049778113377,405.27468734167996,0.5226985837065539,439.06275441833816,458.38945701824974,-439.06275441833816,0.0,0.0,0.0,123,0.08130081300813008
monthly_test_128,nobs_middle,7,6,8.815522504754496,-375.968113852044,128,128,316.33951903354,353.41958221200474,0.6356003256156262,384.7836363567985,405.68445311660855,-384.7836363567985,0.0,0.0,0.0,120,0.10833333333333334
public_monthly_6,nobs_early,7,6,36.59147124788597,-108.44548543294252,6,6,192.27220290669115,213.1458880796237,0.34649928213854275,145.03695668082852,162.28007034508067,-145.03695668082852,0.0,0.0,0.0,6,0.3333333333333333
public_monthly_6,nobs_late,7,6,4.162148557918749,-491.34271012412165,6,6,542.7401049079035,561.5346079808761,-2.1056550937112393,495.5048586820405,507.97758912087346,-495.5048586820405,0.0,0.0,0.0,5,0.2
public_monthly_6,nobs_middle,7,6,2.9385789966707585,-465.67867199579877,6,6,515.8524972183319,528.0348199487436,-1.7397028238931709,468.61725099246956,476.52264615327874,-468.61725099246956,0.0,0.0,0.0,5,0.2
regular_test_128,nobs_early,7,6,226.85295486402575,216.91081424554181,40,40,59.01533416548875,87.11034050711966,0.9743211179940097,56.66808046208193,80.18751226852835,-9.942140618483936,0.025,0.05,0.125,39,0.8974358974358975
regular_test_128,nobs_early,8,7,213.2181934298605,247.1157157324194,41,41,139.42960718353257,177.36743064593787,0.801224130287779,131.38576046037522,161.30585400683168,33.897522302558905,0.0,0.0,0.0,41,0.8536585365853658
regular_test_128,nobs_late,7,6,9.170475085657827,-441.4748698472978,40,40,421.5517956025631,483.029411833017,0.45512276781163485,450.6453449329555,496.262612747572,-450.6453449329555,0.0,0.0,0.0,37,0.1891891891891892
regular_test_128,nobs_late,8,7,7.02721565517037,17.281940312889553,41,41,81.84479203344661,104.27512247574242,0.9534201399080876,41.13444843958184,56.815162358790666,10.254724657719182,0.04878048780487805,0.14634146341463414,0.24390243902439024,40,0.8
regular_test_128,nobs_middle,7,6,10.494664749532422,-366.47926270961773,40,40,362.4338483412665,426.2396172305852,0.5752319231999107,377.9832829610772,432.9872507525691,-376.9739274591501,0.0,0.0,0.0,36,0.1111111111111111
regular_test_128,nobs_middle,8,7,11.97794655483457,78.36494503951651,41,41,119.33040163384715,138.00197040438735,0.9172954234829265,94.72082797014332,109.91410605090287,66.38699848468195,0.024390243902439025,0.024390243902439025,0.04878048780487805,39,0.8974358974358975
