step,train_price_loss,train_delta_loss,price_rmse,price_mae,delta_rmse,delta_mae,selection_score
100,0.06408917158842087,0.001981169218197465,157.91495929663273,115.97201212178967,30.3971299734299,15.96554172093407,279.5034791903523
200,0.08589302003383636,0.0024915263056755066,154.09358119827957,117.94662913683217,29.107166974993394,15.208646471628489,270.52224909825316
300,0.06189880892634392,0.0018247311236336827,160.8959208334753,123.09465480203845,28.51048032589105,15.465650122067618,274.93784213703947
400,0.03779025748372078,0.002039971761405468,144.82191870168498,105.6241259500424,26.78469719388278,14.569508380711993,251.9607074772161
500,0.05169331282377243,0.0019326191395521164,174.0308668835616,141.32807662908735,25.165026551614027,13.797316430386234,274.6909730900177
600,0.03634677082300186,0.0010793529218062758,126.0685778681173,85.76216461193823,24.83836901920626,13.446168648902438,225.42205394494235
700,0.03758617863059044,0.0021724686957895756,140.32773104232328,99.99363847603529,24.48180519924244,13.351766372581396,238.25495183929303
800,0.031142283231019974,0.0012458235723897815,119.75609812547812,79.91264910288398,23.98466766512422,13.1264289780098,215.694768785975
900,0.02030825801193714,0.002294875681400299,143.0747231940327,105.9867383759362,24.1420788225563,12.899413972857552,239.64303848425791
1000,0.03379017859697342,0.001549265463836491,124.23900501556196,89.41773992476703,23.65227710552358,12.927716451359792,218.84811343765628
1100,0.023441853001713753,0.0014382360968738794,121.99796932361176,85.03862816137449,23.744827894976073,12.979221565602835,216.97728090351603
1200,0.02425609715282917,0.000803646573331207,124.94334676007296,86.76143365792903,23.507355076329585,12.87820902519624,218.97276706539128
1300,0.05732465535402298,0.0016012394335120916,116.86401130769703,79.40095327768353,23.365216891850007,13.025879071566646,210.32487887509706
1400,0.02695540338754654,0.00143634679261595,123.30318339629372,87.39021955514863,22.55287278776283,12.482817957731957,213.51467454734504
1500,0.02246725931763649,0.0013129006838425994,112.33778837359054,78.40034854594435,22.85410606704862,12.518939798019142,203.75421264178502
1600,0.0171193890273571,0.0024234021548181772,121.45597539912015,87.82948282904302,22.78504298529328,13.134169405719362,212.59614734029327
1700,0.028344348073005676,0.001257802126929164,114.01034646600749,81.01339885347232,22.149777209504457,12.493831664490802,202.60945530402532
