step,train_price_loss,train_delta_loss,price_rmse,price_mae,delta_rmse,delta_mae,selection_score
100,0.05433952808380127,0.0027709100395441055,166.4811679857263,120.85908468829462,30.598084973952577,15.402835994505809,288.8735078815366
200,0.07598158717155457,0.00237606861628592,160.35939398092597,119.0783432020183,29.065575368764378,14.887555593412877,276.6216954559835
300,0.039508480578660965,0.0015851383795961738,144.58696576272098,104.1570201358878,28.1330948445182,14.940265976688721,257.11934514079377
400,0.05820015072822571,0.0021802838891744614,139.26473835058235,98.21890910383468,26.72005448841454,14.522561006507678,246.1449563042405
500,0.044987548142671585,0.0020685382187366486,126.65639563741676,86.15057809790291,25.379340344032304,13.59538822855024,228.17375701354598
600,0.04987768828868866,0.0023338606115430593,123.07480885329973,85.68318993146546,25.271067054107355,13.641221444261983,224.15907706972916
700,0.04856331646442413,0.00261504715308547,131.2257461895454,94.3684757033488,24.521777262294403,13.301563114572405,229.312855238723
800,0.028166156262159348,0.0019663688726723194,134.46293029350636,93.75635806738696,25.044972942257864,13.673156940819764,234.64282206253782
900,0.033246517181396484,0.0010716583346948028,119.16290861893933,82.95575845952709,23.87899055157905,13.097180055422642,214.67887082525553
1000,0.03943523392081261,0.0009104021009989083,124.75511605233191,85.05149596614763,23.828997995365267,13.030636729685055,220.071108033793
1100,0.027935083955526352,0.0013254398945719004,123.85135118490686,88.28124617242545,23.69976693210216,13.033661884824726,218.6504189133155
1200,0.031188160181045532,0.0019359862199053168,112.45568748819971,74.93766179498422,23.527294267731083,12.69758820557752,206.56486455912403
1300,0.022590892389416695,0.0008586219628341496,113.1328616155545,75.8665497884062,23.20447992720308,12.541155604383604,205.95078132436683
1400,0.015645187348127365,0.0017106110462918878,111.74084178172471,73.5541923108137,22.872015928720764,12.553033636248626,203.22890549660775
1500,0.019408846274018288,0.0016180757666006684,119.4953009266047,83.2784469879338,23.118939398660512,12.69702628675245,211.97105852124673
1600,0.019910380244255066,0.0013912797439843416,118.10332782125319,80.15233371938194,22.86812380345467,12.591300265353807,209.57582303507186
1700,0.026863332837820053,0.0007325154147110879,115.69801683280963,79.54384053855908,22.693825690792753,12.57827750263787,206.47331959598063
1800,0.016412125900387764,0.0009259720682166517,111.25361574064522,73.84705644551772,22.27273337621785,12.212290455513083,200.34454924551662
1900,0.017887644469738007,0.0019153888570144773,106.58229006131552,72.04226665987902,21.864517439372285,11.934642911206724,194.04035981880466
2000,0.02834969013929367,0.0008315015584230423,113.43658284335474,75.63367032482653,22.980866865974903,12.634571560182454,205.36005030725437
2100,0.017115715891122818,0.001273962901905179,115.00227162807805,80.74907789228443,21.29153894955231,11.89617637797495,200.16842742628728
2200,0.0260142982006073,0.001463720458559692,108.00472988227064,74.29992415689166,21.235956529399463,11.834937326401455,192.9485559998685
2300,0.024035416543483734,0.0008585756877437234,118.01395590223044,77.18227879066748,21.84651191876298,12.109260620429394,205.40000357728235
2400,0.012444606050848961,0.0011428380385041237,106.7677959046689,71.31472575484416,20.725032854355987,11.477312291434814,189.66792732209285
2500,0.0174447912722826,0.0009922271128743887,106.60040086911101,76.12493953658272,21.098085157647837,11.766153757173116,190.99274149970236
2600,0.013863906264305115,0.001327437930740416,113.31650397519762,76.29434603800311,20.563696545951604,11.361459954927401,195.57129015900404
2700,0.015702437609434128,0.001269023516215384,112.68327294277982,74.55117111368682,20.640525470976172,11.442549291799219,195.2453748266845
2800,0.014957314357161522,0.0013598785735666752,107.72420840037054,75.66642196337155,19.57978284040457,10.884920728474121,186.04333976198882
2900,0.013673373498022556,0.0010273074731230736,115.3614622336501,79.25612335783192,20.117239485193558,11.335865214246251,195.83042017442432
3000,0.014952443540096283,0.0008418808574788272,109.61117853730977,77.05448539648536,19.393376783295935,10.803030511134851,187.1846856704935
3100,0.009778904728591442,0.0006505778292194009,103.67520557085953,70.26689227374003,19.437101359946876,10.837933126408755,181.42361101064705
3200,0.014280088245868683,0.0010223697172477841,107.48156336248714,72.61925685169602,19.836761351811013,11.150533735972633,186.8286087697312
3300,0.010804885998368263,0.0005477508530020714,127.91578276017474,91.70539240971428,19.262990684704125,10.74503140211263,204.96774549899123
3400,0.012126147747039795,0.0010427533416077495,114.16274054341478,76.44665650902046,19.047765058087897,10.634785964643713,190.3538007757664
3500,0.013072308152914047,0.0011168988421559334,111.3708448745198,73.92356731249254,18.551189902435617,10.288612899669754,185.57560448426227
3600,0.009902508929371834,0.0008340594358742237,110.02018851012456,75.031376285889,19.035451987495293,10.568467471427565,186.16199646010574
3700,0.013234730809926987,0.0009362885029986501,102.62955229859702,66.73817788653953,19.03401304109619,10.588315987880005,178.7656044629818
3800,0.01283480878919363,0.0009336011717095971,119.0242543361309,80.55602419846706,18.548211842652613,10.346517870299452,193.21710170674135
3900,0.008751368150115013,0.0009126004879362881,111.12496962202516,73.30948681453368,18.790945981961713,10.438561160405275,186.288753549872
4000,0.012179774232208729,0.0011093211360275745,117.5289670382668,82.95700619343077,18.39210191487057,10.228983710237197,191.09737469774907
4100,0.005301076918840408,0.0007573958719149232,110.3193230705165,73.60189598419299,17.7803420147695,9.786553204990298,181.44069112959448
4200,0.006403203122317791,0.0014782912330701947,105.4214930186342,70.13186311870018,17.77801774356149,9.885470243689765,176.53356399288015
4300,0.004466569982469082,0.0016452866839244962,107.54099996426358,70.82186164082331,17.550796526679186,9.777456651609723,177.74418607098033
4400,0.006875880062580109,0.0012579888571053743,113.45319503509461,78.04844041575736,17.40409667784835,9.653612685798711,183.069581746488
4500,0.004813866224139929,0.0005698372842743993,111.85980571184591,76.79881031470518,17.369159371056544,9.53671744527953,181.33644319607208
4600,0.005542859435081482,0.0004973940085619688,113.1910544428749,74.82017484482822,17.456240216108522,9.682594856607817,183.01601530730898
4700,0.00502739567309618,0.0007601850084029138,112.02990158961207,73.7021105034209,17.204800533710028,9.506493753667701,180.84910372445216
4800,0.009044794365763664,0.0005982278962619603,109.46347792749509,71.3738128539782,17.28091086859003,9.569800767585235,178.5871214018552
4900,0.004367785528302193,0.0004500558425206691,117.83932169351885,84.1479666586243,17.093228374172362,9.415977078459713,186.2122351902083
5000,0.004625641740858555,0.000651136739179492,110.77939739480472,71.77720318995443,16.925559745897946,9.28273333293579,178.4816363783965
5100,0.006664619781076908,0.0009057995048351586,111.00142220081828,76.15650016316603,16.946899432892184,9.355120987898733,178.78901993238702
5200,0.0036172042600810528,0.0006298920488916337,107.22044019478794,69.81509762842487,16.65823303194061,9.150145155971115,173.8533723225504
5300,0.005382021889090538,0.0005920720286667347,112.27020961365217,75.51906480972521,16.666622088850687,9.22592713684659,178.93669796905493
5400,0.008570928126573563,0.0007373791304416955,115.10543474568065,75.54532791163258,17.213072058539186,9.643503965510757,183.9577229798374
5500,0.008103298023343086,0.0005161544540897012,105.93842647003466,67.48448333885948,16.561769148586617,9.013357954550491,172.18550306438112
5600,0.004110103473067284,0.0006186350947245955,113.44011238585809,77.14608895656566,16.4377482377957,9.052187485833114,179.19110533704088
5700,0.005602543707937002,0.0004982824320904911,108.49048301092823,69.95645691012314,16.228110227806816,8.92149395328905,173.40292392215548
5800,0.004326549358665943,0.0005076033412478864,113.45954445573938,76.96056632852392,16.699772471183955,9.24102465082086,180.2586343404752
5900,0.0062660276889801025,0.0008100263075903058,106.83385628522578,72.9586183418185,16.217924524696073,8.92592027777077,171.70555438401007
6000,0.004933413118124008,0.00060626509366557,109.17060673232406,70.62334568256186,16.157882741847576,8.735749903805152,173.80213769971436
