step,train_price_loss,train_delta_loss,price_rmse,price_mae,delta_rmse,delta_mae,selection_score
100,0.10064463317394257,0.001523325452581048,164.12973816189196,121.37233440606518,31.777341388964423,16.55531801500367,291.2391037177497
200,0.08955112099647522,0.0033507237676531076,162.029036511384,116.96113399243795,30.049802089082245,16.13461168730049,282.228244867713
300,0.06583137810230255,0.002898008329793811,146.36274954555265,103.05583261901478,29.845657866183117,16.04993693957324,265.7453810102851
400,0.04041143134236336,0.0015870366478338838,136.11314960094992,98.81766566783992,28.96821284241593,15.686110124908073,251.98600097061365
500,0.038940832018852234,0.0019425816135481,125.44960961264086,91.28289854149162,27.18497871945601,14.377262491516337,234.1895244904649
600,0.044984448701143265,0.002374023664742708,142.56130556376638,111.00753930231988,26.925648443636465,14.531243746422177,250.26389933831223
700,0.04476330056786537,0.0019956277683377266,124.2848710821504,92.85701537271625,25.74294459954003,13.89568865399508,227.25664948031053
800,0.04810941219329834,0.002321278676390648,123.8471090708281,88.86512872109427,26.26967593863282,14.153960242208893,228.92581282535937
900,0.037843622267246246,0.001342067145742476,125.70600187014458,92.77816103833415,25.833903221651067,14.385595414725275,229.04161475674886
1000,0.030442271381616592,0.0010083495872095227,113.01061012389746,77.54753147594728,25.419272418461656,14.059941268134697,214.68769979774407
1100,0.03141467273235321,0.0014036603970453143,113.9233019647297,79.61145173922431,25.3382134579212,13.94213130683562,215.2761557964145
1200,0.026703694835305214,0.0014934663195163012,110.36234745374003,77.33778068093653,25.271577687759496,13.97191266250453,211.448658204778
1300,0.021376656368374825,0.0017287839436903596,112.62326087155213,75.98009115567719,25.31616571345626,14.219801019582498,213.88792372537716
1400,0.03719310089945793,0.002057882957160473,108.67009951606526,75.41857149824081,25.192410792223185,14.003978073520294,209.439742684958
1500,0.026720110327005386,0.0027634003199636936,115.41600449723097,81.70579456266329,25.853965530553456,14.550279643211619,218.83186661944478
1600,0.01691504195332527,0.0017639633733779192,106.82154922495022,72.59758678686997,24.917334614159024,14.07336583867684,206.49088768158632
1700,0.022174416109919548,0.0010041480418294668,106.5478849673196,74.3531833898885,25.186912355245525,14.166402934444061,207.2955343883017
1800,0.018026459962129593,0.0011572054354473948,129.56646729818368,100.30182951591851,24.866349303438327,14.028760471211097,229.031864511937
1900,0.01993369683623314,0.0013899283949285746,125.36032050134756,93.13307980507427,24.707767484598623,14.020853070019607,224.19139043974207
2000,0.020061131566762924,0.0016593687469139695,112.96112622866825,77.89791877088815,24.79123882653271,14.067570939328109,212.12608153479908
2100,0.01821531169116497,0.0018509901128709316,110.33832988302406,77.9468828922718,24.89799869175373,14.169236472743528,209.93032465003898
2200,0.019559267908334732,0.0023200898431241512,118.12743702553998,85.4417793407518,25.10877486617221,14.273224805569427,218.5625364902288
2300,0.019533494487404823,0.0008697761804796755,124.62550293292358,90.73732891997074,24.70110847732502,14.030480992384522,223.42993684222364
2400,0.02008875273168087,0.0019081749487668276,115.7983274328113,82.04023364884908,24.765143267129723,14.018871783108194,214.8589005013302
2500,0.01434367150068283,0.0009847329929471016,113.14729368420691,80.52473983177454,24.566599855402753,13.919957848148782,211.4136931058179
2600,0.0178732480853796,0.001594984787516296,120.49963564794994,87.42192775673578,24.746895128894792,14.069497422687984,219.48721616352913
2700,0.012419435195624828,0.0011206158669665456,110.64931979955975,79.99217114843707,24.69758782320561,14.087713464051438,209.43967109238218
2800,0.015681425109505653,0.0014687913935631514,113.89600257821986,80.91746247168582,24.480027896740285,14.085000528947898,211.816114165181
2900,0.013996887020766735,0.0013502601068466902,117.84844709277483,83.13312624311176,25.1292148259828,14.446912165083301,218.36530639670605
3000,0.020142937079072,0.0012311527971178293,121.33365520504483,87.96672737356742,25.002898698537106,14.247490580665753,221.34524999919324
3100,0.012401305139064789,0.0020675368141382933,126.34619654662586,91.91675157321309,25.091884126186244,14.397511816982082,226.71373305137084
