variant,n,mean_difference,MAE_difference,RMSE_difference,max_abs_difference,mean_MC_SE,p95_abs_difference,p99_abs_difference
A,58760,0.002815195541217244,6.624343203867451,9.496558088403232,66.00538130197675,6.280300503797855,20.23511062071246,31.604377519936047
B,58760,0.03461506608042069,8.027654268395427,11.14401623899505,76.61084742099034,7.683041151639041,23.415230012498558,35.45149411074826
