model,variant,target_sd,prediction_error_sd,bias,MAE,MAE_over_target_sd,mean_MC_SE
deeponet,A,283.88372952900073,68.47242180604901,1.19649062335008,39.40732860682959,0.1388150306190896,6.6693068941867075
deeponet,B,361.00939598209055,83.00814043187037,-18.2682674291067,53.469624768798425,0.14811144907555543,8.006429936405707
xgb,A,283.88372952900073,88.13696273705779,-2.3877783649833977,57.91699825087285,0.20401661746153796,6.6693068941867075
xgb,B,361.00939598209055,102.15590246917627,-27.176368863152515,68.29473289959977,0.18917716175727411,8.006429936405707
