model,variant,metric,notebook_reference,rerun_mean,rerun_std,delta
deeponet,A,R2,0.9305,0.9418033807655435,0.02241398463922776,0.011303380765543491
deeponet,A,MAE,40.8148,39.4073286068296,7.664218841336368,-1.4074713931703968
deeponet,A,RMSE,71.8499,67.52681724528338,12.74721365827753,-4.323082754716623
deeponet,A,MAPE,0.4192,0.4049182522848064,0.07897625935943013,-0.014281747715193638
deeponet,B,R2,0.9468,0.9445679986485412,0.012546283960620708,-0.0022320013514587345
deeponet,B,MAE,52.2922,53.46962476879844,7.054224216238121,1.1774247687984385
deeponet,B,RMSE,82.9887,84.59121903505631,9.243102748618616,1.6025190350563179
deeponet,B,MAPE,0.544,0.5563228421096195,0.07316132462205967,0.012322842109619425
xgb,A,R2,0.9041,0.9035352617447702,0.001361401963610657,-0.0005647382552298463
xgb,A,MAE,57.2285,57.91699825087286,0.6708608280340078,0.6884982508728612
xgb,A,RMSE,87.8932,88.16716459134823,0.6231200239662261,0.27396459134823203
xgb,A,MAPE,0.5854,0.5924469940124095,0.006623229701731634,0.007046994012409491
xgb,B,R2,0.9155,0.9142564230812017,0.0015939558362775658,-0.0012435769187982837
xgb,B,MAE,67.7887,68.29473289959977,0.656565984419973,0.5060328995997594
xgb,B,RMSE,104.9488,105.70488749538288,0.981914560031238,0.7560874953828716
xgb,B,MAPE,0.7037,0.7093856865294951,0.006736472398700317,0.005685686529495082
