item,isu_ord,year,tenor,NS,bootstrap,difference_bp,par_reprice_max_bp
KR6523318519,735603,2015,0.25,0.021300000000000006,0.021240913025857185,-0.5908697414282182,1.0408340855860843e-12
KR6523318519,735603,2015,0.5,0.023003817086699872,0.020743957175426552,-22.5985991127332,1.0408340855860843e-12
KR6523318519,735603,2015,1.0,0.025402031972765148,0.020495479250211234,-49.06552722553914,1.0408340855860843e-12
KR6523318519,735603,2015,1.5,0.026819399836973346,0.02064690124413589,-61.724985928374544,1.0408340855860843e-12
KR6523318519,735603,2015,2.0,0.02757662613254954,0.02072261224109822,-68.54013891451322,1.0408340855860843e-12
KR6523318519,735603,2015,3.0,0.02793184113775024,0.02120489030681257,-67.26950830937672,1.0408340855860843e-12
KR6523318519,735603,2015,4.0,0.027538163504429555,0.021767706865032887,-57.70456639396668,1.0408340855860843e-12
KR6523318519,735603,2015,5.0,0.026891127978772456,0.02236121171443265,-45.299162643398056,1.0408340855860843e-12
KR6523318519,735603,2015,7.0,0.025577416093949024,0.023430764655402687,-21.466514385463377,1.0408340855860843e-12
KR6523318519,735603,2015,10.0,0.02415000000000001,0.024872790291423193,7.227902914231851,1.0408340855860843e-12
KR6703301525,735631,2015,0.25,0.021200000000000014,0.021237455076825718,0.3745507682570426,2.0816681711721685e-12
KR6703301525,735631,2015,0.5,0.022778288228945596,0.02011115250266799,-26.671357262776052,2.0816681711721685e-12
KR6703301525,735631,2015,1.0,0.02498758637056887,0.019548001215589122,-54.39585154979748,2.0816681711721685e-12
KR6703301525,735631,2015,1.5,0.02627787056290113,0.019331691289203288,-69.46179273697842,2.0816681711721685e-12
KR6703301525,735631,2015,2.0,0.026951144804173065,0.019223536326010374,-77.2760847816269,2.0816681711721685e-12
KR6703301525,735631,2015,3.0,0.027218952193206147,0.01925062236532813,-79.68329827878016,2.0816681711721685e-12
KR6703301525,735631,2015,4.0,0.02679624478609505,0.0194050675596738,-73.91177226421252,2.0816681711721685e-12
KR6703301525,735631,2015,5.0,0.02614654419261263,0.01961171343474758,-65.3483075786505,2.0816681711721685e-12
KR6703301525,735631,2015,7.0,0.024853070388075046,0.02013269158398026,-47.20378804094785,2.0816681711721685e-12
KR6703301525,735631,2015,10.0,0.02346000000000001,0.021062448206782797,-23.975517932172117,2.0816681711721685e-12
KR6533375533,735663,2015,0.25,0.01950000000000001,0.021137618008805564,16.376180088055538,1.7694179454963432e-12
KR6533375533,735663,2015,0.5,0.021088193390102702,0.019945054602684836,-11.431387874178654,1.7694179454963432e-12
KR6533375533,735663,2015,1.0,0.02334307739792238,0.019348772899624472,-39.94304498297907,1.7694179454963432e-12
KR6533375533,735663,2015,1.5,0.024700238400246283,0.01918276968824675,-55.17468711999533,1.7694179454963432e-12
KR6533375533,735663,2015,2.0,0.02545079590670924,0.019099768082557887,-63.51027824151353,1.7694179454963432e-12
KR6533375533,735663,2015,3.0,0.02587913779133308,0.019405679278279086,-64.73458513053993,1.7694179454963432e-12
KR6533375533,735663,2015,4.0,0.02560432215250045,0.01984082488260445,-57.63497269895997,1.7694179454963432e-12
KR6533375533,735663,2015,5.0,0.025081118134842727,0.02025269139094976,-48.28426743892968,1.7694179454963432e-12
KR6533375533,735663,2015,7.0,0.023978102511603056,0.02103230955732504,-29.457929542780168,1.7694179454963432e-12
KR6533375533,735663,2015,10.0,0.022760000000000006,0.022254922858205312,-5.050771417946937,1.7694179454963432e-12
KR65333C0537,735684,2015,0.25,0.01950000000000001,0.021129701037418982,16.297010374189714,2.3245294578089215e-12
KR65333C0537,735684,2015,0.5,0.021088193390102702,0.01849624883894055,-25.91944551162153,2.3245294578089215e-12
KR65333C0537,735684,2015,1.0,0.02334307739792238,0.017179522739701334,-61.63554658221045,2.3245294578089215e-12
KR65333C0537,735684,2015,1.5,0.024700238400246283,0.01704848608352381,-76.51752316722472,2.3245294578089215e-12
KR65333C0537,735684,2015,2.0,0.02545079590670924,0.01698296775543505,-84.67828151274192,2.3245294578089215e-12
KR65333C0537,735684,2015,3.0,0.02587913779133308,0.01736481790855559,-85.1431988277749,2.3245294578089215e-12
KR65333C0537,735684,2015,4.0,0.02560432215250045,0.0179268556635517,-76.77466488948747,2.3245294578089215e-12
KR65333C0537,735684,2015,5.0,0.025081118134842727,0.018440453705471028,-66.406644293717,2.3245294578089215e-12
KR65333C0537,735684,2015,7.0,0.023978102511603056,0.019268243978252643,-47.09858533350413,2.3245294578089215e-12
KR65333C0537,735684,2015,10.0,0.022760000000000006,0.020590923900966313,-21.690760990336933,2.3245294578089215e-12
KR65033BZ548,735708,2015,0.25,0.018100000000000015,0.019442557444773186,13.425574447731709,2.3245294578089215e-12
KR65033BZ548,735708,2015,0.5,0.019093830442819235,0.01758714004472725,-15.066903980919845,2.3245294578089215e-12
KR65033BZ548,735708,2015,1.0,0.020557299238848904,0.01665943134470428,-38.97867894144622,2.3245294578089215e-12
KR65033BZ548,735708,2015,1.5,0.02150374796336509,0.016644632347133224,-48.59115616231865,2.3245294578089215e-12
KR65033BZ548,735708,2015,2.0,0.02209421696934858,0.016637232848347696,-54.569841210008846,2.3245294578089215e-12
KR65033BZ548,735708,2015,3.0,0.02262491667831926,0.017170092384587027,-54.548242937322335,2.3245294578089215e-12
KR65033BZ548,735708,2015,4.0,0.022701868511950198,0.01783339114639456,-48.68477365555638,2.3245294578089215e-12
KR65033BZ548,735708,2015,5.0,0.02259036764993684,0.018475252096140593,-41.151155537962474,2.3245294578089215e-12
KR65033BZ548,735708,2015,7.0,0.02222848191728735,0.01932682926140985,-29.016526558775027,2.3245294578089215e-12
KR65033BZ548,735708,2015,10.0,0.021770000000000015,0.020620580720417697,-11.494192795823178,2.3245294578089215e-12
KR6703373557,735730,2015,0.25,0.018000000000000006,0.01805582365723847,0.5582365723846503,1.5959455978986625e-12
KR6703373557,735730,2015,0.5,0.018786454488013537,0.017426152081105276,-13.603024069082613,1.5959455978986625e-12
KR6703373557,735730,2015,1.0,0.02007312346508538,0.017111316293038675,-29.61807172046707,1.5959455978986625e-12
KR6703373557,735730,2015,1.5,0.021060331577912858,0.017497042779285835,-35.632887986270234,1.5959455978986625e-12
KR6703373557,735730,2015,2.0,0.021823715674780232,0.017689906022409413,-41.338096523708195,1.5959455978986625e-12
KR6703373557,735730,2015,3.0,0.022887557276970914,0.018652308991450924,-42.3524828551999,1.5959455978986625e-12
KR6703373557,735730,2015,4.0,0.02355865226112906,0.019519144256242574,-40.39508004886484,1.5959455978986625e-12
KR6703373557,735730,2015,5.0,0.023999671162851954,0.02041968722610208,-35.79983936749874,1.5959455978986625e-12
KR6703373557,735730,2015,7.0,0.024518182170297952,0.021610849294325767,-29.073328759721857,1.5959455978986625e-12
KR6703373557,735730,2015,10.0,0.024900000000000005,0.0228756963622671,-20.243036377329062,1.5959455978986625e-12
KR6593314562,735757,2015,0.25,0.017000000000000005,0.017954815040638415,9.548150406384105,1.6306400674181987e-12
KR6593314562,735757,2015,0.5,0.018631974202417127,0.017060039672316993,-15.719345301001345,1.6306400674181987e-12
KR6593314562,735757,2015,1.0,0.021088347738824925,0.016612651988156285,-44.756957506686405,1.6306400674181987e-12
KR6593314562,735757,2015,1.5,0.022741104241311885,0.016730736471565363,-60.10367769746522,1.6306400674181987e-12
KR6593314562,735757,2015,2.0,0.023833253779919152,0.016789778713269903,-70.43475066649249,1.6306400674181987e-12
KR6593314562,735757,2015,3.0,0.02497115813505415,0.017676624789622643,-72.94533345431505,1.6306400674181987e-12
KR6593314562,735757,2015,4.0,0.02535002411201234,0.018671736318479168,-66.78287793533171,1.6306400674181987e-12
KR6593314562,735757,2015,5.0,0.025385934959499763,0.01967511728378623,-57.10817675713534,1.6306400674181987e-12
KR6593314562,735757,2015,7.0,0.025124744497596888,0.021101390622509653,-40.233538750872356,1.6306400674181987e-12
KR6593314562,735757,2015,10.0,0.024680000000000007,0.02285092824478361,-18.29071755216398,1.6306400674181987e-12
KR65733CW563,735775,2015,0.25,0.017000000000000005,0.017953358465254997,9.533584652549921,1.5959455978986625e-12
KR65733CW563,735775,2015,0.5,0.018631974202417127,0.01679348637715148,-18.384878252656474,1.5959455978986625e-12
KR65733CW563,735775,2015,1.0,0.021088347738824925,0.016213550333099725,-48.747974057252,1.5959455978986625e-12
KR65733CW563,735775,2015,1.5,0.022741104241311885,0.016767092092535626,-59.74012148776259,1.5959455978986625e-12
KR65733CW563,735775,2015,2.0,0.023833253779919152,0.017043862972253576,-67.89390807665576,1.5959455978986625e-12
KR65733CW563,735775,2015,3.0,0.02497115813505415,0.018183094381627508,-67.88063753426641,1.5959455978986625e-12
KR65733CW563,735775,2015,4.0,0.02535002411201234,0.01917701905071145,-61.7300506130089,1.5959455978986625e-12
KR65733CW563,735775,2015,5.0,0.025385934959499763,0.020154055754765997,-52.318792047337666,1.5959455978986625e-12
