item,isu_ord,fair,udl1,udl2,udl3,mc_A,gap_A,ape_A,mc_B,gap_B,ape_B,year
KR6523318519,735603,0.9009828282828283,^HSCE,^KS200,^STOXX50E,0.9865661245252938,-855.8329624246552,9.498882060336005,0.952519247410819,-515.3641912799068,5.720022347841333,2015
KR6703301525,735631,0.94279,^GSPC,^HSCE,^STOXX50E,0.9944173705283553,-516.2737052835531,5.476020166564697,0.9655411218676716,-227.51121867671586,2.413169620771496,2015
KR6533375533,735663,0.9994949494949495,^GSPC,^HSCE,^STOXX50E,0.9951581075653434,43.368419296061504,0.43390333605963505,0.9744682632669807,250.26686227968887,2.5039332355421116,2015
KR65333C0537,735684,0.9915,^HSCE,^KS200,^STOXX50E,0.938303334602341,531.9666539765899,5.365271346208673,0.9084673684246839,830.3263157531616,8.374445948090385,2015
KR65033BZ548,735708,0.9318780000000001,^HSCE,^KS200,^STOXX50E,0.7673045569371433,1645.7344306285681,17.660406519185646,0.7145441877469421,2173.33812253058,23.322131464961934,2015
KR6703373557,735730,0.963610101010101,^GSPC,^HSCE,^STOXX50E,0.9898798414807767,-262.6974047067565,2.726179441574812,0.9674566126093269,-38.46511599225888,0.39917717707543693,2015
KR6593314562,735757,0.8915850000000001,^GSPC,^HSCE,^STOXX50E,0.9878713375411928,-962.8633754119276,10.79945687076305,0.9633703913528473,-717.8539135284723,8.051435516843288,2015
KR65733CW563,735775,0.892185,^HSCE,^KS200,^STOXX50E,0.9323487518116832,-401.6375181168319,4.501729104578444,0.8914225526958705,7.624473041295543,0.08545843116949448,2015
KR6533358570,735796,0.995,^GSPC,^HSCE,^STOXX50E,0.9589632864747197,360.3671352528026,3.621780253797011,0.9096530935032293,853.4690649677068,8.577578542389015,2015
KR6703337586,735817,0.945815,^GSPC,^KS200,^STOXX50E,1.010927382760495,-651.1238276049503,6.884262013236736,0.989477484388277,-436.6248438827702,4.61638738952935,2015
KR65733C3586,735838,0.935559,^GSPC,^HSCE,^STOXX50E,0.9614394117197023,-258.8041171970223,2.7663046071602357,0.9325624112715946,29.965887284054695,0.32029927865644703,2015
KR6593387592,735862,0.942159,^GSPC,^KS200,^STOXX50E,0.9987791707515717,-566.2017075157178,6.009619475223585,0.971118618932739,-289.59618932739016,3.073750707973815,2015
KR65733C45A2,735899,0.930897,^HSI,^KS200,^STOXX50E,0.921450541199185,94.4645880081496,1.0147694966054204,0.8709547919640318,599.4220803596817,6.4391880128487,2015
KR65533AL5B9,735932,0.9398616161616161,^GSPC,^KS200,^STOXX50E,0.9853956457331777,-455.3402957156161,4.844758929247696,0.9734422775320709,-335.8066137045479,3.57293678058668,2015
KR65733EL5C1,735963,0.8975190000000001,^HSI,^KS200,^STOXX50E,0.9650052221857012,-674.862221857011,7.519197051616857,0.943849852091819,-463.30852091818974,5.162102650954351,2015
KR6703307621,735995,0.9357222222222222,^GSPC,^KS200,^STOXX50E,0.9805243689315394,-448.02146709317145,4.787975068382762,0.9648516036426649,-291.2938142044263,3.113037259205411,2016
KR6533374635,736031,0.9808600000000001,^GSPC,^KS200,^STOXX50E,0.9614485958315433,194.1140416845677,1.979018837393386,0.9344536078389735,464.063921610266,4.731194274516913,2016
KR6503327647,736065,0.936473,^GSPC,^HSI,^STOXX50E,0.9862764873754234,-498.03487375423396,5.318197895232793,0.9570391842894257,-205.66184289425692,2.196132113731596,2016
20160428000382_15470,736088,0.9505819999999999,^GSPC,^HSI,^STOXX50E,0.9857262647993863,-351.4426479938637,3.6971313152769962,0.969494962752983,-189.12962752983043,1.9896192809229547,2016
KR6503311666,736118,0.970216,^HSI,^KS200,^STOXX50E,1.001815425585583,-315.9942558558293,3.2569474823732993,0.9978150116238743,-275.9901162387435,2.8446254879196333,2016
KR6593385661,736145,0.9480790000000001,^GSPC,^HSI,^KS200,1.001683690081537,-536.0469008153678,5.654032003824236,0.9941261131282896,-460.47113128289465,4.8568856739037,2016
KR6513399677,736173,0.9908010101010102,^HSI,^KS200,^STOXX50E,0.9943789882976563,-35.7797819664607,0.3611197566584336,0.9890404292590916,17.605808419185465,0.17769267733579105,2016
KR6523369686,736206,0.9454848484848484,^GSPC,^KS200,^STOXX50E,0.9937950013171882,-483.1015283233986,5.109563935345712,0.9879194889169187,-424.34640432070347,4.488135425974558,2016
KR6503396691,736233,0.9502137096774195,^KS200,^N225,^STOXX50E,0.9887269343413413,-385.1322466392182,4.053111870696579,0.9863702686011792,-361.56558923759684,3.8050975854720295,2016
KR65333C66A7,736255,0.947174,^GSPC,^KS200,^STOXX50E,1.0073179080646486,-601.4390806464864,6.349826754603552,1.0039150974016637,-567.4109740166377,5.990567456630331,2016
KR65333A06B5,736276,0.935926,^GSPC,^HSI,^STOXX50E,1.0159801602981986,-800.5416029819856,8.553471139619859,1.0156893050786109,-797.6330507861085,8.522394407101718,2016
KR65333506C3,736304,0.9515299999999999,^GSPC,^KS200,^STOXX50E,1.007277472030744,-557.4747203074415,5.858719328948553,1.0115681167993695,-600.3811679936965,6.309639927208775,2016
KR6573324714,736333,0.893174,^GSPC,^HSCE,^STOXX50E,1.0197429667435587,-1265.6896674355867,14.170695378902506,1.0238841549210251,-1307.101549210251,14.634343915186191,2017
KR65333AZ718,736355,0.915443,^KS200,^N225,^STOXX50E,1.0081395156156272,-926.965156156272,10.125864266330858,1.0025642301853748,-871.2123018537477,9.516838316025659,2017
KR65233AD725,736376,0.919623,^HSI,^N225,^STOXX50E,1.0170091017827392,-973.8610178273921,10.589785355818549,1.0092271342724561,-896.0413427245617,9.743572558804658,2017
KR6703303737,736394,0.9326639757820384,^GSPC,^HSI,^STOXX50E,1.0160802963934839,-834.1632061144544,8.943877192372621,1.0172369458317758,-845.7297004973741,9.067892858070667,2017
KR65233CS737,736411,0.994133,^HSI,^N225,^STOXX50E,1.0080192239023746,-138.86223902374596,1.3968175186191982,1.008794835856557,-146.61835856557005,1.4748364511143883,2017
KR6503386742,736437,0.9250060422960724,^HSCE,^N225,^STOXX50E,1.0093800991646946,-843.7405686862221,9.121460078161963,1.013727701484412,-887.2165918833952,9.591468069561197,2017
KR6543352753,736472,1.0404040404040404,^HSI,^KS200,^STOXX50E,1.0180411965273322,223.62843876708283,2.149438392033126,1.0215021844685077,189.01855935532728,1.8167803277842138,2017
KR6573380765,736494,0.880310101010101,^HSCE,^KS200,^STOXX50E,1.0241323361247778,-1438.2223511467685,16.337678614575683,1.0262471346512438,-1459.3703364114285,16.577911973711217,2017
KR6533351773,736516,0.951665,^GSPC,^HSCE,^STOXX50E,1.015649147774279,-639.8414777427907,6.723389824599946,1.017562988280505,-658.9798828050508,6.924494258011493,2017
KR65733DB771,736536,0.875178,^GSPC,^HSCE,^STOXX50E,1.0183996127426624,-1432.2161274266243,16.36485523432518,1.0158140262916684,-1406.3602629166837,16.06941973994643,2017
KR65733AC783,736566,0.9262,^GSPC,^HSI,^N225,1.017906006797403,-917.0600679740304,9.9013179440081,1.0233613779582085,-971.6137795820845,10.490323683676145,2017
KR6543329793,736584,1.0334343434343434,^GSPC,^KS200,^STOXX50E,1.01995871880427,134.75624630073347,1.3039652413031584,1.0183988185539843,150.35524880359085,1.4549085750714004,2017
KR65333FQ799,736600,0.9656181818181819,^GSPC,^HSI,^STOXX50E,1.0236402722768485,-580.2209045866657,6.008802604505189,1.0258554920233787,-602.3731020519674,6.238212094533545,2017
KR65333CR7A1,736625,0.9695196770938447,^HSI,^N225,^STOXX50E,1.0245327032007276,-550.1302610688297,5.674255758458214,1.0250259648270905,-555.0628773324584,5.7251326656543045,2017
KR65333817B6,736639,0.9854078549848942,^HSI,^N225,^STOXX50E,1.0073932633556426,-219.8540837074836,2.2310973328993184,1.0071110664203764,-217.03211435482152,2.202459755693225,2017
KR67033957B9,736662,0.9081727272727272,^HSCE,^KS200,^STOXX50E,1.0241364500373602,-1159.6372276463296,12.76890609926989,1.021175850518793,-1130.0312324606566,12.442910897073268,2017
KR65733AY7C6,736678,0.884502,^HSCE,^N225,^STOXX50E,1.0167347396172584,-1322.3273961725833,14.949965021815478,1.0112966699123382,-1267.9466991233824,14.33514790383043,2017
KR6503352819,736699,0.8885363636363637,^HSCE,^N225,^STOXX50E,1.0000910421155393,-1115.5467847917566,12.5548804803705,0.9934515177901835,-1049.151541538198,11.807637644052198,2018
KR65833AW813,736718,0.915339393939394,^GSPC,^HSCE,^STOXX50E,1.0096817752115428,-943.4238127214878,10.306819732309624,1.0077072575464845,-923.6786360709049,10.091105465215703,2018
KR6553328826,736733,0.9001808080808081,^GSPC,^HSCE,^STOXX50E,1.0065598638154567,-1063.7905573464857,11.817520966865475,0.9901895379442722,-900.0872986346409,9.99896121484342,2018
KR65033C4821,736751,0.9122,^GSPC,^HSCE,^N225,0.9967426609274,-845.4266092740004,9.267996155163347,0.9664072982251645,-542.0729822516446,5.942479524793296,2018
KR6533391837,736767,1.0125950000000001,^GSPC,^HSCE,^STOXX50E,1.004505529202521,80.89470797479237,0.798885121640857,0.9876626308489591,249.32369151041024,2.46222518885053,2018
KR6543383832,736782,1.0082828282828282,^HSCE,^N225,^STOXX50E,1.0023785047318787,59.04323550949498,0.5855820792867165,0.9874154716148973,208.67356667930937,2.0695935785665824,2018
KR6573397843,736800,0.9555191919191919,^HSCE,^KS200,^STOXX50E,1.005921449289471,-504.0225737027915,5.274855575537373,0.9962463869314642,-407.2719501227229,4.262310517329366,2018
KR6533345858,736816,0.978757,^HSCE,^KS200,^STOXX50E,1.0022905004326255,-235.33500432625476,2.40442729223142,0.9838945094179362,-51.37509417936226,0.5249014227163868,2018
KR6703344855,736829,0.9482242424242424,^GSPC,^HSCE,^N225,0.9889752835772933,-407.51041153050835,4.297616463471361,0.9756301327619702,-274.0589033772778,2.8902330389340736,2018
KR6503308860,736853,0.8653819655521783,^GSPC,^HSCE,^STOXX50E,0.982883607275039,-1175.016417228607,13.57800906422702,0.9688509417787194,-1034.6897622654117,11.956451641619344,2018
KR65333D1864,736866,0.9853424242424241,^GSPC,^HSCE,^KS200,0.9699249194279314,154.17504814492779,1.5646849699328083,0.9590607196219266,262.81704620497504,2.6672661172286447,2018
KR6533386878,736881,0.9937959595959596,^GSPC,^HSCE,^N225,0.9888582418389619,49.37717756997695,0.49685427972611074,0.978408162336424,153.8779725953554,1.54838597510415,2018
KR6523393876,736895,0.9363323232323233,^GSPC,^HSCE,^STOXX50E,0.9901437654424459,-538.1144221012257,5.747045239702874,0.9849046168573201,-485.7229362499682,5.1875058053448235,2018
KR6703309882,736912,0.9115139999999999,^HSCE,^KS200,^STOXX50E,0.9817150659795851,-702.010659795852,7.701589441257645,0.9689707053713501,-574.5670537135017,6.303436411437473,2018
KR65533BY888,736934,0.9374494949494949,^GSPC,^HSCE,^N225,1.0094180788401514,-719.6858389065652,7.6770625274627555,0.9979328084900976,-604.8331354060266,6.4519010214903565,2018
KR6703338899,736947,0.9187190000000001,^GSPC,^HSCE,^STOXX50E,1.005056741162762,-863.3774116276194,9.397622250411924,0.9893900810740889,-706.7108107408882,7.692350008445326,2018
KR6543324893,736958,1.0137,^HSCE,^KS200,^STOXX50E,1.0066034009914846,70.96599008515447,0.7000689561522587,0.9968304461400956,168.69553859904408,1.664156442725107,2018
KR65533478A7,736979,0.9345535353535354,^HSCE,^N225,^STOXX50E,0.9949119185768068,-603.5838322327147,6.4585260169647,0.9709870100840927,-364.33474730557356,3.898489851282283,2018
KR65533BK8A5,736992,0.9214131313131313,^HSCE,^KS200,^STOXX50E,1.0132777300804854,-918.6459876735408,9.969968480526788,0.9891134740799666,-677.0034276683534,7.3474471402804635,2018
KR65833578B9,737006,0.9805969696969696,^GSPC,^N225,^STOXX50E,1.0103585654705762,-297.615957736066,3.035048719638988,1.0052144132640213,-246.17443567051646,2.510454787011945,2018
KR65793BS8B0,737026,0.9168149999999999,005930.KS,^HSCE,^STOXX50E,0.987084723763913,-702.6972376391305,7.664547783785503,0.9506117893043906,-337.9678930439067,3.6863259550062635,2018
KR65333AE8C2,737040,0.9940899999999999,^GSPC,^HSCE,^STOXX50E,1.0157796811394393,-216.89681139439364,2.181862923823735,1.0116498251229524,-175.5982512295251,1.7664220667095043,2018
KR65333BJ8C6,737056,0.971053,^GSPC,^HSCE,^STOXX50E,0.9993747704584152,-283.2177045841511,2.9166039812878504,0.972162791383639,-11.097913836389806,0.1142874162006585,2018
KR65333C7912,737076,0.9848535353535353,^GSPC,^KS200,^STOXX50E,1.0079371049750596,-230.8356962152436,2.3438581264002867,0.9922265133727343,-73.72978019199006,0.748637005862228,2019
KR6553309925,737091,0.9670979797979798,^GSPC,^HSCE,^STOXX50E,0.9990597297772765,-319.61749979296684,3.3049133228438006,0.9905025955259801,-234.04615728000232,2.420087335193203,2019
KR65793C0928,737112,0.8259780000000001,068270.KS,^HSCE,^STOXX50E,0.8647378821477294,-387.598821477293,4.692604663529694,0.8576497077626642,-316.71707762664147,3.8344493149532006,2019
KR65333AX937,737126,0.989743,^GSPC,^HSCE,^STOXX50E,1.0051533542685211,-154.1035426852111,1.5570056336363187,0.9968189212176949,-70.75921217694847,0.7149251086084819,2019
KR65733BQ930,737139,0.9449111111111111,^GSPC,^HSCE,^STOXX50E,0.9939871068153531,-490.7599570424193,5.193715591568605,0.9909736044514925,-460.6249334038137,4.874796454262979,2019
KR6613360942,737153,0.954331313131313,^HSCE,^KS200,^STOXX50E,1.000872405897826,-465.4109276651297,4.876827588712795,0.9972252245645971,-428.9391143328403,4.494656189425691,2019
KR6573388941,737167,0.9356363636363636,^GSPC,^KS200,^STOXX50E,0.9899915375635029,-543.5517392713929,5.809433668854762,0.9875711373269559,-519.3477369059229,5.550743398722457,2019
KR6513355943,737178,0.9341229999999999,^GSPC,^HSCE,^STOXX50E,0.9983426204286516,-642.1962042865171,6.874856997274631,0.9966617282994092,-625.3872829940932,6.694913656917699,2019
KR6503331953,737189,0.948920202020202,^HSCE,^KS200,^STOXX50E,1.001950799266994,-530.3059724679205,5.5885202079050105,0.9977804390139878,-488.6023699378583,5.149035386723237,2019
KR65433CH959,737203,0.9682040404040403,^GSPC,^HSCE,^N225,0.9893887144006789,-211.8467399663859,2.188038173007214,0.9879432911824435,-197.39250778403218,2.0387490605973766,2019
KR6793301963,737215,0.9291454545454546,^GSPC,^HSCE,^N225,0.9924520811297,-633.0662658424535,6.813424773757889,0.9897166650868953,-605.7121054144066,6.519023501123683,2019
KR6663316968,737227,0.9543,^HSCE,^KS200,^STOXX50E,1.0060033198416234,-517.0331984162335,5.417931451495687,0.991316954085976,-370.1695408597594,3.87896406643361,2019
KR6653370967,737238,0.9021100000000001,^HSCE,^KS200,^STOXX50E,0.998400277800858,-962.9027780085797,10.673895400877715,0.9882166568614543,-861.0665686145425,9.545028528832873,2019
KR6703399974,737252,0.9569840000000001,^GSPC,^KS200,^STOXX50E,1.011519477660209,-545.3547766020894,5.6986822831112045,1.0102449739530683,-532.6097395306828,5.565503075607143,2019
KR6523397976,737265,0.9100111111111112,^HSCE,^N225,^STOXX50E,1.000849274853617,-908.3816374250587,9.982093914391188,0.9935610077343882,-835.4989662327695,9.181195218733501,2019
KR6533389989,737278,0.9687969696969697,^GSPC,^HSCE,^STOXX50E,1.0056088207773866,-368.11851080416847,3.7997487845086093,0.9862651679255069,-174.6819822853718,1.803081427267579,2019
KR6613349986,737297,0.9256008064516128,^GSPC,^KS200,^STOXX50E,1.0168467947468163,-912.4598829520347,9.858028175775308,0.9934430113263428,-678.4220487473003,7.329531737856863,2019
KR6543306999,737308,0.9855191919191919,^GSPC,^HSCE,^N225,1.0051087528117002,-195.89560892508297,1.987740173213649,0.9873360620863736,-18.168701671816834,0.18435664998502216,2019
KR65093AK991,737325,0.8997299999999999,005930.KS,^GSPC,^HSCE,0.9885311155043542,-888.0111550435432,9.869751537056043,0.9620322549700737,-623.022549700738,6.924550139494492,2019
KR65033309A9,737336,0.929340404040404,^HSCE,^N225,^STOXX50E,1.0080059989266097,-786.6559488620572,8.464669624197859,0.9991152488209307,-697.7484478052676,7.5079964754758715,2019
KR65733959A4,737348,0.894732,^GSPC,^HSCE,^STOXX50E,1.0088074387453496,-1140.7543874534965,12.749676858025605,0.9972908794172108,-1025.5887941721087,11.462525026176653,2019
KR65333GT9A1,737357,0.9718505050505051,^GSPC,^KS200,^STOXX50E,1.0110885735176505,-392.38068467145393,4.037459286508914,1.0085245646454395,-366.74059594934414,3.773631788464064,2019
KR65333A79B2,737371,0.9669418837675351,^GSPC,^HSCE,^KS200,1.0211964997440577,-542.5461597652259,5.610949001932579,1.0133464278504254,-464.045440828903,4.7991037374534224,2019
KR65033AN9B4,737388,0.931766,^GSPC,^N225,^STOXX50E,1.0065893724463881,-748.2337244638815,8.030275031111689,1.0039568918511272,-721.9089185112726,7.747749096997236,2019
KR65233329C1,737399,0.9150280000000001,^HSCE,^KS200,^STOXX50E,1.0028531906589866,-878.2519065898653,9.598087780809605,0.9894491140961648,-744.211140961647,8.133206207478317,2019
KR65333B89C7,737410,0.9856950000000001,^GSPC,^N225,^STOXX50E,1.0124732728503645,-267.7827285036438,2.716689528745137,1.016653917527199,-309.58917527198815,3.1408211999856763,2019
KR65333HP9C0,737423,0.9841616161616162,^GSPC,^N225,^STOXX50E,1.0068791875876486,-227.17571426032367,2.3083171557365176,1.0101822903178632,-260.2067415624698,2.6439432029194214,2019
KR6533355A12,737440,0.9794309999999999,^KS200,^N225,^STOXX50E,1.0160653390847147,-366.34339084714804,3.7403695701601034,1.0177142977319658,-382.83297731965814,3.9087284078169686,2020
KR6523373A11,737453,0.9469808467741935,^GSPC,^KS200,^STOXX50E,1.0037282331287862,-567.4738635459275,5.992453442738331,1.000572093053162,-535.9124627896861,5.659168974908251,2020
KR6503352A26,737465,0.9332450000000001,^HSCE,^N225,^STOXX50E,1.0036601639844478,-704.1516398444769,7.545195954379362,0.9860598813533783,-528.148813533782,5.659272897618331,2020
KR6523386A24,737475,0.9504414141414143,^GSPC,^KS200,^STOXX50E,1.0071497112207115,-567.0829707929726,5.966522105996924,1.0007446236401796,-503.03209498765324,5.292615489004861,2020
KR6513307A39,737488,0.9138474747474747,^GSPC,^HSCE,^N225,0.9908110523503274,-769.6357760285266,8.421928136762665,0.9515660988390446,-377.186240915699,4.127452899291838,2020
KR65833A5A37,737497,0.9863739919354839,^GSPC,^KS200,^STOXX50E,0.9332298518165947,531.4414011888924,5.387828607951096,0.8590676068631933,1273.0638507229064,12.906502615958814,2020
KR65093BGA33,737509,0.851786,090430.KS,^GSPC,^HSCE,0.7609994195763022,907.8658042369781,10.65837903225667,0.6803584803777282,1714.2751962227187,20.125655930277308,2020
KR6503374A46,737535,0.8905700000000001,^HSCE,^KS200,^STOXX50E,0.9028815836256371,-123.11583625637002,1.3824386208424944,0.8284798362002709,620.901637997292,6.971957712445871,2020
KR6573326A55,737558,0.936816,^GSPC,^HSCE,^STOXX50E,0.865024740039697,717.91259960303,7.663325558092839,0.8091058096550172,1277.1019034498277,13.632366478047212,2020
KR65333ACA61,737588,0.8806729999999999,^GSPC,^N225,^STOXX50E,0.7668098572354298,1138.631427645701,12.929105668570525,0.7282380652121269,1524.3493478787307,17.30891429484872,2020
KR6663310A78,737619,0.9764,^GSPC,^N225,^STOXX50E,0.8093280316970312,1670.719683029689,17.1110168274241,0.8103144678622485,1660.8553213775158,17.009988953067552,2020
KR6503354A81,737650,0.9315727272727272,^HSCE,^KS200,^STOXX50E,0.8537551001581364,778.1762711459083,8.353360380397755,0.8745046340936795,570.6809317904771,6.125994407985759,2020
KR6KB00002S5,737682,0.9489042338709677,^GSPC,^KS200,^STOXX50E,0.8562429490551353,926.6128481583236,9.765082872254576,0.8684896984685213,804.1453540244636,8.474462704671751,2020
KR6HN0000545,737706,0.8568373737373738,^GSPC,^KS200,^STOXX50E,0.9425267812978477,-856.8940756047394,10.000661757634571,0.9345531049430371,-777.1573120566333,9.07006785507978,2020
KR6SS00009H6,737727,0.888909090909091,^GSPC,^HSCE,^STOXX50E,0.9400560590952636,-511.4696818617259,5.75390315041827,0.9219080819133669,-329.98991004275945,3.7123021174783735,2020
KR6SY0000671,737748,0.9756858006042296,^GSPC,^HSCE,^KS200,0.9367651687253267,389.20631878902935,3.9890538383155616,0.9127221952874214,629.6360531680823,6.453266541115561,2020
KR6MZ00007F1,737774,0.8783881048387098,^GSPC,^HSCE,^STOXX50E,0.9783719412609936,-999.8383642228381,11.382649181097793,0.9646059591926635,-862.1785435395368,9.815462422477255,2020
KR6KS00009V5,737798,0.8752326283987915,^GSPC,^KS200,^STOXX50E,0.9686933059029281,-934.6067750413667,10.678381320760382,0.9502283782754094,-749.9574987661795,8.56866476902491,2021
KR6SS0000QE0,737817,0.9108709677419355,^GSPC,^HSCE,^KS200,0.9826056128058583,-717.346450639228,7.875390434471107,0.9637336115229875,-528.6264378105199,5.803527135363571,2021
KR6YT00006K7,737830,0.985383064516129,^GSPC,^KS200,^STOXX50E,0.9814393739294262,39.43690586702853,0.4002190344766476,0.9667544597860426,186.28604730086428,1.8904936974164437,2021
KR6MZ0000E36,737843,0.8707237903225806,^GSPC,^KS200,^N225,0.9945862048313022,-1238.624145087216,14.225224564363149,0.98092358562015,-1101.997952975694,12.656113973495914,2021
KR6SH00012B6,737857,0.875748,105560.KS,^HSCE,^N225,0.9668735836764798,-911.2558367647982,10.405457240722196,0.9351683086950332,-594.2030869503322,6.78509213781056,2021
KR6SY0000H53,737868,0.9484600000000001,005930.KS,^GSPC,^HSCE,0.953142024813965,-46.82024813964958,0.49364494169126344,0.9161474337838591,323.1256621614098,3.4068454353521473,2021
KR6ZY0000700,737886,0.8685574596774194,^GSPC,^KS200,^N225,0.9670320679806174,-984.7460830319799,11.337719480271492,0.9436750431723893,-751.1758349496988,8.648545085649072,2021
KR6HN0000VW6,737896,0.81478125,^GSPC,^HSCE,^STOXX50E,0.9661287001565099,-1513.4745015650985,18.57522496455458,0.9464427442383021,-1316.614942383021,16.15912175670489,2021
KR6KB0001GE2,737910,0.8109022177419355,^GSPC,^HSCE,^KS200,0.9579451174337418,-1470.428996918063,18.13324670652236,0.9378484506141395,-1269.4623287220397,15.654937191527548,2021
KR6KW0000AR5,737924,0.800258,^GSPC,^HSCE,^STOXX50E,0.9815852393582464,-1813.2723935824636,22.65859752207992,0.9501425668787211,-1498.845668787211,18.72953058622608,2021
KR6SH0001H53,737951,0.8991490433031217,^GSPC,^N225,^STOXX50E,1.0018527545198799,-1027.0371121675814,11.42232336025904,0.9951738898202778,-960.2484651715604,10.679524961111934,2021
KR6SS0001K89,737965,0.914134,^GSPC,^KS200,^N225,0.9540461743593216,-399.12174359321597,4.366118573351565,0.9406200519774109,-264.8605197741094,2.8973927211339845,2021
KR6MZ0000TP8,737979,0.8582205438066465,^GSPC,^HSCE,^STOXX50E,0.9850365402434021,-1268.1599643675568,14.776620922433523,0.9799958956737072,-1217.7535186706068,14.189284181770434,2021
KR6MZ0000W59,737992,0.9037673716012085,^GSPC,^N225,^STOXX50E,1.004873282347247,-1011.0591074603858,11.187160980032816,1.0013349736943842,-975.6760209317572,10.795654408314697,2021
20210714000301_2983,738006,0.875823766364552,^HSCE,^N225,^STOXX50E,0.95049182148017,-746.6805511561803,8.525465736737987,0.9234363221079112,-476.12555743359206,5.436316936339109,2021
KR6KB0002227,738019,0.817725806451613,^GSPC,^HSCE,^STOXX50E,0.9761479563053698,-1584.221498537568,19.373504982214484,0.955351877783984,-1376.2607133237104,16.830344627324017,2021
KR6SY00010R5,738039,0.968558912386707,^GSPC,^KS200,^STOXX50E,1.009550658800453,-409.91746413746034,4.232240898257272,1.0068387158535421,-382.79803466835125,3.9522431704754704,2021
20210902000337_31306,738050,0.8690716448032291,^HSCE,^N225,^STOXX50E,0.9767090614229441,-1076.3741661971503,12.385332931220622,0.9560048359472305,-869.3319114400144,10.002994766177698,2021
KR6KS0001LQ0,738070,0.9297780000000001,^GSPC,^KS200,^STOXX50E,1.021913270493597,-921.3527049359682,9.90938379845477,1.0275873846307397,-978.0938463073962,10.519649274422454,2021
KR6DS0000B62,738082,0.8557444444444445,^GSPC,^N225,^STOXX50E,1.012940872339532,-1571.9642789508737,18.369552839707936,1.0102800614893437,-1545.3561704489916,18.058617622136573,2021
KR6MZ0001752,738095,0.8845262626262625,^HSCE,^KS200,^STOXX50E,0.9847894529018552,-1002.631902755926,11.33524175731079,0.9614122774384917,-768.8601481222912,8.692338267486315,2021
KR6MZ0001851,738106,0.8588222222222223,^GSPC,^HSCE,^STOXX50E,0.9877797632213683,-1289.5754099914602,15.01562694377719,0.9738963372670114,-1150.7411504478914,13.39906118719567,2021
20211119000386_27275,738133,0.9210721442885771,^KS200,^N225,^STOXX50E,0.9954531282447279,-743.8098395615078,8.075478605815572,0.9702739643026144,-492.0182001403728,5.341798720016667,2021
KR6SY0001984,738148,0.9781242424242425,^HSCE,^KS200,^STOXX50E,0.9912301455944778,-131.059031702353,1.3399016813807654,0.9851657235249878,-70.41481100745317,0.7198963889590634,2021
