item,isu_ord,fair,udl1,udl2,udl3,mc_A,gap_A,ape_A,mc_B,gap_B,ape_B,year
KR6SS0002VA4,738168,0.897516,^GSPC,^N225,^STOXX50E,1.0032532131619751,-1057.3721316197516,11.781095062592218,0.9742122910559178,-766.962910559178,8.54539540865208,2022
KR6MD0002HN1,738182,0.833733,^GSPC,^HSCE,^STOXX50E,1.0006160862911493,-1668.8308629114933,20.016370503644374,0.9836891056392343,-1499.5610563923433,17.98610654001153,2022
KR6HN0002129,738197,0.8852090909090908,^GSPC,^N225,^STOXX50E,0.99832122560516,-1131.1213469606919,12.778013223961068,0.9797075041815639,-944.984132724731,10.675264662660124,2022
KR6SH0002Z43,738211,0.90943,^GSPC,^N225,^STOXX50E,1.0000999195456506,-906.6991954565062,9.969972350334896,0.9876649951782078,-782.3499517820786,8.602640684627499,2022
KR6KS0002809,738225,0.862332,^GSPC,^HSCE,^STOXX50E,0.9854855783745647,-1231.5357837456474,14.281457533127002,0.9480817833442241,-857.4978334422411,9.943940772721424,2022
KR6KB0003BZ4,738238,0.9137909090909092,^GSPC,^HSCE,^STOXX50E,0.9691330276135356,-553.4211852262638,6.056321853506273,0.9286724773071707,-148.8156821626152,1.6285528853713969,2022
KR6KS0002BG0,738253,0.8733690000000001,^GSPC,^KS200,^STOXX50E,0.9830417762571946,-1096.727762571945,12.557438637871792,0.953761485850066,-803.9248585006598,9.204870547279095,2022
KR6YT0000T58,738267,1.0285,^GSPC,^KS200,^STOXX50E,0.9940365367215127,344.6346327848726,3.350847183129534,0.9770539451831952,514.4605481680476,5.002047138240619,2022
KR6HM0000AM3,738284,0.9016797979797979,^GSPC,^KS200,^STOXX50E,0.9790651536762714,-773.8535569647354,8.582354386762844,0.9615658971168102,-598.8609913701226,6.641614825039477,2022
KR6SH0003DL0,738306,0.8967700000000001,^GSPC,^KS200,^STOXX50E,0.9675577814335004,-707.8778143350029,7.893638439454964,0.9424915141031146,-457.2151410311454,5.098466061879249,2022
KR6HN0002FZ8,738327,0.835175,^HSCE,^KS200,^STOXX50E,0.8827674694353715,-475.92469435371544,5.698502641407075,0.8568320701734163,-216.57070173416338,2.593117630845791,2022
KR6SH0003JF9,738347,0.8908383838383838,^GSPC,^N225,^STOXX50E,0.9564067696532235,-655.683858148397,7.360300926002212,0.9364375548990443,-455.9917106066058,5.1186805472150825,2022
KR6MD0003A33,738368,0.9119464646464647,^GSPC,^KS200,^STOXX50E,0.9740351614970715,-620.8869685060681,6.808370804384532,0.9669497513977812,-550.0328675131649,6.03141619422141,2022
KR6HH0000SZ7,738403,0.9142989898989898,^GSPC,^KS200,^STOXX50E,0.9831203908212484,-688.2140092225852,7.527231428951025,0.9753493322890252,-610.5034239003537,6.677284243393959,2022
