year,n,mean_A,mean_B,MAE_A,MAE_B,MAPE_A,MAPE_B
2015,4135,-456.43712052408785,-201.16433812356172,527.0968666804763,357.4443474473964,5.7881640357625646,3.889521597050864
2016,3846,-405.82480148252307,-289.08103653182854,436.5055008154195,352.9624524390026,4.688818759046191,3.7871845280436407
2017,5000,-729.2434514578629,-728.3561938594914,744.848677573701,745.1802556918927,8.092060122860275,8.08890542556286
2018,6657,-509.5735096760775,-375.1213393722081,537.983081125883,438.8722488970769,5.794329833413239,4.720477285038181
2019,8005,-561.9691091833439,-481.92107668620406,576.3062668586446,509.6914711457696,6.214367135571461,5.490559733952713
2020,5160,-115.12474123376249,129.9178774943718,668.7929715094084,741.4839967223971,7.3992847358313085,8.170907711859781
2021,7045,-1040.6163225879484,-893.8969949663135,1048.4963659039165,915.1296166547722,12.190366900233741,10.628115263356651
2022,5705,-704.1246770990318,-512.0016800988817,725.1469935591291,574.5553408900779,8.176489427417462,6.467113349214464
2023,5432,-737.1284028646377,-671.5327097596155,743.59006561542,682.5063083770874,8.234531069937532,7.551145278242645
2024,3101,-330.3972682284049,-232.16299176688236,386.8958725279454,359.184042779301,4.094703452568522,3.789566820085148
2025,3506,-193.02367049883236,-76.54851111465732,276.01560308102313,285.0457986346644,2.899214021864389,2.9815840630660664
2026,1168,-203.50812548949767,20.755018310357965,292.1296880834598,315.6673040176192,3.044469696574254,3.271123439525065
