model,metric,mean_delta,sd_delta
deeponet,R2,0.002764617882997733,0.01621989778340393
deeponet,MAE,14.06229616196884,7.481087426522141
deeponet,RMSE,17.064401789772926,9.87433564636204
deeponet,MAPE,0.15140458982481317,0.0762725377258201
xgb,R2,0.010721161336431528,0.0013523581438123588
xgb,MAE,10.377734648726904,1.0183732606358973
xgb,RMSE,17.537722904034645,0.7917209950552448
xgb,MAPE,0.1169386925170856,0.010349539624345934
