year,n,mean_A,mean_B,MAE_A,MAE_B
2015,15,-195.31572724479136,114.65881326039451,552.1025575330809,517.9295609017614
2016,12,-401.5745887244075,-307.6844990396203,433.9269290051687,387.9627873778622
2017,17,-757.9062980969389,-757.8421366832068,800.0692022225643,797.7684670548442
2018,23,-509.6287771882089,-361.86995468329206,545.6684432129348,452.5993299519089
2019,27,-551.5271173873953,-470.55324558350117,551.5271173873952,470.55324558350117
2020,17,93.79769145840157,339.9159553792121,736.8571736942515,845.3792912833778
2021,24,-948.9209708507509,-784.5837962404383,952.2073796730034,827.0347720289611
2022,19,-790.5461282014816,-605.8656882856305,826.8234579683102,660.0194301980565
2023,19,-752.5477486212718,-702.8208828584272,752.5477486212718,702.8208828584272
2024,10,-322.397183227699,-131.35835628544112,411.5619953344499,405.587894063364
2025,13,-174.83107961462883,-68.69993904070265,256.1808531938645,261.02383944126416
2026,4,-46.85441037374561,203.8392889114682,198.7800654845595,233.29904422665248
