variant,metric,source_notebook,fresh_sample200,difference
A,mean,-517.372,-517.1412589991044,0.23074100089559124
A,MAE,640.981,640.8006880457921,-0.180311954207923
A,RMSE,751.995,751.427982521085,-0.5670174789149769
A,MAPE,7.066,7.062977154495705,-0.003022845504294658
B,mean,-376.137,-375.95702518226494,0.17997481773505797
B,MAE,588.338,587.9895824025197,-0.34841759748030654
B,RMSE,706.682,705.8375170236029,-0.8444829763971029
B,MAPE,6.464,6.459381878402978,-0.004618121597022018
