model,variant,seed,fold,n,R2,MAE,RMSE,MAPE
deeponet,A,0,0,5879,0.9716392854572455,23.886121211090327,32.79934929040632,0.24140688048818484
deeponet,A,0,1,5879,0.9372864347773937,61.5270851675455,79.82145993009676,0.6360442303539363
deeponet,A,0,2,5879,0.9702064438386915,20.274701751998624,29.321788574926412,0.20369852955137982
deeponet,A,0,3,5849,0.8971031015977705,45.852063104804245,97.66987110022728,0.47343650693075595
deeponet,A,1,0,5879,0.9753967037917723,21.31557378805921,30.549442637358204,0.2162008836559684
deeponet,A,1,1,5879,0.783418813683612,113.8848733458071,148.336929620371,1.1768379713406332
deeponet,A,1,2,5879,0.93706863574261,25.265900731416913,42.61503597673919,0.25562424319925064
deeponet,A,1,3,5849,0.9418691323271778,41.08187351684049,73.41129330018255,0.42460031869445986
deeponet,A,2,0,5879,0.9725177062410338,23.24201076713727,32.287404321502464,0.2351480552589478
deeponet,A,2,1,5879,0.9551707064247639,47.31759773771051,67.48696054372242,0.48917215453847795
deeponet,A,2,2,5879,0.96237858193527,21.37454136757952,32.94935115225322,0.21564587779804106
deeponet,A,2,3,5849,0.9237644787451756,39.56569121217302,84.0694409733184,0.40859466120747684
deeponet,A,3,0,5879,0.9737174212569506,21.7211209559449,31.574801618044027,0.2201517919247401
deeponet,A,3,1,5879,0.8750706627348703,86.51398202075184,112.66036122437136,0.8936451398952198
deeponet,A,3,2,5879,0.9525108495826162,23.040815376764737,37.019153705180514,0.23298092415025298
deeponet,A,3,3,5849,0.9422712225682811,43.27573472388443,73.15696038786635,0.44690187677610915
deeponet,A,4,0,5879,0.978373914373108,20.419044854567108,28.641489690427544,0.20673618762095922
deeponet,A,4,1,5879,0.9447836660947556,52.26183293077054,74.89842848474106,0.5439198364657888
deeponet,A,4,2,5879,0.9692237924386317,19.44586560639565,29.801411701105224,0.19588198997025963
deeponet,A,4,3,5849,0.9528579609400201,36.92947789365703,66.10946676516346,0.3823046679819353
deeponet,B,0,0,5879,0.9687923124791138,33.870567647559106,43.176741982579536,0.3460605118324259
deeponet,B,0,1,5879,0.911530854510616,82.63307220615751,116.68335153983925,0.8681914817523334
deeponet,B,0,2,5879,0.9530920398894931,27.456261030787555,42.778375925479956,0.27776326787650135
deeponet,B,0,3,5849,0.9623881246972746,44.939368780988204,77.36403659568835,0.4741416563899432
deeponet,B,1,0,5879,0.9653805003059558,34.31067196802177,45.47570783731674,0.3511521019679467
deeponet,B,1,1,5879,0.8170545594758832,138.9181415036571,167.79297486447976,1.458649548282509
deeponet,B,1,2,5879,0.9623487416774551,25.781551029086597,38.32575919868644,0.26164273855106623
deeponet,B,1,3,5849,0.9499694024518419,48.82281136946486,89.22662639565226,0.5158207655643533
deeponet,B,2,0,5879,0.9585269172268392,39.98465204966831,49.77396444526304,0.40665376492591104
deeponet,B,2,1,5879,0.8827571972190651,107.09262752168735,134.32476046992002,1.1177402767005027
deeponet,B,2,2,5879,0.9275521149235286,41.71604390202415,53.16353796869784,0.4212616718323221
deeponet,B,2,3,5849,0.956698619071879,49.73824281073687,83.00944329188471,0.5249361018433294
deeponet,B,3,0,5879,0.963850545507674,36.231079282190855,46.46970847818918,0.3688412153648456
deeponet,B,3,1,5879,0.9168439687392068,86.59893767647559,113.12532911300083,0.908405119640366
deeponet,B,3,2,5879,0.9447451286476327,34.86061005273005,46.42867663744479,0.35214945533472364
deeponet,B,3,3,5849,0.9503171019667425,49.87802744058814,88.91603501141772,0.5272508130344484
deeponet,B,4,0,5879,0.9685815482296724,31.359227810852193,43.322295872849296,0.32219474425296224
deeponet,B,4,1,5879,0.9197741900286027,80.6419171117537,111.1143203124391,0.8478301525695197
deeponet,B,4,2,5879,0.965769184422909,24.65998395985711,36.543458118762125,0.25032493872081557
deeponet,B,4,3,5849,0.9325347392485992,49.77523822875706,103.6135919403329,0.5243487980706938
xgb,A,0,0,5879,0.9444076037163938,35.004127963939446,45.921317614684064,0.3527042915389255
xgb,A,0,1,5879,0.8941061960884084,70.80939382548053,103.72279138560678,0.737562471304774
xgb,A,0,2,5879,0.8019661116026835,57.64683606055451,75.59603954567376,0.5776722949255518
xgb,A,0,3,5849,0.8718729000292886,65.75736385706959,108.98832314019663,0.677585669068343
xgb,A,1,0,5879,0.9357773715513742,37.89895977207009,49.357218978726756,0.38156401903544646
xgb,A,1,1,5879,0.9021183028239435,68.0203418608607,99.72169846831932,0.7087016722710028
xgb,A,1,2,5879,0.7876522380644488,60.071217996257865,78.28041693102108,0.6015410390881814
xgb,A,1,3,5849,0.8604891601363669,67.47085633441614,113.72696492029694,0.6953288571590568
xgb,A,2,0,5879,0.9456647510931714,34.98105699948971,45.39912409625314,0.3524603799108134
xgb,A,2,1,5879,0.8970496842104322,69.8247889266882,102.27106132417659,0.7275781228918738
xgb,A,2,2,5879,0.8024397932333105,57.32294650450756,75.50557549940169,0.5741469112079632
xgb,A,2,3,5849,0.8617971995926326,68.10796595999318,113.19256311348597,0.7012937269010499
xgb,A,3,0,5879,0.9383392384407757,37.0019486647389,48.36276090323441,0.37251034303148334
xgb,A,3,1,5879,0.903970369646095,69.69064594318762,98.77375172695075,0.7260611299438219
xgb,A,3,2,5879,0.7939351859160293,60.519251539377436,77.11364057320795,0.606181348681043
xgb,A,3,3,5849,0.8594855419159031,68.34417021713114,114.13529848046159,0.7036921415184707
xgb,A,4,0,5879,0.9468773795873187,33.73978445313829,44.88966746969029,0.34014976091654764
xgb,A,4,1,5879,0.89319948826057,71.47338043885013,104.16590422439862,0.7451584504398143
xgb,A,4,2,5879,0.7913968910191084,58.98807613539716,77.5871277026456,0.5908558476628721
xgb,A,4,3,5849,0.8629087687369577,65.90156972131987,112.73643856702374,0.6787141766988513
xgb,B,0,0,5879,0.9453947125138404,42.08961474740602,57.113190659956906,0.4312855261494294
xgb,B,0,1,5879,0.8810138305135531,92.65241605715258,135.3197605256912,0.9781283275001351
xgb,B,0,2,5879,0.8544336897076055,49.390292447695174,75.3583630452847,0.49904197492370145
xgb,B,0,3,5849,0.8958500006771629,86.55191444691401,128.73785348460314,0.9042020041511154
xgb,B,1,0,5879,0.9451578254022158,41.939178074502465,57.23694000679403,0.42929366390848117
xgb,B,1,1,5879,0.8750355095511623,94.99567120258547,138.67759141224144,1.0011541583381793
xgb,B,1,2,5879,0.8527986914252961,48.911607416227234,75.7803932113767,0.4943062418688235
xgb,B,1,3,5849,0.8978039115487915,85.1433573089417,127.5245397117693,0.8893757977749165
xgb,B,2,0,5879,0.9445982688933862,42.495129426773275,57.52819416274389,0.4354311732264216
