segment,n,gap_A,gap_B,MAPE_A,MAPE_B
"(0.799, 0.885]",34,-1015.9827238586391,-831.6048685755541,13.28662724132109,11.94422654201942
"(0.885, 0.914]",33,-827.4577540669997,-654.9572510421938,9.204762359953687,7.921099944424711
"(0.914, 0.934]",33,-582.8806000737203,-428.5366946686036,7.9624680387590425,7.06873258832705
"(0.934, 0.952]",33,-435.9141065237818,-323.0155877541538,5.676794312182863,4.985874437907567
"(0.952, 0.98]",33,-254.04880633829617,-172.50783353564938,4.245632818092094,3.921860293144732
"(0.98, 1.04]",34,12.50301830780013,152.66863547457888,1.9673943011067783,2.8574398101882723
