segment,n,gap_A,gap_B,MAPE_A,MAPE_B
"(0.699, 0.884]",9794,-1061.3086652882948,-852.9261089042169,13.272591700985481,11.458583157535122
"(0.884, 0.912]",9794,-781.7677758661545,-617.064587770458,9.451765229710896,8.147761314984228
"(0.912, 0.933]",9792,-657.4317572941407,-528.4041754681907,7.610159828943456,6.663380184170846
"(0.933, 0.953]",9793,-492.671459422764,-386.59257382991296,5.837097382060587,5.222137718406791
"(0.953, 0.976]",9793,-314.6582850333951,-218.65307165446922,3.8548408111967345,3.6089185598344566
"(0.976, 1.05]",9794,-48.56409263430386,40.64662288498387,2.1042250660560473,2.41879509566875
