variant,n,mean,median,MAE,RMSE,sd,MAPE,mc_mean
A,58760,-559.402303315358,-577.4230887992594,634.7809712600233,747.1986799259566,495.3575539783384,7.021834034169104,9851.964443236713
B,58760,-427.1664423265711,-465.5795137915797,566.768852820483,681.4344172524724,530.9298379425347,6.253311263224162,9719.728582247926
