item,isu_ord,fair,udl1,udl2,udl3
KR6523318519,735603,0.9009828282828283,^HSCE,^KS200,^STOXX50E
KR6703301525,735631,0.94279,^GSPC,^HSCE,^STOXX50E
KR6533375533,735663,0.9994949494949495,^GSPC,^HSCE,^STOXX50E
KR65333C0537,735684,0.9915,^HSCE,^KS200,^STOXX50E
KR65033BZ548,735708,0.9318780000000001,^HSCE,^KS200,^STOXX50E
KR6703373557,735730,0.963610101010101,^GSPC,^HSCE,^STOXX50E
KR6593314562,735757,0.8915850000000001,^GSPC,^HSCE,^STOXX50E
KR65733CW563,735775,0.892185,^HSCE,^KS200,^STOXX50E
KR6533358570,735796,0.995,^GSPC,^HSCE,^STOXX50E
KR6703337586,735817,0.945815,^GSPC,^KS200,^STOXX50E
KR65733C3586,735838,0.935559,^GSPC,^HSCE,^STOXX50E
KR6593387592,735862,0.942159,^GSPC,^KS200,^STOXX50E
KR65733C45A2,735899,0.930897,^HSI,^KS200,^STOXX50E
KR65533AL5B9,735932,0.9398616161616161,^GSPC,^KS200,^STOXX50E
KR65733EL5C1,735963,0.8975190000000001,^HSI,^KS200,^STOXX50E
KR6703307621,735995,0.9357222222222222,^GSPC,^KS200,^STOXX50E
KR6533374635,736031,0.9808600000000001,^GSPC,^KS200,^STOXX50E
KR6503327647,736065,0.936473,^GSPC,^HSI,^STOXX50E
20160428000382_15470,736088,0.9505819999999999,^GSPC,^HSI,^STOXX50E
KR6503311666,736118,0.970216,^HSI,^KS200,^STOXX50E
KR6593385661,736145,0.9480790000000001,^GSPC,^HSI,^KS200
KR6513399677,736173,0.9908010101010102,^HSI,^KS200,^STOXX50E
KR6523369686,736206,0.9454848484848484,^GSPC,^KS200,^STOXX50E
KR6503396691,736233,0.9502137096774195,^KS200,^N225,^STOXX50E
KR65333C66A7,736255,0.947174,^GSPC,^KS200,^STOXX50E
KR65333A06B5,736276,0.935926,^GSPC,^HSI,^STOXX50E
KR65333506C3,736304,0.9515299999999999,^GSPC,^KS200,^STOXX50E
KR6573324714,736333,0.893174,^GSPC,^HSCE,^STOXX50E
KR65333AZ718,736355,0.915443,^KS200,^N225,^STOXX50E
KR65233AD725,736376,0.919623,^HSI,^N225,^STOXX50E
KR6703303737,736394,0.9326639757820384,^GSPC,^HSI,^STOXX50E
KR65233CS737,736411,0.994133,^HSI,^N225,^STOXX50E
KR6503386742,736437,0.9250060422960724,^HSCE,^N225,^STOXX50E
KR6543352753,736472,1.0404040404040404,^HSI,^KS200,^STOXX50E
KR6573380765,736494,0.880310101010101,^HSCE,^KS200,^STOXX50E
KR6533351773,736516,0.951665,^GSPC,^HSCE,^STOXX50E
KR65733DB771,736536,0.875178,^GSPC,^HSCE,^STOXX50E
KR65733AC783,736566,0.9262,^GSPC,^HSI,^N225
KR6543329793,736584,1.0334343434343434,^GSPC,^KS200,^STOXX50E
KR65333FQ799,736600,0.9656181818181819,^GSPC,^HSI,^STOXX50E
KR65333CR7A1,736625,0.9695196770938447,^HSI,^N225,^STOXX50E
KR65333817B6,736639,0.9854078549848942,^HSI,^N225,^STOXX50E
KR67033957B9,736662,0.9081727272727272,^HSCE,^KS200,^STOXX50E
KR65733AY7C6,736678,0.884502,^HSCE,^N225,^STOXX50E
KR6503352819,736699,0.8885363636363637,^HSCE,^N225,^STOXX50E
KR65833AW813,736718,0.915339393939394,^GSPC,^HSCE,^STOXX50E
KR6553328826,736733,0.9001808080808081,^GSPC,^HSCE,^STOXX50E
KR65033C4821,736751,0.9122,^GSPC,^HSCE,^N225
KR6533391837,736767,1.0125950000000001,^GSPC,^HSCE,^STOXX50E
KR6543383832,736782,1.0082828282828282,^HSCE,^N225,^STOXX50E
KR6573397843,736800,0.9555191919191919,^HSCE,^KS200,^STOXX50E
KR6533345858,736816,0.978757,^HSCE,^KS200,^STOXX50E
KR6703344855,736829,0.9482242424242424,^GSPC,^HSCE,^N225
KR6503308860,736853,0.8653819655521783,^GSPC,^HSCE,^STOXX50E
KR65333D1864,736866,0.9853424242424241,^GSPC,^HSCE,^KS200
KR6533386878,736881,0.9937959595959596,^GSPC,^HSCE,^N225
KR6523393876,736895,0.9363323232323233,^GSPC,^HSCE,^STOXX50E
KR6703309882,736912,0.9115139999999999,^HSCE,^KS200,^STOXX50E
KR65533BY888,736934,0.9374494949494949,^GSPC,^HSCE,^N225
KR6703338899,736947,0.9187190000000001,^GSPC,^HSCE,^STOXX50E
KR6543324893,736958,1.0137,^HSCE,^KS200,^STOXX50E
KR65533478A7,736979,0.9345535353535354,^HSCE,^N225,^STOXX50E
KR65533BK8A5,736992,0.9214131313131313,^HSCE,^KS200,^STOXX50E
KR65833578B9,737006,0.9805969696969696,^GSPC,^N225,^STOXX50E
KR65793BS8B0,737026,0.9168149999999999,005930.KS,^HSCE,^STOXX50E
KR65333AE8C2,737040,0.9940899999999999,^GSPC,^HSCE,^STOXX50E
