monthly,변경,axis,offset,계약수,상세 지급 ΔMC,원본 근사 ΔMC,차이: 상세−원본,상품
False,1차 행사가 +5%p,first_strike,0.05,128,-8.289304370982816,-13.096892021363601,4.8075876503807855,일반형
False,관측 +1회: 마지막 구간,nobs_late,1.0,81,1.9951205945122368,63.842190630214645,-61.84707003570241,일반형
False,관측 +1회: 중간,nobs_middle,1.0,81,2.320616409302875,43.50566135506518,-41.18504494576231,일반형
False,관측 +1회: 첫 평가 전,nobs_early,1.0,81,12.086205803370996,-86.04582096055847,98.13202676392947,일반형
False,낙인 배리어 +5%p,ki_barrier,0.05,64,-50.25422544650458,-39.50490622847186,-10.749319218032717,일반형
False,만기 변경 +12개월,tenor_months,12.0,128,-50.39714245374955,-74.09163660130588,23.694494147556327,일반형
False,만기 변경 +1개월,tenor_months,1.0,128,-4.072758627470883,-6.2549227866684305,2.182164159197548,일반형
False,만기 변경 +3개월,tenor_months,3.0,128,-12.425301616029959,-18.654293479244792,6.228991863214834,일반형
False,만기 변경 +6개월,tenor_months,6.0,128,-24.946249215412944,-37.42685081345826,12.480601598045315,일반형
False,만기 변경 -12개월,tenor_months,-12.0,128,47.68852146051769,74.44173190997117,-26.753210449453476,일반형
False,만기 변경 -1개월,tenor_months,-1.0,128,4.010677334400004,6.019391328704235,-2.008713994304231,일반형
False,만기 변경 -3개월,tenor_months,-3.0,128,12.38131182374815,18.448537502234707,-6.067225678486556,일반형
False,만기 변경 -6개월,tenor_months,-6.0,128,24.726638454127198,37.607384089032166,-12.880745634904969,일반형
False,만기 행사가 +5%p,last_strike,0.05,128,-30.289012860756486,-44.15493157983292,13.865918719076433,일반형
False,연 쿠폰 +1%p,coupon_regular,0.01,128,55.55036963463022,53.73302168655209,1.8173479480781296,일반형
True,1차 행사가 +5%p,first_strike,0.05,128,2.8392098740532234,-44.52989585550373,47.369105729556956,월지급형
True,관측 +1회: 마지막 구간,nobs_late,1.0,128,2.582013996224509,28.946930982149446,-26.364916985924935,월지급형
True,관측 +1회: 중간,nobs_middle,1.0,128,0.3690965281769549,10.77001618340849,-10.400919655231535,월지급형
True,관측 +1회: 첫 평가 전,nobs_early,1.0,128,-49.88131215463147,12.547881529192333,-62.429193683823804,월지급형
True,낙인 배리어 +5%p,ki_barrier,0.05,43,-102.02644644301701,-103.00002655745016,0.9735801144331475,월지급형
True,만기 변경 +12개월,tenor_months,12.0,128,-33.68165159910703,-80.62161702662374,46.93996542751671,월지급형
True,만기 변경 +1개월,tenor_months,1.0,128,-10.888876908343223,-7.745097026040639,-3.1437798823025833,월지급형
True,만기 변경 +3개월,tenor_months,3.0,128,-23.15580880475745,-22.291051419851556,-0.8647573849058929,월지급형
True,만기 변경 +6개월,tenor_months,6.0,128,-16.718546595938683,-42.913131136027914,26.19458454008923,월지급형
True,만기 변경 -12개월,tenor_months,-12.0,128,18.68571739535617,98.6123559471201,-79.92663855176392,월지급형
True,만기 변경 -1개월,tenor_months,-1.0,128,-31.902850841312063,7.7773874358348,-39.68023827714686,월지급형
True,만기 변경 -3개월,tenor_months,-3.0,128,-16.234595258172483,23.122295025408675,-39.35689028358116,월지급형
True,만기 변경 -6개월,tenor_months,-6.0,128,3.488393691446298,47.487968274630774,-43.999574583184476,월지급형
True,만기 행사가 +5%p,last_strike,0.05,128,-25.90808217473534,-50.07591631185885,24.167834137123506,월지급형
True,연 쿠폰 +1%p,coupon_regular,0.01,128,93.70020007604641,70.05801113105069,23.642188944995723,월지급형
True,월 쿠폰 배리어 +5%p,monthly_barrier,0.05,128,-35.532450048088165,0.0,-35.532450048088165,월지급형
