segment,n,fair,HV + NS_gap,HV + NS_mape,IV + source discount_gap,IV + source discount_mape
"(0.699, 0.884]",9799,0.8537698385654918,-1004.1049411424683,12.511131287399042,-1122.5015646273184,13.713645782631293
"(0.884, 0.912]",9798,0.8991451211428635,-778.81605151899,9.215388371683629,-795.8110686595162,9.685849672759472
"(0.912, 0.933]",9799,0.9228230029869958,-668.0968676988713,7.508182363399489,-592.765903654973,7.934740389269798
"(0.933, 0.953]",9797,0.9427394043213859,-501.1343235233772,5.751120623513917,-432.2146526191882,6.181252833035912
"(0.953, 0.976]",9800,0.9640945579627896,-322.4967528244117,3.7483803175809367,-221.07472138934136,4.5959171000065355
"(0.976, 1.05]",9797,0.9930248825839877,-61.625530164805824,1.9713978271002983,43.756601412603175,3.1346051926796012
