segment,n,fair,Archived HV_gap,Archived HV_mape
"(0.703, 0.883]",3859,0.8516159415587636,-992.5120688642942,12.477231575019673
"(0.883, 0.912]",3858,0.8980434631646922,-725.2491967615796,8.697742339774798
"(0.912, 0.936]",3859,0.9241907452610385,-615.1151673688845,7.063781839583962
"(0.936, 0.958]",3858,0.9466584465851182,-441.8194898253343,5.103675724999656
"(0.958, 0.98]",3858,0.9691455001089051,-256.87740774972565,3.387841614170848
"(0.98, 1.05]",3859,0.996851938175188,-10.341347737625162,1.938204921471356
