payoff,axis,n,mean_abs_change,p95_abs_change,mean_mc_se
detailed,coupon_regular,2048,0.06016310841104824,0.23321160121347334,0.07690270568378477
detailed,first_strike,2048,0.6363708107290342,2.424351525174325,0.7883937158464019
detailed,ki_barrier,856,0.7534292409594877,2.7575636229299576,0.9203018216371429
detailed,last_strike,2048,0.4042254185680957,1.4634258710371706,0.5152934855216615
detailed,monthly_barrier,1004,0.1069384746672405,0.3820800973459306,0.1285875371087034
detailed,nobs_early,209,1.4174141522643842,4.511299701028426,1.7301317118776725
detailed,nobs_late,209,0.21428500448892712,0.8400902103718701,0.278812682319642
detailed,nobs_middle,209,0.28481379425442,0.9733127588410369,0.337466290318363
detailed,tenor_months,2048,1.6550419787105703,5.440993915056902,2.103655446403971
detailed_minus_reference,coupon_regular,2048,0.05038783886120413,0.19090856437911136,0.06587805482298159
detailed_minus_reference,first_strike,2048,0.663151940957485,2.366608254687085,0.8636666373272678
detailed_minus_reference,ki_barrier,856,0.3483722727437598,1.1413215269185872,0.4367557297605889
detailed_minus_reference,last_strike,2048,0.48281972627159675,1.587518775966944,0.6264861722557742
detailed_minus_reference,monthly_barrier,1004,0.1069384746672405,0.3820800973459306,0.1285875371087034
detailed_minus_reference,nobs_early,209,2.037896249716791,6.21451389046812,2.5319759696972404
detailed_minus_reference,nobs_late,209,1.4560814117109433,4.658278904008631,2.0178114470119626
detailed_minus_reference,nobs_middle,209,1.393024704388214,4.784298685820491,1.9557160010671644
detailed_minus_reference,tenor_months,2048,1.3529647622762455,4.151383286102453,1.80100073821266
reference,coupon_regular,2048,0.06310399745416378,0.23068923950195525,0.08030777022855023
reference,first_strike,2048,0.709164755537548,2.450790029515815,0.9067610870149541
reference,ki_barrier,856,0.6733546685978674,2.2510570262869223,0.8170131921014342
reference,last_strike,2048,0.5742015478717803,1.8891210459172776,0.7564182613966559
reference,monthly_barrier,1004,0.0,0.0,0.0
reference,nobs_early,209,1.504082809665807,4.638488830626008,2.0925673865474743
reference,nobs_late,209,1.4358519116562134,4.2611036417385035,2.0223889771339683
reference,nobs_middle,209,1.3575325539421756,4.1002139965693125,1.9627702039627335
reference,tenor_months,2048,1.9221567058769342,6.142497385153547,2.4952651819168947
