payoff,cohort,model,seed,scope,n_rows,n_families,price_mae,price_rmse,price_r2,delta_mae,delta_rmse,delta_bias,within_1,within_5,within_10,resolved_n,resolved_sign
detailed,monthly_test,affine_coupon_delta,101,schedule,1408,128,170.27550215720396,225.15000438834014,0.7187534349450073,155.49882660688039,205.92620971718014,-72.51292402197585,0.005681818181818182,0.02556818181818182,0.04403409090909091,1351,0.5810510732790526
detailed,monthly_test,affine_coupon_delta,101,terms,4548,128,62.66495958712759,80.31591502124805,0.966961515569954,9.671227313530137,16.22966631865583,0.004719365397518458,0.11515837104072398,0.4970588235294118,0.7002262443438914,4223,0.9727681742836846
detailed,monthly_test,affine_coupon_delta,233,schedule,1408,128,207.7138656863898,273.3349588950329,0.5854912826611482,198.63650548601436,255.58987123556565,-56.774836146376636,0.008522727272727272,0.026278409090909092,0.048295454545454544,1351,0.5714285714285714
detailed,monthly_test,affine_coupon_delta,233,terms,4548,128,58.116800183537435,74.98690550319336,0.971200313687878,9.943940243999828,17.25619975122707,-0.1301051274151776,0.17036199095022625,0.5153846153846153,0.6963800904977375,4223,0.9817665166942932
detailed,monthly_test,affine_coupon_delta,47,schedule,1408,128,204.36052973423057,267.25791370337595,0.6037179005494548,180.8005878556893,241.36845422931748,-21.913568263384718,0.004971590909090909,0.02130681818181818,0.03977272727272727,1351,0.5640266469282014
detailed,monthly_test,affine_coupon_delta,47,terms,4548,128,73.00239241127449,98.92124090520937,0.9498817376641111,7.4911910052606245,13.254071475539433,0.2213128003052504,0.19592760180995475,0.6009049773755656,0.7785067873303168,4223,0.8950982713710632
detailed,monthly_test,affine_coupon_delta,ensemble,schedule,1408,128,187.28410965870535,247.403858429563,0.6604089432830443,173.75777573701404,226.09979549586527,-50.40044281057906,0.0078125,0.027698863636363636,0.05113636363636364,1351,0.5714285714285714
detailed,monthly_test,affine_coupon_delta,ensemble,terms,4548,128,61.351148530097355,79.83083590986332,0.9673593914379657,8.485317596742394,14.703340356009715,0.03197567942919863,0.20542986425339366,0.5615384615384615,0.7323529411764705,4223,0.9791617333649064
detailed,monthly_test,augmented_delta,101,schedule,1408,128,195.6257965494982,258.81041405346394,0.6283733909742544,188.77816523715228,247.70842144793346,-16.660278606501777,0.002130681818181818,0.014914772727272728,0.02911931818181818,1351,0.5640266469282014
detailed,monthly_test,augmented_delta,101,terms,4548,128,53.06799430406582,73.49429340411115,0.9723354168067148,9.239717844416036,15.881195071201224,0.01622872562894395,0.18303167420814478,0.5330316742081448,0.7165158371040724,4223,0.9767937485200094
detailed,monthly_test,augmented_delta,233,schedule,1408,128,210.37713598574382,262.8090086132039,0.616801497359143,201.5162564225151,253.11047738348523,-23.37002342162378,0.002130681818181818,0.014914772727272728,0.024857954545454544,1351,0.5610658771280533
detailed,monthly_test,augmented_delta,233,terms,4548,128,60.67088247427248,79.9157422289152,0.9672899228500501,10.606880474560455,17.643842823470052,-0.7289240002639646,0.1350678733031674,0.48800904977375564,0.685972850678733,4223,0.9206725076959508
detailed,monthly_test,augmented_delta,47,schedule,1408,128,221.46489591000872,278.3964045590529,0.5699979245661992,200.9103724392413,250.24476111611514,-25.304871470094017,0.002840909090909091,0.019886363636363636,0.03196022727272727,1351,0.5284974093264249
detailed,monthly_test,augmented_delta,47,terms,4548,128,79.32787317630299,105.44934910240266,0.9430485612019124,8.620647869000562,15.410270265406936,-0.06572455933805565,0.18665158371040724,0.5667420814479638,0.7395927601809955,4223,0.8953350698555529
detailed,monthly_test,augmented_delta,ensemble,schedule,1408,128,203.14507453792814,256.0512851692998,0.6362548365477673,195.32395605114746,243.22688395397373,-21.778391166073146,0.0,0.015625,0.032670454545454544,1351,0.5470022205773502
detailed,monthly_test,augmented_delta,ensemble,terms,4548,128,55.00692750335173,72.65817493981886,0.9729612965018966,9.162172911301294,15.423082670165268,-0.2594732779909816,0.13687782805429866,0.5208144796380091,0.7153846153846154,4223,0.8981766516694293
detailed,monthly_test,augmented_price,101,schedule,1408,128,174.51062840182405,222.97709688377063,0.7241558227546022,157.4460795938405,201.74346636961934,-0.370375755516253,0.007102272727272727,0.0234375,0.049005681818181816,1351,0.5714285714285714
detailed,monthly_test,augmented_price,101,terms,4548,128,58.572443214983664,104.43263044119317,0.9441414924427038,11.95569626706784,21.17348797246464,-0.3545611161998985,0.12895927601809956,0.47330316742081446,0.6683257918552036,4223,0.927539663746152
detailed,monthly_test,augmented_price,233,schedule,1408,128,174.27350809113304,215.2330420902744,0.7429833873530511,164.95029976781618,206.19444146755575,-31.018242522077415,0.006392045454545455,0.01775568181818182,0.04332386363636364,1351,0.5484826054774241
detailed,monthly_test,augmented_price,233,terms,4548,128,53.50200776200456,94.91609943678999,0.9538579740630717,12.44520324196929,21.10129512751431,-0.7226684793095736,0.11538461538461539,0.4574660633484163,0.6513574660633484,4223,0.973952166706133
