payoff,cohort,scope,axis,n_rows,n_families,price_mae,price_rmse,price_r2,delta_mae,delta_rmse,delta_bias,within_1,within_5,within_10,resolved_n,resolved_sign
detailed,monthly_test,schedule,nobs_early,128,128,194.37950528598503,225.57833122597148,0.5420596510080062,214.98598891570407,259.65143133379286,206.6925317947077,0.0,0.03125,0.0625,127.0,0.3937007874015748
detailed,monthly_test,schedule,nobs_late,128,128,322.97114528196107,342.3499435823675,0.3622562764345677,301.72134881643535,317.4205241479941,-301.72134881643535,0.0,0.0,0.0,123.0,0.5609756097560976
detailed,monthly_test,schedule,nobs_middle,128,128,340.9955505198739,371.5965622320619,0.24597976114367082,318.1210433872386,336.5259058080626,-318.1210433872386,0.0,0.0,0.015625,121.0,0.71900826446281
detailed,monthly_test,schedule,tenor_months,1024,128,172.03120235367368,227.76407600659934,0.7238538093786391,164.21689193040552,214.8627898315417,21.698444697770213,0.0,0.017578125,0.03515625,980.0,0.5438775510204081
detailed,monthly_test,terms,base,128,128,55.01365187575296,71.84765621791938,0.9724925101569606,,,,,,,,
detailed,monthly_test,terms,coupon_regular,1024,128,55.57451474652548,72.81251574203147,0.9722267036591778,5.517406341107096,8.953786003011395,-0.12326713961856123,0.2080078125,0.6513671875,0.8310546875,1024.0,1.0
detailed,monthly_test,terms,first_strike,1024,128,55.422218073263,72.66786200109632,0.9716153441702788,12.225333495823497,19.761970332375967,0.3114722259513891,0.078125,0.423828125,0.625,962.0,0.9438669438669439
detailed,monthly_test,terms,ki_barrier,344,43,45.242098517674044,68.39908633926956,0.9820277749143946,18.636680789845542,27.914882128337045,-2.84589828274799,0.09593023255813954,0.28488372093023256,0.4883720930232558,344.0,1.0
detailed,monthly_test,terms,last_strike,1024,128,56.320701357318875,73.90254748665008,0.9708560874793835,10.76825052081869,15.368248233395692,-0.8981429573882181,0.0625,0.4326171875,0.6396484375,909.0,1.0
detailed,monthly_test,terms,monthly_barrier,1004,128,56.009386810467646,72.72992300064229,0.9723568900803403,4.87104775887409,7.696885552827393,0.5568660363604477,0.21414342629482072,0.6573705179282868,0.8446215139442231,984.0,0.6178861788617886
detailed,other_diagnostic,terms,base,86,86,121.94041651162725,228.25253760978535,0.876141368568623,,,,,,,,
detailed,other_diagnostic,terms,coupon_regular,688,86,121.99778368937275,228.40446337675604,0.8764493200496389,4.696256073534086,8.641388047990754,0.023470195226843682,0.32558139534883723,0.7311046511627907,0.8691860465116279,688.0,1.0
detailed,other_diagnostic,terms,first_strike,688,86,121.02827520384561,226.29736404341438,0.8780627192329408,9.837129636279677,17.16633894832183,-1.9449272709104977,0.1511627906976744,0.5203488372093024,0.7063953488372093,600.0,0.8783333333333333
