item,isu_ord,opt_type,ki_yn,fair,mc,mc_iv,n_iv_udl
KR6553335516,735610,STEP,0,0.927560606060606,0.99598557,0.99622136,0
KR6573346519,735610,STEP,0,0.8889777777777776,1.0036066,1.003931,0
KR6703323511,735610,STEP,1,0.9550444444444444,1.0100799,1.0107048,0
KR6503335517,735610,STEP,0,0.894598,0.9936896,0.99534035,0
KR6513313512,735610,STEP,1,0.880541,0.9763723,0.97777814,0
KR6503324511,735610,STEP,0,0.91925632,1.0031532,1.005595,0
KR6573353515,735610,STEP,1,0.813583,0.99506515,0.9949558,0
KR6513314510,735610,STEP,1,0.8978229999999999,0.9773372,0.9774566,0
KR6593309513,735610,STEP,1,0.87941,0.9771198,0.9779678,0
KR6513316515,735610,STEP,1,0.8838030000000001,0.9765659,0.9758656,0
KR6573349513,735610,STEP,0,0.906935,1.0127553,1.0155668,0
KR6503322515,735610,STEP,0,0.92657214,0.9975486,0.9969818,0
KR6503323513,735610,STEP,0,0.92618519,0.9992966,0.9992275,0
KR6573352517,735610,STEP,1,0.871751,1.0034354,1.005879,0
KR6503312516,735610,STEP,0,0.911904,1.0247065,1.0267842,0
20150105000201_12288,735610,STEP,0,0.8523464646464646,1.0026438,1.0040075,0
KR6503320519,735610,STEP,0,0.96022976,1.0004727,1.0014652,0
KR6503321517,735610,STEP,0,0.93418962,0.9975163,0.9981689,0
KR6503319511,735610,STEP,0,0.949502,1.1457593,1.1480571,0
KR6553336514,735610,STEP,0,0.8925636363636363,0.99830306,1.0006357,0
KR6553334519,735610,STEP,0,0.9332292929292928,1.0007683,1.0017191,0
KR6503325518,735610,STEP,1,0.91122579,1.0009885,1.0019197,0
KR6503318513,735610,STEP,0,0.93645269,0.9937813,0.9953537,0
KR6503317515,735610,STEP,0,0.91839019,1.001813,1.0074606,0
KR6543326518,735611,STEP,1,0.9702020202020202,1.0032843,1.0039563,0
KR6523351510,735611,STEP,1,0.8709120000000001,0.9968464,0.9973167,0
KR6523352518,735611,STEP,1,0.88216,1.0152924,1.0177331,0
KR6593349519,735611,STEP,1,1.0300272727272728,1.0092537,1.0102862,0
KR6523356519,735611,STEP,1,0.867389,0.9740705,0.97528166,0
KR6573371517,735612,STEP,1,0.8385819999999999,0.99278295,0.9928583,0
KR6553361512,735612,STEP,1,0.8911252525252524,0.99808025,0.99988663,0
KR6553362510,735612,STEP,1,0.9015939393939396,1.0018809,1.0026102,0
KR6593377510,735612,STEP,1,1.019409090909091,1.0104482,1.0121472,0
KR6573372515,735612,STEP,1,0.863682,0.9697216,0.9708397,0
KR6573368513,735612,STEP,1,0.851475,1.0129802,1.0134857,0
KR6573369511,735612,STEP,1,0.884858,1.0027391,1.0032842,0
KR6703329518,735612,STEP,1,0.9597727272727272,1.0122527,1.0138781,0
KR6573370519,735612,STEP,1,0.8670110000000001,1.0002888,1.0017463,0
KR6523370510,735613,STEP,1,0.839109,1.027907,1.0289955,0
KR6523372516,735613,STEP,1,0.846201,0.9683058,0.96692574,0
KR6523368514,735613,STEP,1,0.857933,0.99609154,0.9965321,0
KR6583320512,735614,STEP,1,0.8980712,1.0054924,1.0056629,0
KR6503352512,735614,STEP,1,0.9253646464646466,1.0179552,1.0191686,0
KR6733308516,735614,STEP,1,0.881885,0.9964061,0.99570644,0
KR65733AF513,735614,STEP,1,0.923615,1.0112021,1.012669,0
KR6503349518,735614,STEP,0,0.9317959595959596,1.010181,1.0099853,0
KR6553379514,735614,STEP,0,0.954310101010101,1.0138807,1.0180124,0
KR65733AH519,735614,STEP,1,0.8411489999999999,0.9977485,0.998561,0
KR6533327518,735614,STEP,1,0.9915,0.95569897,0.95662636,0
KR65933AX512,735614,STEP,1,1.0341010101010102,1.0117072,1.0130545,0
KR65733AG511,735614,STEP,1,0.8844110000000001,1.0006715,1.0016552,0
KR65233AS517,735614,STEP,1,0.8966484848484848,1.0118754,1.0130154,0
KR6503353510,735614,STEP,1,0.9511262626262624,1.0190735,1.0213783,0
KR6543321519,735614,STEP,1,0.9362,0.9151093,0.9190389,0
KR6583323516,735614,STEP,1,0.8276148999999999,0.994261,0.9959135,0
KR6543320511,735614,STEP,1,0.9313,1.0079145,1.0068849,0
KR6583319514,735614,STEP,0,0.8811684,1.0065151,1.0071654,0
KR6513381519,735614,STEP,1,0.9288565656565656,1.0198603,1.0213852,0
KR65733AE516,735614,STEP,1,0.90947,1.0136313,1.0179496,0
KR6773309515,735614,STEP,1,0.945050505050505,1.01005,1.0106924,0
KR6593370515,735617,STEP,1,0.8672049999999999,0.96974814,0.969654,0
KR6513343519,735617,STEP,1,0.928949,0.9856735,0.9842926,0
KR65033BE519,735617,STEP,0,0.9504535353535354,1.0139563,1.014226,0
KR6593369517,735617,STEP,0,0.855132,1.017045,1.0220144,0
KR65033A2512,735617,STEP,0,0.9696181818181816,1.0027689,1.003115,0
KR65733B8511,735617,STEP,1,0.8574379999999999,0.9698955,0.9711888,0
KR6503383517,735617,STEP,0,0.98056793,1.0052552,1.006309,0
KR6593366513,735617,STEP,1,0.8857809999999999,1.0022047,1.0033808,0
KR6593364518,735617,STEP,1,0.896453,1.0245248,1.0258021,0
KR6503384515,735617,STEP,0,0.91771696,1.0062147,1.007272,0
KR6573387513,735617,STEP,0,0.8949747474747475,1.0136029,1.0145911,0
KR6533381515,735617,STEP,0,0.9995,1.0305288,1.032781,0
KR6513344517,735617,STEP,1,0.898175,0.9841634,0.9841815,0
KR6503362511,735617,STEP,0,0.987919,1.0170028,1.0182756,0
KR6513342511,735617,STEP,1,0.856835,0.9844043,0.98379564,0
KR65733B7513,735617,STEP,1,0.8074140000000001,0.9970059,0.9943174,0
KR65033A9517,735617,STEP,0,0.87,0.9898989,0.9934787,0
KR6773307519,735617,STEP,0,0.9384181818181818,1.0099177,1.0107279,0
KR6593368519,735617,STEP,1,0.924118,1.0115062,1.0118791,0
KR6593367511,735617,STEP,1,0.8844069999999999,1.0047139,1.0050358,0
KR6703347510,735617,STEP,0,0.921430303030303,1.0144794,1.0140908,0
KR6703351512,735617,STEP,0,0.8850070707070706,0.9992811,1.0021483,0
KR6503382519,735617,STEP,0,0.944917,1.1697259,1.172658,0
KR6503381511,735617,STEP,0,0.92973351,0.9993244,1.0010341,0
KR6503387518,735617,STEP,1,0.8882579599999999,1.0152845,1.0154132,0
KR6593365515,735617,STEP,1,0.8860530000000001,0.99391526,0.99769616,0
KR6643301510,735617,STEP,0,0.894868,1.0042093,1.0087156,0
KR6503386510,735617,STEP,0,0.89799471,1.0136724,1.0146133,0
KR6703348518,735617,STEP,0,0.9094747474747474,1.0095197,1.0096701,0
KR6503380513,735617,STEP,0,0.90218695,1.0081052,1.013595,0
KR6553355514,735617,STEP,0,0.8965333333333334,1.0036352,1.0077267,0
KR65033AG516,735617,STEP,0,0.881627,1.0040206,1.0051305,0
KR6503385512,735617,STEP,0,0.90570418,1.0093163,1.0102036,0
KR6773310513,735618,STEP,1,0.932509090909091,1.0051702,1.0057719,0
KR6583343514,735618,STEP,1,0.9157215,1.0044483,1.00544,0
KR65233AC511,735618,STEP,1,0.86777,0.9959808,0.9966848,0
KR6503360515,735618,STEP,1,0.949379797979798,1.0176116,1.017885,0
KR65233AG512,735618,STEP,1,0.8546100000000001,0.95910096,0.9598501,0
KR65933AW514,735618,STEP,1,1.048938383838384,1.009342,1.0114617,0
KR65233AF514,735618,STEP,1,0.8478450000000001,1.0011889,1.0010042,0
KR65233AD519,735618,STEP,1,0.8749120000000001,1.0157168,1.0185695,0
KR65733BK511,735619,STEP,0,0.8752629999999999,1.0108361,1.0149658,0
KR6543348512,735619,STEP,1,0.9817171717171718,1.0100168,1.0100262,0
KR65033B5514,735619,STEP,0,0.943049,1.0017984,1.0016385,0
KR65733BG519,735619,STEP,1,0.8696149999999999,0.99510854,0.9943292,0
KR6793308513,735619,STEP,1,0.948590909090909,1.0082725,1.0089023,0
KR65733BJ513,735619,STEP,1,0.817054,0.99333304,0.9899843,0
KR65033B6512,735619,STEP,0,0.917247,1.0025195,1.0020545,0
KR6793309511,735619,STEP,1,1.0222252525252526,1.0055144,1.0052838,0
KR65733BF511,735619,STEP,1,0.8775229999999999,1.0077447,1.0098238,0
KR65033B7510,735619,STEP,0,0.8978780000000001,1.0041096,1.0076132,0
KR65733BH517,735619,STEP,1,0.8807780000000001,0.99591273,0.99829954,0
KR65233B5512,735620,STEP,1,0.8367959999999999,1.0188816,1.0205762,0
KR65333A8516,735620,STEP,1,0.9994949494949495,1.0042847,1.0058138,0
KR65233B4515,735620,STEP,1,0.8698899999999999,0.9983544,0.99778867,0
KR65233B6510,735620,STEP,1,0.81521,0.993698,0.9927677,0
KR65233B1511,735620,STEP,1,0.857757,0.98882306,0.9902513,0
KR6793310519,735621,STEP,1,0.9565060606060606,1.0039618,1.0035515,0
KR6543337515,735621,STEP,1,0.9337,0.99869245,0.9967719,0
KR6703387516,735621,STEP,0,0.9311727272727274,1.0078832,1.0083289,0
KR65233CY511,735621,STEP,1,0.8992171717171717,1.0102795,1.0107203,0
KR65533AG515,735621,STEP,0,0.9556434343434344,1.0119835,1.0155486,0
KR65533AL515,735621,STEP,1,0.9439272727272726,1.005285,1.0058692,0
KR65233D0511,735621,STEP,1,0.8933545454545454,1.0100888,1.0107992,0
KR65733CA510,735621,STEP,1,0.830414,0.9938166,0.99453133,0
KR65533AM513,735621,STEP,1,0.9198464646464646,1.014756,1.0161337,0
KR6583349511,735621,STEP,1,0.8811684,0.9728939,0.97488105,0
KR65733CB518,735621,STEP,1,0.8582219999999999,0.9656407,0.9633991,0
KR6583345519,735621,STEP,0,0.8811684,1.0057471,1.0055308,0
KR6533359511,735621,STEP,1,0.993,0.94733524,0.94852966,0
KR6533356517,735621,STEP,1,0.993,0.9954577,0.9959693,0
KR6543352514,735621,STEP,1,0.9922222222222222,1.0078241,1.0089962,0
KR65033AV515,735621,STEP,1,0.9304535353535354,1.0192397,1.0206702,0
KR65033AW513,735621,STEP,1,0.918439393939394,1.0148182,1.0144551,0
KR65733C9518,735621,STEP,1,0.875116,0.9980577,0.99792063,0
KR65733C8510,735621,STEP,1,0.8642610000000001,1.0109776,1.014364,0
KR6543353512,735621,STEP,1,0.9816161616161616,1.0038048,1.004821,0
KR65133B0514,735621,STEP,1,0.9341111111111112,0.99856204,1.001297,0
KR6503363519,735621,STEP,1,0.918439393939394,1.0148373,1.0148859,0
KR65033CE517,735621,STEP,0,0.908383,1.0083337,1.0088115,0
KR65033CD519,735621,STEP,0,0.947093,1.0031933,1.004016,0
KR65033CF514,735624,STEP,0,0.87989,0.9975481,0.99883646,0
KR65733BY512,735624,STEP,0,0.866675,1.0212195,1.0240636,0
KR65033CG512,735624,STEP,0,0.8794770000000001,0.99441963,0.9955096,0
KR65733CS512,735624,STEP,1,0.78972,0.9887972,0.988121,0
KR65733CT510,735624,STEP,1,0.844816,0.9708936,0.9694995,0
