payoff,monthly,condition,axis,offset,n,mean_delta_krw,min_delta_krw,max_delta_krw
detailed,False,연 쿠폰 +1%p,coupon_regular,0.01,128,55.55036963463022,11.50548262938802,155.03093721049467
detailed,False,1차 행사가 +5%p,first_strike,0.05,128,-8.289304370982816,-210.41698162838824,168.7725311871108
detailed,False,낙인 배리어 +5%p,ki_barrier,0.05,64,-50.25422544650458,-335.80418690574453,0.0
detailed,False,만기 행사가 +5%p,last_strike,0.05,128,-30.289012860756486,-251.46041041147936,0.0
detailed,False,관측 +1회: 첫 평가 전,nobs_early,1.0,81,12.086205803370996,-249.34134222156928,632.607042055984
detailed,False,관측 +1회: 마지막 구간,nobs_late,1.0,81,1.9951205945122368,-15.609312489272035,28.476521145738992
detailed,False,관측 +1회: 중간,nobs_middle,1.0,81,2.320616409302875,-9.838883398262604,29.1744210600863
detailed,False,만기 변경 -12개월,tenor_months,-12.0,128,47.68852146051769,-463.2543276983872,684.7339295100728
detailed,False,만기 변경 -6개월,tenor_months,-6.0,128,24.726638454127198,-232.09006698780152,315.22785150963927
detailed,False,만기 변경 -3개월,tenor_months,-3.0,128,12.38131182374815,-116.69220314806904,148.3109181164549
detailed,False,만기 변경 -1개월,tenor_months,-1.0,128,4.010677334400004,-39.53126394272099,47.209917052416166
detailed,False,만기 변경 +1개월,tenor_months,1.0,128,-4.072758627470883,-48.69158210548363,37.161248899413074
detailed,False,만기 변경 +3개월,tenor_months,3.0,128,-12.425301616029959,-141.6552264186638,109.662043643345
detailed,False,만기 변경 +6개월,tenor_months,6.0,128,-24.946249215412944,-268.7326678347169,219.2191700560872
detailed,False,만기 변경 +12개월,tenor_months,12.0,128,-50.39714245374955,-519.0369571229886,435.3812075613986
detailed,True,연 쿠폰 +1%p,coupon_regular,0.01,128,93.70020007604641,50.5970307692298,165.28620813944784
detailed,True,1차 행사가 +5%p,first_strike,0.05,128,2.8392098740532234,-140.1143665470078,129.18191589954975
detailed,True,낙인 배리어 +5%p,ki_barrier,0.05,43,-102.02644644301701,-188.3222330381585,-10.369437080552965
detailed,True,만기 행사가 +5%p,last_strike,0.05,128,-25.90808217473534,-103.88325345813897,0.0
detailed,True,월 쿠폰 배리어 +5%p,monthly_barrier,0.05,128,-35.532450048088165,-153.76135200721504,0.0
detailed,True,관측 +1회: 첫 평가 전,nobs_early,1.0,128,-49.88131215463147,-271.6025833516771,360.74880099633344
detailed,True,관측 +1회: 마지막 구간,nobs_late,1.0,128,2.582013996224509,-4.9833948292263495,27.516321607193323
detailed,True,관측 +1회: 중간,nobs_middle,1.0,128,0.3690965281769549,-11.44243091248837,29.635711057437906
detailed,True,만기 변경 -12개월,tenor_months,-12.0,128,18.68571739535617,-207.9189737070498,542.7312934189636
detailed,True,만기 변경 -6개월,tenor_months,-6.0,128,3.488393691446298,-155.09780220152754,245.9792327240484
detailed,True,만기 변경 -3개월,tenor_months,-3.0,128,-16.234595258172483,-79.30915418689212,110.10821668435214
detailed,True,만기 변경 -1개월,tenor_months,-1.0,128,-31.902850841312063,-68.56093495978001,27.26966437362148
detailed,True,만기 변경 +1개월,tenor_months,1.0,128,-10.888876908343223,-49.93042061128951,42.77841461049997
detailed,True,만기 변경 +3개월,tenor_months,3.0,128,-23.15580880475745,-128.38336689082607,46.43129349457519
detailed,True,만기 변경 +6개월,tenor_months,6.0,128,-16.718546595938683,-243.99023589876535,59.55451916659495
detailed,True,만기 변경 +12개월,tenor_months,12.0,128,-33.68165159910703,-451.115446726118,138.43900705089158
detailed_minus_reference,False,연 쿠폰 +1%p,coupon_regular,0.01,128,1.8173479480781307,-18.622668249126896,61.73112359223209
detailed_minus_reference,False,1차 행사가 +5%p,first_strike,0.05,128,4.807587650380786,-44.62571829285952,46.13894275447125
detailed_minus_reference,False,낙인 배리어 +5%p,ki_barrier,0.05,64,-10.74931921803272,-82.45304403734491,33.93161240820484
detailed_minus_reference,False,만기 행사가 +5%p,last_strike,0.05,128,13.865918719076433,-2.206868732315025,152.66504211227098
detailed_minus_reference,False,관측 +1회: 첫 평가 전,nobs_early,1.0,81,98.13202676392947,-87.98043797996768,585.6838047753744
detailed_minus_reference,False,관측 +1회: 마지막 구간,nobs_late,1.0,81,-61.8470700357024,-246.5541338915623,11.788197630317958
detailed_minus_reference,False,관측 +1회: 중간,nobs_middle,1.0,81,-41.18504494576231,-194.0681887832149,15.514968719213057
detailed_minus_reference,False,만기 변경 -12개월,tenor_months,-12.0,128,-26.753210449453473,-173.17419213686142,31.195588279343703
detailed_minus_reference,False,만기 변경 -6개월,tenor_months,-6.0,128,-12.88074563490497,-92.3888650472253,16.56024910180859
detailed_minus_reference,False,만기 변경 -3개월,tenor_months,-3.0,128,-6.067225678486558,-45.66118749614761,8.589781970263626
detailed_minus_reference,False,만기 변경 -1개월,tenor_months,-1.0,128,-2.0087139943042303,-17.65056323031833,5.334744108526094
detailed_minus_reference,False,만기 변경 +1개월,tenor_months,1.0,128,2.182164159197548,-4.624290348687474,18.201506293202684
detailed_minus_reference,False,만기 변경 +3개월,tenor_months,3.0,128,6.228991863214835,-7.239289850323398,49.23333373154157
detailed_minus_reference,False,만기 변경 +6개월,tenor_months,6.0,128,12.480601598045315,-15.275897151981887,94.35325630486248
detailed_minus_reference,False,만기 변경 +12개월,tenor_months,12.0,128,23.694494147556306,-29.72270976497324,189.7229516217163
detailed_minus_reference,True,연 쿠폰 +1%p,coupon_regular,0.01,128,23.642188944995727,-20.2438073849272,98.08034870683004
detailed_minus_reference,True,1차 행사가 +5%p,first_strike,0.05,128,47.369105729556956,-5.03126781583519,110.39617896973628
detailed_minus_reference,True,낙인 배리어 +5%p,ki_barrier,0.05,43,0.9735801144331458,-0.775573012498257,3.2289061507788905
detailed_minus_reference,True,만기 행사가 +5%p,last_strike,0.05,128,24.1678341371235,5.706102635121724,72.56327699548429
detailed_minus_reference,True,월 쿠폰 배리어 +5%p,monthly_barrier,0.05,128,-35.532450048088165,-153.76135200721504,0.0
detailed_minus_reference,True,관측 +1회: 첫 평가 전,nobs_early,1.0,128,-62.42919368382381,-251.4387224386292,349.12414466771247
detailed_minus_reference,True,관측 +1회: 마지막 구간,nobs_late,1.0,128,-26.364916985924943,-199.99887541748737,39.08093841149697
detailed_minus_reference,True,관측 +1회: 중간,nobs_middle,1.0,128,-10.400919655231537,-127.69155244838106,37.83296825072248
detailed_minus_reference,True,만기 변경 -12개월,tenor_months,-12.0,128,-79.92663855176393,-297.31280429327046,43.80400804635715
detailed_minus_reference,True,만기 변경 -6개월,tenor_months,-6.0,128,-43.999574583184476,-162.16484974162597,24.19516838374517
detailed_minus_reference,True,만기 변경 -3개월,tenor_months,-3.0,128,-39.356890283581166,-84.90403567587055,11.152204143187904
detailed_minus_reference,True,만기 변경 -1개월,tenor_months,-1.0,128,-39.68023827714686,-70.26427604421333,9.281567923696128
detailed_minus_reference,True,만기 변경 +1개월,tenor_months,1.0,128,-3.1437798823025833,-21.250008171039195,44.89689595845821
detailed_minus_reference,True,만기 변경 +3개월,tenor_months,3.0,128,-0.8647573849058905,-31.7459822101054,61.04881628614984
detailed_minus_reference,True,만기 변경 +6개월,tenor_months,6.0,128,26.19458454008923,-50.05993908531712,125.5143854744858
detailed_minus_reference,True,만기 변경 +12개월,tenor_months,12.0,128,46.9399654275167,-63.18413843991831,259.74911871656
reference,False,연 쿠폰 +1%p,coupon_regular,0.01,128,53.73302168655209,12.185674339532852,137.10435022910437
reference,False,1차 행사가 +5%p,first_strike,0.05,128,-13.096892021363601,-171.5750258353849,157.87487479050955
reference,False,낙인 배리어 +5%p,ki_barrier,0.05,64,-39.50490622847186,-253.3511428683996,-0.0377973367770512
reference,False,만기 행사가 +5%p,last_strike,0.05,128,-44.15493157983292,-250.08164175351465,0.0
reference,False,관측 +1회: 첫 평가 전,nobs_early,1.0,81,-86.04582096055847,-273.72606997191906,53.077672142690666
reference,False,관측 +1회: 마지막 구간,nobs_late,1.0,81,63.842190630214645,-12.653450980782509,275.03065503730124
reference,False,관측 +1회: 중간,nobs_middle,1.0,81,43.50566135506518,-24.67186855028073,223.24260984330127
reference,False,만기 변경 -12개월,tenor_months,-12.0,128,74.44173190997117,-290.0801355615258,684.1074173518767
reference,False,만기 변경 -6개월,tenor_months,-6.0,128,37.607384089032166,-139.70120194057623,317.64891453188227
reference,False,만기 변경 -3개월,tenor_months,-3.0,128,18.448537502234707,-71.03101565192142,150.0068819382383
reference,False,만기 변경 -1개월,tenor_months,-1.0,128,6.019391328704235,-21.88070071240266,52.17966062808409
reference,False,만기 변경 +1개월,tenor_months,1.0,128,-6.2549227866684305,-52.108176004762456,20.293082997202877
reference,False,만기 변경 +3개월,tenor_months,3.0,128,-18.654293479244792,-142.47534760902636,60.42870991180341
reference,False,만기 변경 +6개월,tenor_months,6.0,128,-37.42685081345826,-266.08895044149057,124.86591375122468
reference,False,만기 변경 +12개월,tenor_months,12.0,128,-74.09163660130588,-511.4849861503656,245.6582559396823
reference,True,연 쿠폰 +1%p,coupon_regular,0.01,128,70.05801113105069,43.66845512390137,108.92315694689748
reference,True,1차 행사가 +5%p,first_strike,0.05,128,-44.52989585550373,-149.53425144256713,57.11791452765465
reference,True,낙인 배리어 +5%p,ki_barrier,0.05,43,-103.00002655745016,-189.118258814017,-9.982397402326267
reference,True,만기 행사가 +5%p,last_strike,0.05,128,-50.07591631185885,-149.65269221365452,-14.557797342538834
reference,True,월 쿠폰 배리어 +5%p,monthly_barrier,0.05,128,0.0,0.0,0.0
