payoff,monthly,condition,axis,offset,n,mean_delta_krw,min_delta_krw,max_delta_krw
reference,True,관측 +1회: 첫 평가 전,nobs_early,1.0,128,12.547881529192333,-30.07525180280209,66.83840158985306
reference,True,관측 +1회: 마지막 구간,nobs_late,1.0,128,28.946930982149446,-40.175696693360806,227.51519702468067
reference,True,관측 +1회: 중간,nobs_middle,1.0,128,10.77001618340849,-40.395998015999794,157.32726350581896
reference,True,만기 변경 -12개월,tenor_months,-12.0,128,98.6123559471201,-88.43180680274963,559.3586167609707
reference,True,만기 변경 -6개월,tenor_months,-6.0,128,47.487968274630774,-43.50976746529341,260.51275114649127
reference,True,만기 변경 -3개월,tenor_months,-3.0,128,23.122295025408675,-20.178286515176296,124.29640390180673
reference,True,만기 변경 -1개월,tenor_months,-1.0,128,7.7773874358348,-5.856094156702359,44.14617967869465
reference,True,만기 변경 +1개월,tenor_months,1.0,128,-7.745097026040639,-47.18668324752555,8.761133653422197
reference,True,만기 변경 +3개월,tenor_months,3.0,128,-22.291051419851556,-123.4567639323456,20.522901944816116
reference,True,만기 변경 +6개월,tenor_months,6.0,128,-42.913131136027914,-239.88924456779688,39.82708278298378
reference,True,만기 변경 +12개월,tenor_months,12.0,128,-80.62161702662374,-464.6105457333615,72.66599002232154
