segment,n,fair,IV + source discount_gap,IV + source discount_mape
"(0.699, 0.884]",9799,0.8537698385654918,-1122.5015646273184,13.713645782631293
"(0.884, 0.912]",9798,0.8991451211428635,-795.8110686595162,9.685849672759472
"(0.912, 0.933]",9799,0.9228230029869958,-592.765903654973,7.934740389269798
"(0.933, 0.953]",9797,0.9427394043213859,-432.2146526191882,6.181252833035912
"(0.953, 0.976]",9800,0.9640945579627896,-221.07472138934136,4.5959171000065355
"(0.976, 1.05]",9797,0.9930248825839877,43.756601412603175,3.1346051926796012
