POPULATION start 31560 new / 58790 total
/home/researcher/.local/lib/python3.11/site-packages/torch/cuda/__init__.py:881: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
/home/researcher/.local/lib/python3.11/site-packages/torch/cuda/__init__.py:881: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
POPULATION worker device 1 NVIDIA GeForce RTX 3090
POPULATION worker device 0 NVIDIA GeForce RTX 3090
POPULATION 19400 / 31560 seconds 409.8 ETA min 4.3
POPULATION 19600 / 31560 seconds 414.0 ETA min 4.2
POPULATION 19800 / 31560 seconds 418.1 ETA min 4.1
POPULATION 20000 / 31560 seconds 422.3 ETA min 4.1
POPULATION 20200 / 31560 seconds 426.4 ETA min 4.0
POPULATION 20400 / 31560 seconds 430.6 ETA min 3.9
POPULATION 20600 / 31560 seconds 434.8 ETA min 3.9
POPULATION 20800 / 31560 seconds 438.9 ETA min 3.8
POPULATION 21000 / 31560 seconds 443.1 ETA min 3.7
POPULATION 21200 / 31560 seconds 447.3 ETA min 3.6
POPULATION 21400 / 31560 seconds 451.4 ETA min 3.6
POPULATION 21600 / 31560 seconds 455.6 ETA min 3.5
POPULATION 21800 / 31560 seconds 459.7 ETA min 3.4
POPULATION 22000 / 31560 seconds 463.9 ETA min 3.4
POPULATION 22200 / 31560 seconds 468.1 ETA min 3.3
POPULATION 22400 / 31560 seconds 472.2 ETA min 3.2
POPULATION 22600 / 31560 seconds 476.4 ETA min 3.1
POPULATION 22800 / 31560 seconds 480.6 ETA min 3.1
POPULATION 23000 / 31560 seconds 484.7 ETA min 3.0
POPULATION 23200 / 31560 seconds 488.9 ETA min 2.9
POPULATION 23400 / 31560 seconds 493.0 ETA min 2.9
POPULATION 23600 / 31560 seconds 497.2 ETA min 2.8
POPULATION 23800 / 31560 seconds 501.3 ETA min 2.7
POPULATION 24000 / 31560 seconds 505.5 ETA min 2.7
POPULATION 24200 / 31560 seconds 509.7 ETA min 2.6
POPULATION 24400 / 31560 seconds 513.8 ETA min 2.5
POPULATION 24600 / 31560 seconds 518.0 ETA min 2.4
POPULATION 24800 / 31560 seconds 522.1 ETA min 2.4
POPULATION 25000 / 31560 seconds 526.3 ETA min 2.3
POPULATION 25200 / 31560 seconds 530.4 ETA min 2.2
POPULATION 25400 / 31560 seconds 534.6 ETA min 2.2
POPULATION 25600 / 31560 seconds 538.8 ETA min 2.1
POPULATION 25800 / 31560 seconds 542.9 ETA min 2.0
POPULATION 26000 / 31560 seconds 547.1 ETA min 1.9
POPULATION 26200 / 31560 seconds 551.3 ETA min 1.9
POPULATION 26400 / 31560 seconds 555.5 ETA min 1.8
POPULATION 26600 / 31560 seconds 559.6 ETA min 1.7
POPULATION 26800 / 31560 seconds 563.8 ETA min 1.7
POPULATION 27000 / 31560 seconds 568.0 ETA min 1.6
POPULATION 27200 / 31560 seconds 572.2 ETA min 1.5
POPULATION 27400 / 31560 seconds 576.4 ETA min 1.5
POPULATION 27600 / 31560 seconds 580.6 ETA min 1.4
POPULATION 27800 / 31560 seconds 584.8 ETA min 1.3
POPULATION 28000 / 31560 seconds 589.0 ETA min 1.2
POPULATION 28200 / 31560 seconds 593.2 ETA min 1.2
POPULATION 28400 / 31560 seconds 597.4 ETA min 1.1
POPULATION 28600 / 31560 seconds 601.6 ETA min 1.0
POPULATION 28800 / 31560 seconds 605.8 ETA min 1.0
POPULATION 29000 / 31560 seconds 610.1 ETA min 0.9
POPULATION 29200 / 31560 seconds 614.3 ETA min 0.8
POPULATION 29400 / 31560 seconds 618.5 ETA min 0.8
POPULATION 29600 / 31560 seconds 622.7 ETA min 0.7
POPULATION 29800 / 31560 seconds 626.9 ETA min 0.6
POPULATION 30000 / 31560 seconds 631.2 ETA min 0.5
POPULATION 30200 / 31560 seconds 635.4 ETA min 0.5
POPULATION 30400 / 31560 seconds 639.6 ETA min 0.4
POPULATION 30600 / 31560 seconds 643.8 ETA min 0.3
POPULATION 30800 / 31560 seconds 648.0 ETA min 0.3
POPULATION 31000 / 31560 seconds 652.3 ETA min 0.2
POPULATION 31200 / 31560 seconds 656.5 ETA min 0.1
POPULATION 31400 / 31560 seconds 660.7 ETA min 0.1
POPULATION 31560 / 31560 seconds 664.1 ETA min 0.0
{
  "status": "complete",
  "products": 58790,
  "device": "cuda",
  "paths_per_seed": 40000,
  "replicates": 1,
  "arms": [
    "hv_ns",
    "iv_ns",
    "iv_boot"
  ],
  "seconds": 674.0037879943848
}
