payoff,cohort,model,seed,scope,structure,n_rows,n_families,price_mae,price_rmse,price_r2,delta_mae,delta_rmse,delta_bias,within_1,within_5,within_10,resolved_n,resolved_sign
detailed,monthly_test,affine_coupon_delta,101,schedule,LIZARD no-KI,473,43,227.10396157255312,284.82889207422016,-13.086451889278829,192.01570052870971,235.69081179362428,-66.65604976847271,0.0,0.0,0.0,462,0.4696969696969697
detailed,monthly_test,affine_coupon_delta,101,schedule,STEP KI,473,43,134.85272101547636,185.3671822770818,0.8638469963031611,130.78025402441205,187.73173287023428,-96.43942098420058,0.004228329809725159,0.042283298097251586,0.080338266384778,448,0.6674107142857143
detailed,monthly_test,affine_coupon_delta,101,schedule,STEP no-KI,462,42,148.3601648770676,190.40296002584103,0.8240535997475165,143.41961333086797,190.47576487004594,-54.01307220114183,0.012987012987012988,0.03463203463203463,0.05194805194805195,441,0.6099773242630385
detailed,monthly_test,affine_coupon_delta,101,terms,LIZARD no-KI,1419,43,104.67909525978405,108.25197584332975,-2.073894223325947,10.585887287376504,15.149721196217866,0.9031789747853819,0.005813953488372093,0.39098837209302323,0.6446220930232558,1340,1.0
detailed,monthly_test,affine_coupon_delta,101,terms,STEP KI,1743,43,48.334454958132206,73.90433390158857,0.9791988695163523,11.35941614564717,20.278093534186265,-0.760080762182785,0.14882352941176472,0.4858823529411765,0.678235294117647,1556,0.9595115681233933
detailed,monthly_test,affine_coupon_delta,101,terms,STEP no-KI,1386,42,37.67218256608826,47.96730865921079,0.989250046835761,6.599431823491776,10.542712749852978,0.052248974302887295,0.18452380952380953,0.6197916666666666,0.7849702380952381,1327,0.9608138658628486
detailed,monthly_test,affine_coupon_delta,233,schedule,LIZARD no-KI,473,43,250.9319440799248,316.05218642556207,-16.344074622046502,239.86400455745263,278.83658465343785,-73.24259110158053,0.0,0.0,0.0,462,0.3593073593073593
detailed,monthly_test,affine_coupon_delta,233,schedule,STEP KI,473,43,175.9646192503584,239.85301860673425,0.7720435383847587,165.0978552966344,230.66207144913938,-63.536706922261914,0.008456659619450317,0.042283298097251586,0.07610993657505286,448,0.7388392857142857
detailed,monthly_test,affine_coupon_delta,233,schedule,STEP no-KI,462,42,195.97196630132657,257.9286723166874,0.6771266202933632,190.76458877343086,254.98335843531487,-32.99212408835678,0.017316017316017316,0.0367965367965368,0.06926406926406926,441,0.6235827664399093
detailed,monthly_test,affine_coupon_delta,233,terms,LIZARD no-KI,1419,43,90.91637690049077,96.07144046124013,-1.4210617125625995,13.146283991661882,19.778671264546084,0.36290185549261245,0.11482558139534883,0.3699127906976744,0.5625,1340,1.0
detailed,monthly_test,affine_coupon_delta,233,terms,STEP KI,1743,43,51.61465334925055,72.77509277728612,0.9798296859716799,10.757264703750128,19.714299109662367,-0.6027301098246736,0.16411764705882353,0.5211764705882352,0.7070588235294117,1556,0.9633676092544987
detailed,monthly_test,affine_coupon_delta,233,terms,STEP no-KI,1386,42,32.713223394796664,48.388842842416445,0.9890602765932485,5.636591599387852,9.337235298620008,-0.03703603395161793,0.23511904761904762,0.6569940476190477,0.8199404761904762,1327,0.9849284099472494
detailed,monthly_test,affine_coupon_delta,47,schedule,LIZARD no-KI,473,43,246.1233527364497,296.49186956072566,-14.26367507318561,186.39540971401362,227.26903606924282,-29.70167028350168,0.0,0.0,0.0,462,0.3593073593073593
detailed,monthly_test,affine_coupon_delta,47,schedule,STEP KI,473,43,172.35487228616086,237.75037652797184,0.776022724814838,165.93070468750156,235.43099823404677,-35.754370824318805,0.004228329809725159,0.040169133192389,0.06976744186046512,448,0.7142857142857143
detailed,monthly_test,affine_coupon_delta,47,schedule,STEP no-KI,462,42,194.3710507145062,264.2160286308705,0.6611938262381001,190.29648395864473,260.61839612524284,0.23031023626279104,0.010822510822510822,0.023809523809523808,0.049783549783549784,441,0.6258503401360545
detailed,monthly_test,affine_coupon_delta,47,terms,LIZARD no-KI,1419,43,161.1220971325934,162.77694872865732,-5.950292171306602,9.021055190222908,14.176235434794533,1.0850554442755218,0.07049418604651163,0.5087209302325582,0.720203488372093,1340,0.7432835820895523
