payoff,cohort,model,seed,n_rows,n_families,price_mae,price_rmse,price_r2
detailed,monthly_test,affine_coupon_delta,101,128,128,62.90810545272263,79.91932237550061,0.9659647193241839
detailed,monthly_test,affine_coupon_delta,233,128,128,58.11230999200249,73.95864308287153,0.9708523450481285
detailed,monthly_test,affine_coupon_delta,47,128,128,75.56442106998159,101.38764646662621,0.9452233038624325
detailed,monthly_test,affine_coupon_delta,ensemble,128,128,62.54391810521826,80.56478619708292,0.9654127312563714
detailed,monthly_test,augmented_delta,101,128,128,52.558011533315046,71.79846266344421,0.9725301656077106
detailed,monthly_test,augmented_delta,233,128,128,59.72591922171615,77.70367948951423,0.9678257139010674
detailed,monthly_test,augmented_delta,47,128,128,80.96149205175985,105.87431450981356,0.9402680113986935
detailed,monthly_test,augmented_delta,ensemble,128,128,55.01365187575296,71.84765621791938,0.9724925101569606
detailed,monthly_test,augmented_price,101,128,128,54.18420604370014,100.87241714603151,0.9457786150971024
detailed,monthly_test,augmented_price,233,128,128,49.73805941577297,91.35295509649862,0.9555296086211825
detailed,monthly_test,augmented_price,47,128,128,74.5389338722618,91.42980840277163,0.9554547531504867
detailed,monthly_test,augmented_price,ensemble,128,128,48.13341435687233,73.11351098421079,0.9715146847689613
detailed,monthly_test,prior_frozen_affine_coupon_delta,ensemble,128,128,104.2108423802949,130.10713844697693,0.9097955420872843
detailed,other_diagnostic,affine_coupon_delta,101,86,86,106.52337504134566,204.84376692414696,0.9002436488933543
detailed,other_diagnostic,affine_coupon_delta,233,86,86,115.88021851344006,213.4139217241352,0.8917219212953592
detailed,other_diagnostic,affine_coupon_delta,47,86,86,111.78204562219724,221.25581107390798,0.8836183742428094
detailed,other_diagnostic,affine_coupon_delta,ensemble,86,86,104.04991848564138,208.73180827032647,0.8964208556915668
detailed,other_diagnostic,augmented_delta,101,86,86,107.01487901472639,214.52393937890582,0.8905926308703129
detailed,other_diagnostic,augmented_delta,233,86,86,142.936401812219,243.04423025607986,0.8595681299439305
detailed,other_diagnostic,augmented_delta,47,86,86,138.41681186067527,241.2934776576861,0.8615840258816706
detailed,other_diagnostic,augmented_delta,ensemble,86,86,121.94041651162725,228.25253760978535,0.876141368568623
detailed,other_diagnostic,augmented_price,101,86,86,111.07700690160041,218.80633267293746,0.8861809851618447
detailed,other_diagnostic,augmented_price,233,86,86,130.70856004126293,248.03342525580058,0.8537434012678577
detailed,other_diagnostic,augmented_price,47,86,86,131.58819261788543,244.52111675595927,0.857856243314986
detailed,other_diagnostic,augmented_price,ensemble,86,86,118.06115573228266,226.92788221317645,0.8775748152156454
detailed,other_diagnostic,prior_frozen_affine_coupon_delta,ensemble,86,86,142.11205846147826,241.55758521468167,0.8612808538963967
detailed,published_monthly_6,affine_coupon_delta,101,6,6,17.211730002840643,17.8342484855277,0.9943015189677222
detailed,published_monthly_6,affine_coupon_delta,233,6,6,25.866084881595878,29.23496559972466,0.9846871984384316
detailed,published_monthly_6,affine_coupon_delta,47,6,6,10.529036878579367,11.008284298913978,0.997828855371845
detailed,published_monthly_6,affine_coupon_delta,ensemble,6,6,12.451140138321838,16.267691179441353,0.9952586576058106
detailed,published_monthly_6,augmented_delta,101,6,6,17.001126924634264,20.6193307269801,0.9923827429841382
detailed,published_monthly_6,augmented_delta,233,6,6,23.178305958345845,26.228976463283615,0.9876742837101963
detailed,published_monthly_6,augmented_delta,47,6,6,36.2762347737671,40.35572297379945,0.9708217161751429
detailed,published_monthly_6,augmented_delta,ensemble,6,6,21.026419521674143,25.05706767317427,0.9887511021744142
detailed,published_monthly_6,augmented_price,101,6,6,24.944451393756328,28.40473409623971,0.9855445726145821
detailed,published_monthly_6,augmented_price,233,6,6,40.19444543915203,49.75741453618258,0.9556427011596206
detailed,published_monthly_6,augmented_price,47,6,6,20.552974514978207,26.782339183398644,0.9871487168648863
detailed,published_monthly_6,augmented_price,ensemble,6,6,22.151835997386417,31.540229907010087,0.9821770663768455
detailed,published_monthly_6,prior_frozen_affine_coupon_delta,ensemble,6,6,48.308972986469904,54.98031709342664,0.9458418325409597
detailed,regular_test,affine_coupon_delta,101,128,128,62.1079844438378,79.78520822713854,0.9700055293723738
detailed,regular_test,affine_coupon_delta,233,128,128,64.2067776098196,85.27262127093746,0.9657377671285876
detailed,regular_test,affine_coupon_delta,47,128,128,55.464881474004336,73.5890700726132,0.9744833847258992
detailed,regular_test,affine_coupon_delta,ensemble,128,128,55.44298216987227,71.34250325833773,0.9760175734340033
