segment,n,fair,Archived HV_gap,Archived HV_mape,Archived IV_gap,Archived IV_mape
"(0.699, 0.884]",9799,0.8537698385654918,-1004.1309620642375,12.515585875143616,-1122.5051033949856,13.713730359441973
"(0.884, 0.912]",9798,0.8991451211428635,-778.5401873568329,9.212975189195031,-795.5469358871453,9.685147970537148
"(0.912, 0.933]",9799,0.9228230029869958,-668.2002357898028,7.508421660685099,-592.7823315852921,7.935559523722545
"(0.933, 0.953]",9797,0.9427394043213859,-501.0277263584582,5.750753931622891,-432.14337239295855,6.1802167134879475
"(0.953, 0.976]",9800,0.9640945579627896,-322.7108871476145,3.7491526599780864,-221.13115798434922,4.59458229327055
"(0.976, 1.05]",9797,0.9930248825839877,-61.49726158484478,1.970902674443323,43.770907242347214,3.13447534964949
