segment,n,mean_gap_hv_krw,mean_gap_iv_krw,mape_hv_pct,mape_iv_pct,mean_iv_minus_hv_krw,mape_change_iv_minus_hv_pp
"(0.702, 0.878]",5932,-1179.0392510822162,-1303.9064765193482,14.221193513696239,15.650986964526462,124.86722543713212,1.429793450830223
"(0.878, 0.907]",5931,-935.1773468677262,-956.6073220699694,10.899305452453973,11.336049949224419,21.429975202243153,0.43674449677044613
"(0.907, 0.928]",5931,-841.3640289769781,-745.760568130032,9.345292083515325,9.26535953329467,-95.6034608469461,-0.07993255022065426
"(0.928, 0.946]",5931,-708.2597052488308,-580.255273192008,7.683025723337694,7.697906349618025,-128.0044320568227,0.014880626280330489
"(0.946, 0.967]",5931,-500.47371307001595,-354.1765999566423,5.374417902889961,6.051958370132604,-146.29711311337368,0.6775404672426424
"(0.967, 1.049]",5931,-214.76116935076317,-51.642471671973816,2.895022424458296,4.149029998465428,-163.11869767878935,1.2540075740071321
