paths,replicate,n,mean_gap_hv_krw,mean_gap_iv_krw,mape_hv_pct,mape_iv_pct,mape_change_iv_minus_hv_pp
10000,0,35587,-729.8885474695034,-665.4637081039792,8.404946391233821,9.025414378342816,0.6204679871089951
10000,1,35587,-729.9839648562772,-665.7795261411657,8.404329366906865,9.027140416167997,0.6228110492611325
10000,2,35587,-730.068064641192,-665.4462306949157,8.406615132466484,9.024086845170995,0.6174717127045106
20000,0,35587,-729.8661536204879,-665.521648683982,8.404252023641265,9.025874183428611,0.6216221597873464
20000,1,35587,-729.9361266335552,-665.6213850455041,8.403997543036777,9.025626816061804,0.621629273025027
20000,2,35587,-730.0418246950098,-665.504597149812,8.40494988813874,9.024138692738275,0.6191888045995348
40000,0,35587,-729.8373577023852,-665.4481822236278,8.40349779075118,9.026407115041852,0.6229093242906725
40000,1,35587,-729.8628672522702,-665.4387252951736,8.403163607555783,9.025071074026323,0.6219074664705406
40000,2,35587,-729.8752495464074,-665.3412753530426,8.40331993787154,9.025077903759275,0.6217579658877348
