model,variant,metric,notebook_reference,rerun_mean,rerun_std,delta
deeponet,A,R2,0.9305,0.9339925909108192,0.043213763848903214,0.0034925909108192155
deeponet,A,MAE,40.8148,40.75757615685941,10.074438168481468,-0.0572238431405907
deeponet,A,RMSE,71.8499,70.42591005571951,21.186772367098214,-1.4239899442804926
deeponet,A,MAPE,0.4192,0.41838188033138674,0.10322207435916915,-0.0008181196686132819
deeponet,B,R2,0.9468,0.9464811481946199,0.009926535462541157,-0.0003188518053800493
deeponet,B,MAE,52.2922,52.1617781938176,6.907507549512542,-0.1304218061824045
deeponet,B,RMSE,82.9887,83.22240099419058,7.884128054532355,0.23370099419058477
deeponet,B,MAPE,0.544,0.5427294386910427,0.07188423853948452,-0.0012705613089573076
xgb,A,R2,0.9041,0.9033264665262563,0.001961074552498043,-0.0007735334737437594
xgb,A,MAE,57.2285,57.960369890147334,0.5812801132794956,0.7318698901473368
xgb,A,RMSE,87.8932,88.257364497103,0.896209699405075,0.3641644971030047
xgb,A,MAPE,0.5854,0.5927488573461559,0.005722268032240303,0.007348857346155868
xgb,B,R2,0.9155,0.916634168882086,0.0007426828008516829,0.0011341688820860618
xgb,B,MAE,67.7887,67.35817366175594,0.46144901719827824,-0.4305263382440643
xgb,B,RMSE,104.9488,104.23917449508072,0.4642453241043364,-0.7096255049192877
xgb,B,MAPE,0.7037,0.6994870104435593,0.004554929455309561,-0.004212989556440672
