item,isu_ord,year,tenor,NS,bootstrap,difference_bp,cache_max_abs_diff,par_reprice_max_bp
KR6523318519,735603,2015,0.25,0.021300000000000006,0.021240913025857185,-0.5908697414282182,1.1796119636642288e-16,1.0408340855860843e-12
KR6523318519,735603,2015,0.5,0.023003817086699872,0.020743957175426552,-22.5985991127332,1.1796119636642288e-16,1.0408340855860843e-12
KR6523318519,735603,2015,1.0,0.025402031972765148,0.020495479250211234,-49.06552722553914,1.1796119636642288e-16,1.0408340855860843e-12
KR6523318519,735603,2015,1.5,0.026819399836973346,0.02064690124413589,-61.724985928374544,1.1796119636642288e-16,1.0408340855860843e-12
KR6523318519,735603,2015,2.0,0.02757662613254954,0.02072261224109822,-68.54013891451322,1.1796119636642288e-16,1.0408340855860843e-12
KR6523318519,735603,2015,3.0,0.02793184113775024,0.02120489030681257,-67.26950830937672,1.1796119636642288e-16,1.0408340855860843e-12
KR6523318519,735603,2015,4.0,0.027538163504429555,0.021767706865032887,-57.70456639396668,1.1796119636642288e-16,1.0408340855860843e-12
KR6523318519,735603,2015,5.0,0.026891127978772456,0.02236121171443265,-45.299162643398056,1.1796119636642288e-16,1.0408340855860843e-12
KR6523318519,735603,2015,7.0,0.025577416093949024,0.023430764655402687,-21.466514385463377,1.1796119636642288e-16,1.0408340855860843e-12
KR6523318519,735603,2015,10.0,0.02415000000000001,0.024872790291423193,7.227902914231851,1.1796119636642288e-16,1.0408340855860843e-12
KR6593305529,735631,2015,0.25,0.021200000000000014,0.021237455076825718,0.3745507682570426,2.3245294578089215e-16,2.0816681711721685e-12
KR6593305529,735631,2015,0.5,0.022778288228945596,0.02011115250266799,-26.671357262776052,2.3245294578089215e-16,2.0816681711721685e-12
KR6593305529,735631,2015,1.0,0.02498758637056887,0.019548001215589122,-54.39585154979748,2.3245294578089215e-16,2.0816681711721685e-12
KR6593305529,735631,2015,1.5,0.02627787056290113,0.019331691289203288,-69.46179273697842,2.3245294578089215e-16,2.0816681711721685e-12
KR6593305529,735631,2015,2.0,0.026951144804173065,0.019223536326010374,-77.2760847816269,2.3245294578089215e-16,2.0816681711721685e-12
KR6593305529,735631,2015,3.0,0.027218952193206147,0.01925062236532813,-79.68329827878016,2.3245294578089215e-16,2.0816681711721685e-12
KR6593305529,735631,2015,4.0,0.02679624478609505,0.0194050675596738,-73.91177226421252,2.3245294578089215e-16,2.0816681711721685e-12
KR6593305529,735631,2015,5.0,0.02614654419261263,0.01961171343474758,-65.3483075786505,2.3245294578089215e-16,2.0816681711721685e-12
KR6593305529,735631,2015,7.0,0.024853070388075046,0.02013269158398026,-47.20378804094785,2.3245294578089215e-16,2.0816681711721685e-12
KR6593305529,735631,2015,10.0,0.02346000000000001,0.021062448206782797,-23.975517932172117,2.3245294578089215e-16,2.0816681711721685e-12
KR6533322535,735663,2015,0.25,0.01950000000000001,0.021137618008805564,16.376180088055538,2.0469737016526324e-16,1.7694179454963432e-12
KR6533322535,735663,2015,0.5,0.021088193390102702,0.019945054602684836,-11.431387874178654,2.0469737016526324e-16,1.7694179454963432e-12
KR6533322535,735663,2015,1.0,0.02334307739792238,0.019348772899624472,-39.94304498297907,2.0469737016526324e-16,1.7694179454963432e-12
KR6533322535,735663,2015,1.5,0.024700238400246283,0.01918276968824675,-55.17468711999533,2.0469737016526324e-16,1.7694179454963432e-12
KR6533322535,735663,2015,2.0,0.02545079590670924,0.019099768082557887,-63.51027824151353,2.0469737016526324e-16,1.7694179454963432e-12
KR6533322535,735663,2015,3.0,0.02587913779133308,0.019405679278279086,-64.73458513053993,2.0469737016526324e-16,1.7694179454963432e-12
KR6533322535,735663,2015,4.0,0.02560432215250045,0.01984082488260445,-57.63497269895997,2.0469737016526324e-16,1.7694179454963432e-12
KR6533322535,735663,2015,5.0,0.025081118134842727,0.02025269139094976,-48.28426743892968,2.0469737016526324e-16,1.7694179454963432e-12
KR6533322535,735663,2015,7.0,0.023978102511603056,0.02103230955732504,-29.457929542780168,2.0469737016526324e-16,1.7694179454963432e-12
KR6533322535,735663,2015,10.0,0.022760000000000006,0.022254922858205312,-5.050771417946937,2.0469737016526324e-16,1.7694179454963432e-12
KR65733CS538,735684,2015,0.25,0.01950000000000001,0.021129701037418982,16.297010374189714,2.5673907444456745e-16,2.3245294578089215e-12
KR65733CS538,735684,2015,0.5,0.021088193390102702,0.01849624883894055,-25.91944551162153,2.5673907444456745e-16,2.3245294578089215e-12
KR65733CS538,735684,2015,1.0,0.02334307739792238,0.017179522739701334,-61.63554658221045,2.5673907444456745e-16,2.3245294578089215e-12
KR65733CS538,735684,2015,1.5,0.024700238400246283,0.01704848608352381,-76.51752316722472,2.5673907444456745e-16,2.3245294578089215e-12
KR65733CS538,735684,2015,2.0,0.02545079590670924,0.01698296775543505,-84.67828151274192,2.5673907444456745e-16,2.3245294578089215e-12
KR65733CS538,735684,2015,3.0,0.02587913779133308,0.01736481790855559,-85.1431988277749,2.5673907444456745e-16,2.3245294578089215e-12
KR65733CS538,735684,2015,4.0,0.02560432215250045,0.0179268556635517,-76.77466488948747,2.5673907444456745e-16,2.3245294578089215e-12
KR65733CS538,735684,2015,5.0,0.025081118134842727,0.018440453705471028,-66.406644293717,2.5673907444456745e-16,2.3245294578089215e-12
KR65733CS538,735684,2015,7.0,0.023978102511603056,0.019268243978252643,-47.09858533350413,2.5673907444456745e-16,2.3245294578089215e-12
KR65733CS538,735684,2015,10.0,0.022760000000000006,0.020590923900966313,-21.690760990336933,2.5673907444456745e-16,2.3245294578089215e-12
KR65233AX541,735709,2015,0.25,0.018100000000000015,0.019442375406947977,13.423754069479612,2.3592239273284576e-16,2.1510571102112408e-12
KR65233AX541,735709,2015,0.5,0.019093830442819235,0.017553827122713916,-15.400033201053189,2.3592239273284576e-16,2.1510571102112408e-12
KR65233AX541,735709,2015,1.0,0.020557299238848904,0.016609552980596885,-39.47746258252019,2.3592239273284576e-16,2.1510571102112408e-12
