variant,n,mean,median,MAE,RMSE,sd,MAPE,mc_mean
A,58760,-559.3994881198169,-577.8415279748617,634.8140006778968,747.2189421539829,495.39129658157526,7.022212462450471,9851.961628041172
B,58760,-427.13182726049064,-465.5596438588194,566.7856257197867,681.4636930753102,530.9952594465208,6.253498547108308,9719.693967181847
