model,variant,seed,fold,n,R2,MAE,RMSE,MAPE
deeponet,A,0,0,5879,0.9739136192401852,23.392714798435094,31.485819411092624,0.23651142663021993
deeponet,A,0,1,5879,0.942805426514911,52.321392736860005,76.26535398876392,0.5421225198627048
deeponet,A,0,2,5879,0.9545791829144658,26.17881571695865,36.13425753421275,0.2628998438493577
deeponet,A,0,3,5849,0.9180460600109153,42.74187768849375,87.10773727645967,0.44091242123658214
deeponet,A,1,0,5879,0.9793092244843299,19.77583577138971,28.041191939510824,0.20053122973031273
deeponet,A,1,1,5879,0.6221548871352878,147.30745864943015,196.02288748434773,1.5146438744623123
deeponet,A,1,2,5879,0.9674109348010916,19.631419442081985,30.607482918095453,0.19807643283603948
deeponet,A,1,3,5849,0.9409832541280788,41.27718148401436,73.91957198028176,0.4263602831799049
deeponet,A,2,0,5879,0.9729082510187281,23.7510653852696,32.08681476941724,0.2402970274860979
deeponet,A,2,1,5879,0.9511569185027428,48.29336501105631,70.4776485085432,0.49984331502930274
deeponet,A,2,2,5879,0.964621237741237,22.201324272835503,31.89062139626398,0.22375457746420074
deeponet,A,2,3,5849,0.9207230347944214,46.090183262096104,85.67326579979289,0.4749707463153529
deeponet,A,3,0,5879,0.9763540711852731,21.378502500425245,29.97686931537628,0.21662089665175518
deeponet,A,3,1,5879,0.8833706280247945,85.08779982990303,108.90651128820473,0.8790568136863448
deeponet,A,3,2,5879,0.952003721677372,25.13073189317911,37.14457946025958,0.25341366961638856
deeponet,A,3,3,5849,0.9430373560349393,43.198361275431715,72.62177899471098,0.44547993501632593
deeponet,A,4,0,5879,0.9762449186708526,21.61935441401599,30.04597811057508,0.2193595269379719
deeponet,A,4,1,5879,0.9530725348033069,46.46188464024493,69.08176510721798,0.4842780510242525
deeponet,A,4,2,5879,0.9500211963159793,20.678448902874642,37.90396064382381,0.2099108607033688
deeponet,A,4,3,5849,0.9546007187918079,38.675625577021705,64.83302750757211,0.3990783819853622
deeponet,B,0,0,5879,0.9692217732062839,32.368520530702504,42.91072404055,0.33116953235943725
deeponet,B,0,1,5879,0.9231008187746117,69.59693182514035,108.83370719074287,0.7314632226448586
deeponet,B,0,2,5879,0.967224905101596,23.254798009865628,35.70261235055931,0.2358280982103437
deeponet,B,0,3,5849,0.9649862077541004,42.56127507266199,74.61379651000739,0.44977790950397795
deeponet,B,1,0,5879,0.9652945249141461,34.93040096955266,45.56622409770067,0.35710615023578707
deeponet,B,1,1,5879,0.8536378948159382,124.94499826501104,150.14707930756924,1.3143689410451056
deeponet,B,1,2,5879,0.9610418009047701,26.41234662357543,38.924895196573296,0.26795875213000336
deeponet,B,1,3,5849,0.9481437736900656,50.59760723200547,90.80296245214574,0.5343968295724574
deeponet,B,2,0,5879,0.9755427752355038,29.380010018710667,38.25142617911824,0.29999240998487325
deeponet,B,2,1,5879,0.8889134363816412,101.16856933151897,130.80770650031562,1.0551890265326436
deeponet,B,2,2,5879,0.9226949487217979,44.01538605204968,54.8317304165249,0.44445472543978026
deeponet,B,2,3,5849,0.962987852279082,43.331017199521284,76.71348391783893,0.45892670208712033
deeponet,B,3,0,5879,0.9637083278245513,36.36395546861713,46.59588174348929,0.3699797751538065
deeponet,B,3,1,5879,0.8824586139320642,111.34956441571697,134.55442005663267,1.162038748812055
deeponet,B,3,2,5879,0.959350282654786,26.532368055791814,39.760952587601736,0.2688195642460619
deeponet,B,3,3,5849,0.9439351445141083,51.695068763891264,94.41585202538377,0.546286763142701
deeponet,B,4,0,5879,0.973831739348934,30.24505989113796,39.566849700924415,0.309711241394258
deeponet,B,4,1,5879,0.9258998246469385,77.26916638884164,106.83466258972584,0.812232534358732
deeponet,B,4,2,5879,0.935286390255145,34.62538185065486,50.167889172481864,0.3510073396514719
deeponet,B,4,3,5849,0.93147122757192,52.490398375790726,104.38450575934641,0.5530066221290214
xgb,A,0,0,5879,0.9422295526623966,36.07053961558087,46.855540380830554,0.36341373807186117
xgb,A,0,1,5879,0.8971328809991416,69.70071490049328,102.27939864422397,0.7260348264520479
xgb,A,0,2,5879,0.7998587472398281,56.70898246300394,75.85076603025077,0.5683129605720565
xgb,A,0,3,5849,0.8712208093982975,66.6594490682168,109.19296514688278,0.6867875622906885
xgb,A,1,0,5879,0.9355794628974231,37.987830447354995,49.4789251144455,0.3824784013216195
xgb,A,1,1,5879,0.9002578244288497,68.22524745705051,100.71387268854795,0.7102211057894143
xgb,A,1,2,5879,0.7803616994047765,61.10333594148666,79.45947689116366,0.6119119465290115
xgb,A,1,3,5849,0.8627159254219798,67.28587556847324,112.74100298560083,0.6935878449792827
xgb,A,2,0,5879,0.9447235082399555,35.293139836706914,45.83300387063109,0.35552138889559654
xgb,A,2,1,5879,0.8939734965176915,70.96898520156489,103.83818712846245,0.738821641057197
xgb,A,2,2,5879,0.7972073314083776,58.260219186936574,76.3515379254034,0.5834967463754887
xgb,A,2,3,5849,0.8695617660286511,65.65852814156267,109.89407276051304,0.6761985272414014
xgb,A,3,0,5879,0.938363488782373,36.857261660146285,48.39796598438841,0.3709310800577047
xgb,A,3,1,5879,0.9015672468190193,69.3472068208879,100.05059917162389,0.7217724177617095
xgb,A,3,2,5879,0.8024327497335029,57.90080406531726,75.36143194800515,0.5800756239052508
xgb,A,3,3,5849,0.8570048325656849,69.72933839972646,115.06215248750654,0.7175514302765912
xgb,A,4,0,5879,0.9463726563423801,34.171555434597735,45.144123817796356,0.344583534498585
xgb,A,4,1,5879,0.8964953336464685,70.25849877530192,102.59586145703604,0.7324387195515747
xgb,A,4,2,5879,0.7868768100064456,59.44730768838238,78.27210582987858,0.5951789796994419
xgb,A,4,3,5849,0.8571689129440425,67.81417698751925,114.99611927538557,0.6982541909143589
xgb,B,0,0,5879,0.9451669419020094,42.04973515904065,57.27502383516214,0.4309292496192797
xgb,B,0,1,5879,0.8805912657167324,92.04462485116517,135.61902329478946,0.9708980131107667
xgb,B,0,2,5879,0.849721376580062,50.7146392583773,76.44984683654859,0.5120153779138732
xgb,B,0,3,5849,0.8987179543668715,84.50609557189264,126.90121941088672,0.8829258125222866
xgb,B,1,0,5879,0.9444708917273993,42.61507700289165,57.63740168574155,0.4358273794687357
xgb,B,1,1,5879,0.8798356571383836,92.69843905426093,136.04743959003503,0.9768377943838051
xgb,B,1,2,5879,0.848131055486544,49.582214390202424,76.85329690137004,0.5007076515445549
xgb,B,1,3,5849,0.8977183476182292,86.12936573773295,127.52590989145105,0.8996461789521608
xgb,B,2,0,5879,0.9453747848076188,41.96157070930431,57.16637122811242,0.4299504217921911
xgb,B,2,1,5879,0.879550855524904,92.12155626807281,136.2085672517567,0.9730775691271757
xgb,B,2,2,5879,0.8354649464718981,54.55088989624087,79.99396689969745,0.55035554015279
xgb,B,2,3,5849,0.903107546237966,82.80845915541119,124.12079263047538,0.8654780345980236
xgb,B,3,0,5879,0.9457678943947241,41.876809083177406,56.96030132364531,0.4289102079843525
xgb,B,3,1,5879,0.8824670300158184,92.76579464194592,134.54960285318649,0.9783351913331801
xgb,B,3,2,5879,0.8526556425276393,50.10132258887566,75.69980664308119,0.5057750696298734
xgb,B,3,3,5849,0.8991924238687089,84.25706618225338,126.60362747341233,0.8800444231293949
xgb,B,4,0,5879,0.9439677839254779,42.694349175029764,57.89791766851573,0.43835312323334646
xgb,B,4,1,5879,0.8873410823175693,88.7146011226399,131.73020030666217,0.9369801041994932
xgb,B,4,2,5879,0.8489802594966243,50.06900903214833,76.63812579352715,0.5057243088538087
xgb,B,4,3,5849,0.8961056643061486,85.3419909899128,128.52733375528246,0.8916753472740822
