item,variant,seed,paths,cached,recomputed,difference_KRW,q_maxdiff,n_div,n_div_cached,curve_maxdiff,par_reprice_max_bp,seconds
KR6523318519,A,0,40000,0.9862016336876899,0.9865661245252937,3.6449083760381473,6.832955937174923e-10,24,24.0,1.1796119636642288e-16,1.0408340855860843e-12,0.43233644899737556
KR6523318519,B,0,40000,0.951412683333084,0.952519247410819,11.065640777349062,6.832955937174923e-10,24,24.0,1.1796119636642288e-16,1.0408340855860843e-12,0.0171811100008199
KR6573349653,A,5341,40000,0.9908801286768169,0.9919245045267046,10.44375849887702,9.078018579911085e-10,30,30.0,1.5612511283791264e-16,1.1102230246251565e-12,0.02249181200750172
KR6573349653,B,5341,40000,0.9812835171308368,0.9831848224081099,19.013052772730575,9.078018579911085e-10,30,30.0,1.5612511283791264e-16,1.1102230246251565e-12,0.01703091799572576
KR65033AR778,A,10683,40000,1.0243320866003633,1.0245181206531824,1.8603405281902852,4.4288493358801695e-10,21,21.0,1.942890293094024e-16,1.8041124150158794e-12,0.021778663009172305
KR65033AR778,B,10683,40000,1.028024878705293,1.0276824973881244,-3.423813171685719,4.4288493358801695e-10,21,21.0,1.942890293094024e-16,1.8041124150158794e-12,0.016693093988578767
KR65333D0866,A,16025,40000,0.9769075416423381,0.9780441001072526,11.36558464914561,7.994698236757358e-10,33,33.0,1.5959455978986625e-16,1.457167719820518e-12,0.020104669994907454
KR65333D0866,B,16025,40000,0.9683320954114198,0.9691389265522361,8.068311408162554,7.994698236757358e-10,33,33.0,1.5959455978986625e-16,1.457167719820518e-12,0.017137589005869813
KR6613357948,A,21366,40000,1.0033424249447882,1.0026613362051546,-6.81088739633573,7.082852186701682e-10,27,27.0,1.1449174941446927e-16,1.4224732503009818e-12,0.019767977995797992
KR6613357948,B,21366,40000,0.9989846368636935,0.9979677203137428,-10.169165499507304,7.082852186701682e-10,27,27.0,1.1449174941446927e-16,1.4224732503009818e-12,0.016938614993705414
KR65433AK9B3,A,26708,40000,1.0049923623390495,1.0049690932273865,-0.23269111663060116,4.0262078046526817e-10,24,24.0,7.45931094670027e-17,1.0928757898653885e-12,0.022213749994989485
KR65433AK9B3,B,26708,40000,1.0040509363457562,1.0041763545885682,1.2541824281209202,4.0262078046526817e-10,24,24.0,7.45931094670027e-17,1.0928757898653885e-12,0.018754003001959063
KR6HH00001Q0,A,32050,40000,0.9713335956621915,0.9713849670581519,0.5137139596045337,5.327987807890455e-10,27,27.0,7.892991815694472e-17,1.0234868508263162e-12,0.01991534500848502
KR6HH00001Q0,B,32050,40000,0.969876698936522,0.9692941049821675,-5.825939543544489,5.327987807890455e-10,27,27.0,7.892991815694472e-17,1.0234868508263162e-12,0.016865767989656888
KR6SH0001XD9,A,37392,40000,0.9963496835675091,0.9973234920926393,9.73808525130182,2.5570161960031257e-10,30,30.0,7.806255641895632e-17,1.1449174941446927e-12,0.019873917000950314
KR6SH0001XD9,B,37392,40000,0.9894292914144694,0.9906156296294183,11.863382149488455,2.5570161960031257e-10,30,30.0,7.806255641895632e-17,1.1449174941446927e-12,0.01706877899414394
KR6SS0003LP1,A,42733,40000,0.9982454665550962,0.997924178186059,-3.2128836903710933,6.594401899540081e-10,36,36.0,2.3592239273284576e-16,2.2898349882893854e-12,0.021214684995356947
KR6SS0003LP1,B,42733,40000,0.9918473346924409,0.9921099853727967,2.6265068035580263,6.594401899540081e-10,36,36.0,2.3592239273284576e-16,2.2898349882893854e-12,0.01832778300740756
KR6HN0003XQ8,A,48075,40000,0.9737566484570503,0.9739360503159463,1.7940185889597782,4.0299780526553697e-10,31,31.0,2.220446049250313e-16,2.0122792321330962e-12,0.020183558008284308
KR6HN0003XQ8,B,48075,40000,0.952445802269876,0.9518912078324705,-5.5459443740546455,4.0299780526553697e-10,31,31.0,2.220446049250313e-16,2.0122792321330962e-12,0.01722845899348613
KR6NH00049L2,A,53417,40000,0.9982549453686923,0.9983248372249305,0.6989185623818006,4.520571833532827e-10,36,36.0,3.608224830031759e-16,3.226585665316861e-12,0.020141919987509027
KR6NH00049L2,B,53417,40000,0.9890608313415199,0.9883300933428109,-7.307379987090412,4.520571833532827e-10,36,36.0,3.608224830031759e-16,3.226585665316861e-12,0.0171682459913427
20260422000383_13574,A,58789,40000,0.9735993259669514,0.9739688982896507,3.695723226992964,3.3235588239866054e-10,36,36.0,2.220446049250313e-16,2.0122792321330962e-12,0.020400826004333794
20260422000383_13574,B,58789,40000,0.9607936499856878,0.9615281546363141,7.345046506262998,3.3235588239866054e-10,36,36.0,2.220446049250313e-16,2.0122792321330962e-12,0.01749493900570087
